felis_catus ENSFCAG00000046154
panthera_tigris_altaica ENSPTIG00000016571
neovison_vison ENSNVIG00000024962
bison_bison_bison ENSBBBG00000021803
bos_mutus ENSBMUG00000021595
piliocolobus_tephrosceles ENSPTEG00000015597
colobus_angolensis_palliatus ENSCANG00000039298
rhinopithecus_roxellana ENSRROG00000040491
rhinopithecus_bieti ENSRBIG00000041830
macaca_nemestrina ENSMNEG00000037072
macaca_fascicularis ENSMFAG00000039392
theropithecus_gelada ENSTGEG00000005074
cercocebus_atys ENSCATG00000037280
mandrillus_leucophaeus ENSMLEG00000043207
papio_anubis ENSPANG00000029590
pan_troglodytes ENSPTRG00000050426
pan_paniscus ENSPPAG00000033768
homo_sapiens ENSG00000283683
gorilla_gorilla ENSGGOG00000039730
nomascus_leucogenys ENSNLEG00000032220
cebus_capucinus ENSCCAG00000034869
saimiri_boliviensis_boliviensis ENSSBOG00000026733
callithrix_jacchus ENSCJAG00000045018
aotus_nancymaae ENSANAG00000024934
carlito_syrichta ENSTSYG00000025928
propithecus_coquereli ENSPCOG00000001742
microcebus_murinus ENSMICG00000043315
prolemur_simus ENSPSMG00000007058
