rhinopithecus_bieti ENSRBIG00000007329
rhinopithecus_roxellana ENSRROG00000014116
colobus_angolensis_palliatus ENSCANG00000039076
macaca_nemestrina ENSMNEG00000037880
macaca_mulatta ENSMMUG00000006011
macaca_fascicularis ENSMFAG00000003949
pan_troglodytes ENSPTRG00000040502
pan_paniscus ENSPPAG00000042562
gorilla_gorilla ENSGGOG00000011380
nomascus_leucogenys ENSNLEG00000031216
chinchilla_lanigera ENSCLAG00000010369
ailuropoda_melanoleuca ENSAMEG00000000621
mustela_putorius_furo ENSMPUG00000001710
notamacropus_eugenii ENSMEUG00000005686
notechis_scutatus ENSNSUG00000001118
crocodylus_porosus ENSCPRG00005005760
danio_rerio ENSDARG00000096666
danio_rerio ENSDARG00000096549
danio_rerio ENSDARG00000054649
danio_rerio ENSDARG00000013203
xiphophorus_couchianus ENSXCOG00000004125
