hucho_hucho ENSHHUG00000031205
esox_lucius ENSELUG00000022647
cottoperca_gobio ENSCGOG00000003824
larimichthys_crocea ENSLCRG00005021374
amphiprion_percula ENSAPEG00000011163
acanthochromis_polyacanthus ENSAPOG00000014255
stegastes_partitus ENSSPAG00000021576
parambassis_ranga ENSPRNG00000016034
maylandia_zebra ENSMZEG00005005918
astatotilapia_calliptera ENSACLG00000000061
neolamprologus_brichardi ENSNBRG00000009892
amphilophus_citrinellus ENSACIG00000008560
poecilia_latipinna ENSPLAG00000001563
poecilia_reticulata ENSPREG00000017277
xiphophorus_couchianus ENSXCOG00000019029
xiphophorus_maculatus ENSXMAG00000006433
gambusia_affinis ENSGAFG00000005482
cyprinodon_variegatus ENSCVAG00000022361
fundulus_heteroclitus ENSFHEG00000015518
oryzias_latipes ENSORLG00000025043
oryzias_latipes ENSORLG00020000544
oryzias_latipes ENSORLG00015017101
oryzias_melastigma ENSOMEG00000000626
gouania_willdenowi ENSGWIG00000006429
hippocampus_comes ENSHCOG00000002280
periophthalmus_magnuspinnatus ENSPMGG00000003825
denticeps_clupeoides ENSDCDG00000018032
astyanax_mexicanus ENSAMXG00005006482
amphiprion_ocellaris ENSAOCG00000016551
parambassis_ranga ENSPRNG00000009079
amphilophus_citrinellus ENSACIG00000009704
larimichthys_crocea ENSLCRG00005015984
seriola_dumerili ENSSDUG00000007263
lates_calcarifer ENSLCAG00010024772
scophthalmus_maximus ENSSMAG00000012622
mola_mola ENSMMOG00000010121
periophthalmus_magnuspinnatus ENSPMGG00000000724
erpetoichthys_calabaricus ENSECRG00000001712
eptatretus_burgeri ENSEBUG00000001839
