lonchura_striata_domestica ENSLSDG00000003642
serinus_canaria ENSSCAG00000009685
parus_major ENSPMJG00000001258
cyanistes_caeruleus ENSCCEG00000001871
dromaius_novaehollandiae ENSDNVG00000011248
crocodylus_porosus ENSCPRG00005001013
panthera_tigris_altaica ENSPTIG00000005905
panthera_pardus ENSPPRG00000022272
piliocolobus_tephrosceles ENSPTEG00000026013
rhinopithecus_roxellana ENSRROG00000001835
macaca_nemestrina ENSMNEG00000023625
theropithecus_gelada ENSTGEG00000025368
papio_anubis ENSPANG00000035581
mandrillus_leucophaeus ENSMLEG00000015333
nomascus_leucogenys ENSNLEG00000030250
prolemur_simus ENSPSMG00000017145
marmota_marmota_marmota ENSMMMG00000016575
phascolarctos_cinereus ENSPCIG00000003839
