ovis_aries ENSOARG00000010683
bos_taurus ENSBTAG00000005005
sus_scrofa ENSSSCG00000009263
ailuropoda_melanoleuca ENSAMEG00000005747
equus_caballus ENSECAG00000029138
myotis_lucifugus ENSMLUG00000014268
mus_spicilegus ENSMSIG00000026973
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027361
mus_musculus ENSMUSG00000061388
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028358
mus_pahari MGP_PahariEiJ_G0017143
rattus_norvegicus ENSRNOG00000055083
castor_canadensis ENSCCNG00000017293
oryctolagus_cuniculus ENSOCUG00000023469
cricetulus_griseus_crigri-picr ENSCGRG00015019999
cricetulus_griseus_crigri ENSCGRG00000001273
mesocricetus_auratus ENSMAUG00000019360
peromyscus_maniculatus_bairdii ENSPEMG00000010301
microtus_ochrogaster ENSMOCG00000014802
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028357
mus_musculus ENSMUSG00000061937
mus_spicilegus ENSMSIG00000027157
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027360
mus_pahari MGP_PahariEiJ_G0017142
rattus_norvegicus ENSRNOG00000039331
meriones_unguiculatus ENSMUGG00000026170
castor_canadensis ENSCCNG00000017351
oryctolagus_cuniculus ENSOCUG00000028049
dasypus_novemcinctus ENSDNOG00000030588
