denticeps_clupeoides ENSDCDG00000000668
clupea_harengus ENSCHAG00000021423
astyanax_mexicanus ENSAMXG00000003875
astyanax_mexicanus ENSAMXG00005012409
pygocentrus_nattereri ENSPNAG00000022017
ictalurus_punctatus ENSIPUG00000006533
electrophorus_electricus ENSEEEG00000005914
danio_rerio ENSDARG00000077842
hucho_hucho ENSHHUG00000047956
hucho_hucho ENSHHUG00000001884
esox_lucius ENSELUG00000003415
takifugu_rubripes ENSTRUG00000008572
tetraodon_nigroviridis ENSTNIG00000013840
cyprinodon_variegatus ENSCVAG00000009826
betta_splendens ENSBSLG00000010368
hippocampus_comes ENSHCOG00000010600
anabas_testudineus ENSATEG00000001635
mastacembelus_armatus ENSMAMG00000015677
larimichthys_crocea ENSLCRG00005005449
cottoperca_gobio ENSCGOG00000012473
seriola_dumerili ENSSDUG00000006410
seriola_lalandi ENSSLDG00000004032
lates_calcarifer ENSLCAG00010000204
scophthalmus_maximus ENSSMAG00000005913
cynoglossus_semilaevis ENSCSEG00000004370
mola_mola ENSMMOG00000012776
monopterus_albus ENSMALG00000014901
labrus_bergylta ENSLBEG00000001589
amphiprion_ocellaris ENSAOCG00000018617
amphiprion_percula ENSAPEG00000005258
acanthochromis_polyacanthus ENSAPOG00000019211
stegastes_partitus ENSSPAG00000008454
parambassis_ranga ENSPRNG00000004344
xiphophorus_maculatus ENSXMAG00000001581
xiphophorus_couchianus ENSXCOG00000000608
gambusia_affinis ENSGAFG00000003502
poecilia_formosa ENSPFOG00000009281
poecilia_mexicana ENSPMEG00000014419
poecilia_latipinna ENSPLAG00000021363
poecilia_reticulata ENSPREG00000004806
fundulus_heteroclitus ENSFHEG00000019560
cyprinodon_variegatus ENSCVAG00000007253
kryptolebias_marmoratus ENSKMAG00000011919
oryzias_latipes ENSORLG00000007329
oryzias_latipes ENSORLG00015000132
oryzias_latipes ENSORLG00020007556
oryzias_melastigma ENSOMEG00000001012
gouania_willdenowi ENSGWIG00000013756
maylandia_zebra ENSMZEG00005020956
astatotilapia_calliptera ENSACLG00000011074
haplochromis_burtoni ENSHBUG00000020192
pundamilia_nyererei ENSPNYG00000005341
neolamprologus_brichardi ENSNBRG00000023426
oreochromis_niloticus ENSONIG00000017951
amphilophus_citrinellus ENSACIG00000006180
periophthalmus_magnuspinnatus ENSPMGG00000018771
gadus_morhua ENSGMOG00000015801
paramormyrops_kingsleyae ENSPKIG00000007050
scleropages_formosus ENSSFOG00015006472
erpetoichthys_calabaricus ENSECRG00000004870
oryctolagus_cuniculus ENSOCUG00000001058
ochotona_princeps ENSOPRG00000016730
heterocephalus_glaber ENSHGLG00000004520
heterocephalus_glaber ENSHGLG00100006873
fukomys_damarensis ENSFDAG00000013256
chinchilla_lanigera ENSCLAG00000011137
octodon_degus ENSODEG00000001742
cavia_porcellus ENSCPOG00000023158
cavia_aperea ENSCAPG00000017150
tupaia_belangeri ENSTBEG00000012343
myotis_lucifugus ENSMLUG00000012944
sorex_araneus ENSSARG00000011049
echinops_telfairi ENSETEG00000017920
castor_canadensis ENSCCNG00000025109
dipodomys_ordii ENSDORG00000023447
mus_musculus ENSMUSG00000022178
mus_spretus MGP_SPRETEiJ_G0020150
mus_spicilegus ENSMSIG00000016353
mus_caroli MGP_CAROLIEiJ_G0019260
mus_pahari MGP_PahariEiJ_G0030279
rattus_norvegicus ENSRNOG00000012791
