lonchura_striata_domestica ENSLSDG00000000083
taeniopygia_guttata ENSTGUG00000012842
serinus_canaria ENSSCAG00000003611
junco_hyemalis ENSJHYG00000017922
zonotrichia_albicollis ENSZALG00000016845
ficedula_albicollis ENSFALG00000000300
parus_major ENSPMJG00000017875
cyanistes_caeruleus ENSCCEG00000023971
lepidothrix_coronata ENSLCOG00000014086
calidris_pygmaea ENSCPGG00000006956
calidris_pugnax ENSCPUG00000003652
melopsittacus_undulatus ENSMUNG00000002835
anas_platyrhynchos_platyrhynchos ENSAPLG00000015429
anser_brachyrhynchus ENSABRG00000022742
gallus_gallus ENSGALG00000017216
coturnix_japonica ENSCJPG00005003974
meleagris_gallopavo ENSMGAG00000015202
numida_meleagris ENSNMEG00000019699
apteryx_haastii ENSAHAG00000016742
apteryx_owenii ENSAOWG00000010829
apteryx_rowi ENSARWG00000001042
dromaius_novaehollandiae ENSDNVG00000016927
nothoprocta_perdicaria ENSNPEG00000012577
crocodylus_porosus ENSCPRG00005015345
gopherus_agassizii ENSGAGG00000000289
chelonoidis_abingdonii ENSCABG00000011661
chrysemys_picta_bellii ENSCPBG00000023999
pelodiscus_sinensis ENSPSIG00000004492
chelonoidis_abingdonii ENSCABG00000011658
gopherus_agassizii ENSGAGG00000001007
chrysemys_picta_bellii ENSCPBG00000023995
pelodiscus_sinensis ENSPSIG00000004429
anolis_carolinensis ENSACAG00000014418
notechis_scutatus ENSNSUG00000018091
salvator_merianae ENSSMRG00000009850
xenopus_tropicalis ENSXETG00000017116
latimeria_chalumnae ENSLACG00000002010
