ciona_intestinalis ENSCING00000018496
ciona_savignyi ENSCSAVG00000005231
takifugu_rubripes ENSTRUG00000022273
cyprinodon_variegatus ENSCVAG00000023098
ictalurus_punctatus ENSIPUG00000001196
canis_lupus ENSCAFG00020022772
canis_lupus ENSCAFG00000000263
canis_lupus ENSCAFG00020018007
canis_lupus ENSCAFG00000018628
canis_lupus ENSCAFG00000013592
canis_lupus ENSCAFG00000009899
canis_lupus ENSCAFG00000005939
canis_lupus ENSCAFG00020006295
vulpes_vulpes ENSVVUG00000013974
canis_lupus ENSCAFG00020022376
canis_lupus ENSCAFG00000006102
piliocolobus_tephrosceles ENSPTEG00000017410
pan_paniscus ENSPPAG00000034842
pan_troglodytes ENSPTRG00000048868
gorilla_gorilla ENSGGOG00000036475
nomascus_leucogenys ENSNLEG00000031604
chlorocebus_sabaeus ENSCSAG00000019023
chlorocebus_sabaeus ENSCSAG00000017871
cebus_capucinus ENSCCAG00000016109
cebus_capucinus ENSCCAG00000031259
pan_troglodytes ENSPTRG00000051976
pan_paniscus ENSPPAG00000029770
gorilla_gorilla ENSGGOG00000024556
gorilla_gorilla ENSGGOG00000028193
echinops_telfairi ENSETEG00000001680
gorilla_gorilla ENSGGOG00000041659
aotus_nancymaae ENSANAG00000001414
cebus_capucinus ENSCCAG00000027980
cebus_capucinus ENSCCAG00000022429
saimiri_boliviensis ENSSBOG00000033284
cebus_capucinus ENSCCAG00000020116
cebus_capucinus ENSCCAG00000035323
saimiri_boliviensis ENSSBOG00000018955
cebus_capucinus ENSCCAG00000020636
callithrix_jacchus ENSCJAG00000047525
nomascus_leucogenys ENSNLEG00000032527
rhinopithecus_bieti ENSRBIG00000000377
cebus_capucinus ENSCCAG00000020090
pan_troglodytes ENSPTRG00000016733
pan_paniscus ENSPPAG00000023507
aotus_nancymaae ENSANAG00000030967
callithrix_jacchus ENSCJAG00000049728
callithrix_jacchus ENSCJAG00000021791
callithrix_jacchus ENSCJAG00000047188
callithrix_jacchus ENSCJAG00000042339
callithrix_jacchus ENSCJAG00000049823
callithrix_jacchus ENSCJAG00000051102
callithrix_jacchus ENSCJAG00000050545
callithrix_jacchus ENSCJAG00000049849
callithrix_jacchus ENSCJAG00000039348
callithrix_jacchus ENSCJAG00000049716
callithrix_jacchus ENSCJAG00000040719
callithrix_jacchus ENSCJAG00000040218
callithrix_jacchus ENSCJAG00000049259
callithrix_jacchus ENSCJAG00000049632
callithrix_jacchus ENSCJAG00000050097
callithrix_jacchus ENSCJAG00000050901
callithrix_jacchus ENSCJAG00000048570
callithrix_jacchus ENSCJAG00000047348
callithrix_jacchus ENSCJAG00000051073
callithrix_jacchus ENSCJAG00000044698
callithrix_jacchus ENSCJAG00000050175
callithrix_jacchus ENSCJAG00000050779
callithrix_jacchus ENSCJAG00000043495
callithrix_jacchus ENSCJAG00000038247
callithrix_jacchus ENSCJAG00000048831
callithrix_jacchus ENSCJAG00000051100
callithrix_jacchus ENSCJAG00000050695
callithrix_jacchus ENSCJAG00000045788
callithrix_jacchus ENSCJAG00000049487
callithrix_jacchus ENSCJAG00000050429
callithrix_jacchus ENSCJAG00000045328
callithrix_jacchus ENSCJAG00000049199
callithrix_jacchus ENSCJAG00000038450
callithrix_jacchus ENSCJAG00000022024
callithrix_jacchus ENSCJAG00000050190
callithrix_jacchus ENSCJAG00000050025
callithrix_jacchus ENSCJAG00000050336
callithrix_jacchus ENSCJAG00000050305
colobus_angolensis ENSCANG00000012194
colobus_angolensis ENSCANG00000008958
rhinopithecus_bieti ENSRBIG00000021185
piliocolobus_tephrosceles ENSPTEG00000010348
papio_anubis ENSPANG00000000277
papio_anubis ENSPANG00000032035
papio_anubis ENSPANG00000004833
papio_anubis ENSPANG00000005234
papio_anubis ENSPANG00000010652
theropithecus_gelada ENSTGEG00000010132
papio_anubis ENSPANG00000016384
rhinopithecus_bieti ENSRBIG00000001911
rhinopithecus_bieti ENSRBIG00000012386
rhinopithecus_roxellana ENSRROG00000031438
colobus_angolensis ENSCANG00000038427
piliocolobus_tephrosceles ENSPTEG00000014337
chlorocebus_sabaeus ENSCSAG00000019016
theropithecus_gelada ENSTGEG00000006538
macaca_fascicularis ENSMFAG00000030357
macaca_mulatta ENSMMUG00000002859
papio_anubis ENSPANG00000019556
chlorocebus_sabaeus ENSCSAG00000013884
mandrillus_leucophaeus ENSMLEG00000031267
theropithecus_gelada ENSTGEG00000002602
