astatotilapia_calliptera ENSACLG00000009876
haplochromis_burtoni ENSHBUG00000003339
amphiprion_percula ENSAPEG00000005571
mastacembelus_armatus ENSMAMG00000016294
periophthalmus_magnuspinnatus ENSPMGG00000011174
pygocentrus_nattereri ENSPNAG00000014373
apteryx_owenii ENSAOWG00000015005
nothoprocta_perdicaria ENSNPEG00000001233
junco_hyemalis ENSJHYG00000003570
lonchura_striata_domestica ENSLSDG00000001480
lepidothrix_coronata ENSLCOG00000004726
melopsittacus_undulatus ENSMUNG00000016513
chelonoidis_abingdonii ENSCABG00000001967
notechis_scutatus ENSNSUG00000018573
castor_canadensis ENSCCNG00000011443
marmota_marmota_marmota ENSMMMG00000015745
myotis_lucifugus ENSMLUG00000027166
sarcophilus_harrisii ENSSHAG00000012163
