castor_canadensis ENSCCNG00000021055
dipodomys_ordii ENSDORG00000015250
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026459
mus_musculus ENSMUSG00000014599
mus_spicilegus ENSMSIG00000018340
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025509
mus_pahari MGP_PahariEiJ_G0026955
rattus_norvegicus ENSRNOG00000018659
meriones_unguiculatus ENSMUGG00000023764
cricetulus_griseus_crigri ENSCGRG00000007535
cricetulus_griseus_crigri-picr ENSCGRG00015026126
cricetulus_griseus_chok1gshd ENSCGRG00001007365
mesocricetus_auratus ENSMAUG00000019271
peromyscus_maniculatus_bairdii ENSPEMG00000007138
microtus_ochrogaster ENSMOCG00000008003
nannospalax_galili ENSNGAG00000007019
jaculus_jaculus ENSJJAG00000021808
spermophilus_dauricus ENSSDAG00000012184
urocitellus_parryii ENSUPAG00010016005
ictidomys_tridecemlineatus ENSSTOG00000023005
marmota_marmota_marmota ENSMMMG00000020723
cavia_porcellus ENSCPOG00000032571
cavia_aperea ENSCAPG00000008851
octodon_degus ENSODEG00000007919
chinchilla_lanigera ENSCLAG00000007673
heterocephalus_glaber_female ENSHGLG00000018247
heterocephalus_glaber_male ENSHGLG00100009258
fukomys_damarensis ENSFDAG00000009464
oryctolagus_cuniculus ENSOCUG00000025029
ochotona_princeps ENSOPRG00000008686
theropithecus_gelada ENSTGEG00000002130
papio_anubis ENSPANG00000007193
macaca_nemestrina ENSMNEG00000037665
cercocebus_atys ENSCATG00000041720
macaca_fascicularis ENSMFAG00000040515
macaca_mulatta ENSMMUG00000002680
chlorocebus_sabaeus ENSCSAG00000001557
mandrillus_leucophaeus ENSMLEG00000036428
piliocolobus_tephrosceles ENSPTEG00000026871
colobus_angolensis_palliatus ENSCANG00000029699
rhinopithecus_roxellana ENSRROG00000034878
rhinopithecus_bieti ENSRBIG00000032810
gorilla_gorilla ENSGGOG00000016212
homo_sapiens ENSG00000184371
pan_troglodytes ENSPTRG00000001066
pan_paniscus ENSPPAG00000042763
pongo_abelii ENSPPYG00000001059
nomascus_leucogenys ENSNLEG00000003428
cebus_capucinus ENSCCAG00000028106
saimiri_boliviensis_boliviensis ENSSBOG00000030606
callithrix_jacchus ENSCJAG00000003199
aotus_nancymaae ENSANAG00000000909
carlito_syrichta ENSTSYG00000028831
propithecus_coquereli ENSPCOG00000014410
microcebus_murinus ENSMICG00000035526
prolemur_simus ENSPSMG00000013570
otolemur_garnettii ENSOGAG00000033333
pteropus_vampyrus ENSPVAG00000009687
myotis_lucifugus ENSMLUG00000000705
equus_caballus ENSECAG00000017715
equus_asinus_asinus ENSEASG00005005326
capra_hircus ENSCHIG00000027124
ovis_aries ENSOARG00000019349
bos_mutus ENSBMUG00000003110
bos_taurus ENSBTAG00000000283
bison_bison_bison ENSBBBG00000009429
tursiops_truncatus ENSTTRG00000016044
sus_scrofa ENSSSCG00000037449
ursus_maritimus ENSUMAG00000013583
ursus_americanus ENSUAMG00000022348
ailuropoda_melanoleuca ENSAMEG00000005086
mustela_putorius_furo ENSMPUG00000003759
neovison_vison ENSNVIG00000023295
canis_lupus_dingo ENSCAFG00020009785
canis_lupus_familiaris ENSCAFG00000019798
vulpes_vulpes ENSVVUG00000002842
panthera_tigris_altaica ENSPTIG00000020247
panthera_pardus ENSPPRG00000000931
felis_catus ENSFCAG00000010770
loxodonta_africana ENSLAFG00000032354
procavia_capensis ENSPCAG00000000487
echinops_telfairi ENSETEG00000011599
dasypus_novemcinctus ENSDNOG00000031302
sorex_araneus ENSSARG00000009891
sarcophilus_harrisii ENSSHAG00000004151
phascolarctos_cinereus ENSPCIG00000003681
monodelphis_domestica ENSMODG00000001827
ornithorhynchus_anatinus ENSOANG00000006943
anser_brachyrhynchus ENSABRG00000005800
anas_platyrhynchos_platyrhynchos ENSAPLG00000022959
gallus_gallus ENSGALG00000033854
