bison_bison_bison ENSBBBG00000022173
bos_taurus ENSBTAG00000030170
tursiops_truncatus ENSTTRG00000014388
pteropus_vampyrus ENSPVAG00000008427
ailuropoda_melanoleuca ENSAMEG00000009184
erinaceus_europaeus ENSEEUG00000015022
prolemur_simus ENSPSMG00000001394
microcebus_murinus ENSMICG00000027160
pan_troglodytes ENSPTRG00000024246
pan_paniscus ENSPPAG00000029399
homo_sapiens ENSG00000189159
gorilla_gorilla ENSGGOG00000013996
rhinopithecus_roxellana ENSRROG00000031610
rhinopithecus_bieti ENSRBIG00000005629
colobus_angolensis_palliatus ENSCANG00000041066
theropithecus_gelada ENSTGEG00000027841
papio_anubis ENSPANG00000031549
cercocebus_atys ENSCATG00000037252
mandrillus_leucophaeus ENSMLEG00000028530
macaca_mulatta ENSMMUG00000047118
macaca_fascicularis ENSMFAG00000035607
macaca_nemestrina ENSMNEG00000045237
cebus_capucinus ENSCCAG00000036238
saimiri_boliviensis_boliviensis ENSSBOG00000035167
aotus_nancymaae ENSANAG00000033280
carlito_syrichta ENSTSYG00000003938
ochotona_princeps ENSOPRG00000010887
choloepus_hoffmanni ENSCHOG00000002482
procavia_capensis ENSPCAG00000006528
echinops_telfairi ENSETEG00000013294
