cebus_capucinus ENSCCAG00000029414
saimiri_boliviensis_boliviensis ENSSBOG00000026546
callithrix_jacchus ENSCJAG00000018687
aotus_nancymaae ENSANAG00000026017
pan_troglodytes ENSPTRG00000024278
pan_paniscus ENSPPAG00000033406
homo_sapiens ENSG00000197279
gorilla_gorilla ENSGGOG00000014164
pongo_abelii ENSPPYG00000016363
nomascus_leucogenys ENSNLEG00000004453
macaca_nemestrina ENSMNEG00000029473
macaca_fascicularis ENSMFAG00000045252
macaca_mulatta ENSMMUG00000020831
papio_anubis ENSPANG00000020542
cercocebus_atys ENSCATG00000028094
theropithecus_gelada ENSTGEG00000003215
mandrillus_leucophaeus ENSMLEG00000031193
chlorocebus_sabaeus ENSCSAG00000007960
piliocolobus_tephrosceles ENSPTEG00000036787
colobus_angolensis_palliatus ENSCANG00000023340
rhinopithecus_bieti ENSRBIG00000043664
rhinopithecus_roxellana ENSRROG00000036879
carlito_syrichta ENSTSYG00000000669
otolemur_garnettii ENSOGAG00000034581
otolemur_garnettii ENSOGAG00000033916
microcebus_murinus ENSMICG00000035192
tupaia_belangeri ENSTBEG00000004768
capra_hircus ENSCHIG00000010224
ovis_aries ENSOARG00000018053
bos_mutus ENSBMUG00000007042
bos_taurus ENSBTAG00000031874
bison_bison_bison ENSBBBG00000014268
tursiops_truncatus ENSTTRG00000013466
vicugna_pacos ENSVPAG00000012120
sus_scrofa ENSSSCG00000001197
equus_asinus_asinus ENSEASG00005012080
equus_caballus ENSECAG00000006698
vulpes_vulpes ENSVVUG00000020214
vulpes_vulpes ENSVVUG00000020219
ursus_americanus ENSUAMG00000021377
ursus_maritimus ENSUMAG00000019413
ailuropoda_melanoleuca ENSAMEG00000003201
neovison_vison ENSNVIG00000014033
mustela_putorius_furo ENSMPUG00000001314
panthera_tigris_altaica ENSPTIG00000019746
panthera_pardus ENSPPRG00000013043
felis_catus ENSFCAG00000003619
sorex_araneus ENSSARG00000006638
pteropus_vampyrus ENSPVAG00000014638
echinops_telfairi ENSETEG00000017081
