oryzias_latipes_asm223469v1 ENSORLG00015004519
oryzias_latipes ENSORLG00000026086
amphiprion_percula ENSAPEG00000000020
chelonoidis_abingdonii ENSCABG00000018767
gopherus_agassizii ENSGAGG00000021428
chrysemys_picta_bellii ENSCPBG00000022385
pelodiscus_sinensis ENSPSIG00000003953
apteryx_haastii ENSAHAG00000009962
apteryx_owenii ENSAOWG00000015905
apteryx_rowi ENSARWG00000016113
dromaius_novaehollandiae ENSDNVG00000016552
nothoprocta_perdicaria ENSNPEG00000011643
anas_platyrhynchos_platyrhynchos ENSAPLG00000019846
anser_brachyrhynchus ENSABRG00000007709
numida_meleagris ENSNMEG00000000291
crocodylus_porosus ENSCPRG00005018716
ursus_maritimus ENSUMAG00000009406
ursus_americanus ENSUAMG00000015782
ailuropoda_melanoleuca ENSAMEG00000019011
ovis_aries ENSOARG00000015092
prolemur_simus ENSPSMG00000017288
loxodonta_africana ENSLAFG00000028368
rattus_norvegicus ENSRNOG00000031449
meriones_unguiculatus ENSMUGG00000012015
cricetulus_griseus_chok1gshd ENSCGRG00001005685
cricetulus_griseus_crigri ENSCGRG00000018859
