heterocephalus_glaber_female ENSHGLG00000009116
heterocephalus_glaber_male ENSHGLG00100002325
fukomys_damarensis ENSFDAG00000010188
cavia_porcellus ENSCPOG00000021819
cavia_aperea ENSCAPG00000005850
chinchilla_lanigera ENSCLAG00000009215
urocitellus_parryii ENSUPAG00010007568
ictidomys_tridecemlineatus ENSSTOG00000024366
castor_canadensis ENSCCNG00000000644
dipodomys_ordii ENSDORG00000028732
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016286
mus_spicilegus ENSMSIG00000029309
mus_musculus ENSMUSG00000020241
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015473
mus_pahari MGP_PahariEiJ_G0030887
rattus_norvegicus ENSRNOG00000001254
meriones_unguiculatus ENSMUGG00000010639
cricetulus_griseus_crigri ENSCGRG00000011810
cricetulus_griseus_chok1gshd ENSCGRG00001003342
cricetulus_griseus_crigri-picr ENSCGRG00015019357
mesocricetus_auratus ENSMAUG00000022073
microtus_ochrogaster ENSMOCG00000007120
peromyscus_maniculatus_bairdii ENSPEMG00000023614
nannospalax_galili ENSNGAG00000013702
jaculus_jaculus ENSJJAG00000023030
oryctolagus_cuniculus ENSOCUG00000000409
ochotona_princeps ENSOPRG00000009772
pan_paniscus ENSPPAG00000029776
pan_troglodytes ENSPTRG00000049395
homo_sapiens ENSG00000142173
gorilla_gorilla ENSGGOG00000003661
nomascus_leucogenys ENSNLEG00000002670
rhinopithecus_roxellana ENSRROG00000038780
rhinopithecus_bieti ENSRBIG00000038516
colobus_angolensis_palliatus ENSCANG00000004343
macaca_fascicularis ENSMFAG00000031451
macaca_mulatta ENSMMUG00000022317
macaca_nemestrina ENSMNEG00000035628
papio_anubis ENSPANG00000024175
theropithecus_gelada ENSTGEG00000017231
cercocebus_atys ENSCATG00000041547
chlorocebus_sabaeus ENSCSAG00000007240
saimiri_boliviensis_boliviensis ENSSBOG00000024612
callithrix_jacchus ENSCJAG00000001863
cebus_capucinus ENSCCAG00000027356
carlito_syrichta ENSTSYG00000002945
prolemur_simus ENSPSMG00000024283
propithecus_coquereli ENSPCOG00000016356
microcebus_murinus ENSMICG00000033173
otolemur_garnettii ENSOGAG00000005077
bos_mutus ENSBMUG00000019350
bos_taurus ENSBTAG00000019269
capra_hircus ENSCHIG00000018004
ovis_aries ENSOARG00000012880
tursiops_truncatus ENSTTRG00000001080
sus_scrofa ENSSSCG00000028022
equus_caballus ENSECAG00000019436
equus_asinus_asinus ENSEASG00005007037
ailuropoda_melanoleuca ENSAMEG00000001501
ursus_americanus ENSUAMG00000020078
mustela_putorius_furo ENSMPUG00000001453
neovison_vison ENSNVIG00000008753
canis_lupus_familiaris ENSCAFG00000011915
canis_lupus_familiaris ENSCAFG00000029022
canis_lupus_dingo ENSCAFG00020019491
vulpes_vulpes ENSVVUG00000023847
felis_catus ENSFCAG00000014814
panthera_pardus ENSPPRG00000024558
pteropus_vampyrus ENSPVAG00000004057
myotis_lucifugus ENSMLUG00000015413
loxodonta_africana ENSLAFG00000001954
procavia_capensis ENSPCAG00000008078
dasypus_novemcinctus ENSDNOG00000038020
tupaia_belangeri ENSTBEG00000015302
piliocolobus_tephrosceles ENSPTEG00000007660
marmota_marmota_marmota ENSMMMG00000013067
spermophilus_dauricus ENSSDAG00000003984
marmota_marmota_marmota ENSMMMG00000013048
octodon_degus ENSODEG00000013531
pan_troglodytes ENSPTRG00000014014
pongo_abelii ENSPPYG00000011527
mandrillus_leucophaeus ENSMLEG00000017555
piliocolobus_tephrosceles ENSPTEG00000008023
panthera_tigris_altaica ENSPTIG00000001338
ursus_maritimus ENSUMAG00000025399
bison_bison_bison ENSBBBG00000015610
monodelphis_domestica ENSMODG00000008454
ornithorhynchus_anatinus ENSOANG00000028956
phascolarctos_cinereus ENSPCIG00000015214
notamacropus_eugenii ENSMEUG00000010513
sarcophilus_harrisii ENSSHAG00000001658
ornithorhynchus_anatinus ENSOANG00000013567
ornithorhynchus_anatinus ENSOANG00000029970
cyanistes_caeruleus ENSCCEG00000020534
parus_major ENSPMJG00000006389
ficedula_albicollis ENSFALG00000003991
taeniopygia_guttata ENSTGUG00000003386
lonchura_striata_domestica ENSLSDG00000009557
serinus_canaria ENSSCAG00000005284
zonotrichia_albicollis ENSZALG00000008649
junco_hyemalis ENSJHYG00000007740
serinus_canaria ENSSCAG00000009229
lepidothrix_coronata ENSLCOG00000016084
manacus_vitellinus ENSMVIG00005015735
melopsittacus_undulatus ENSMUNG00000012775
calidris_pugnax ENSCPUG00000014707
calidris_pygmaea ENSCPGG00000008869
meleagris_gallopavo ENSMGAG00000001719
coturnix_japonica ENSCJPG00005012779
gallus_gallus ENSGALG00000039216
numida_meleagris ENSNMEG00000018196
anser_brachyrhynchus ENSABRG00000007635
anas_platyrhynchos_platyrhynchos ENSAPLG00000001018
apteryx_owenii ENSAOWG00000003620
apteryx_haastii ENSAHAG00000016762
apteryx_rowi ENSARWG00000016388
dromaius_novaehollandiae ENSDNVG00000009625
nothoprocta_perdicaria ENSNPEG00000011980
crocodylus_porosus ENSCPRG00005008124
gopherus_agassizii ENSGAGG00000018682
chelonoidis_abingdonii ENSCABG00000010328
chrysemys_picta_bellii ENSCPBG00000012128
pelodiscus_sinensis ENSPSIG00000007815
pogona_vitticeps ENSPVIG00000005595
anolis_carolinensis ENSACAG00000004843
notechis_scutatus ENSNSUG00000012883
salvator_merianae ENSSMRG00000020975
sphenodon_punctatus ENSSPUG00000018781
xenopus_tropicalis ENSXETG00000011490
latimeria_chalumnae ENSLACG00000013675
monopterus_albus ENSMALG00000017170
mastacembelus_armatus ENSMAMG00000000735
anabas_testudineus ENSATEG00000020687
seriola_dumerili ENSSDUG00000017419
seriola_lalandi_dorsalis ENSSLDG00000007329
scophthalmus_maximus ENSSMAG00000010326
labrus_bergylta ENSLBEG00000003366
gasterosteus_aculeatus ENSGACG00000006089
tetraodon_nigroviridis ENSTNIG00000016465
takifugu_rubripes ENSTRUG00000010965
mola_mola ENSMMOG00000003846
cynoglossus_semilaevis ENSCSEG00000010759
maylandia_zebra ENSMZEG00005007607
maylandia_zebra ENSMZEG00005009014
astatotilapia_calliptera ENSACLG00000016186
pundamilia_nyererei ENSPNYG00000000925
haplochromis_burtoni ENSHBUG00000002922
neolamprologus_brichardi ENSNBRG00000016418
oreochromis_niloticus ENSONIG00000009044
amphilophus_citrinellus ENSACIG00000001656
amphiprion_percula ENSAPEG00000015807
amphiprion_ocellaris ENSAOCG00000014185
acanthochromis_polyacanthus ENSAPOG00000020016
stegastes_partitus ENSSPAG00000003870
xiphophorus_couchianus ENSXCOG00000001317
xiphophorus_maculatus ENSXMAG00000015599
gambusia_affinis ENSGAFG00000010686
poecilia_latipinna ENSPLAG00000021540
poecilia_formosa ENSPFOG00000000302
poecilia_mexicana ENSPMEG00000018192
poecilia_reticulata ENSPREG00000009680
cyprinodon_variegatus ENSCVAG00000018898
fundulus_heteroclitus ENSFHEG00000008458
kryptolebias_marmoratus ENSKMAG00000011962
oryzias_latipes ENSORLG00000016429
oryzias_latipes ENSORLG00020001630
oryzias_latipes_asm223469v1 ENSORLG00015001926
oryzias_melastigma ENSOMEG00000001820
hippocampus_comes ENSHCOG00000017794
periophthalmus_magnuspinnatus ENSPMGG00000019130
gadus_morhua ENSGMOG00000014528
esox_lucius ENSELUG00000010387
paramormyrops_kingsleyae ENSPKIG00000010019
scleropages_formosus ENSSFOG00015008121
pygocentrus_nattereri ENSPNAG00000015213
astyanax_mexicanus ENSAMXG00000008110
ictalurus_punctatus ENSIPUG00000009066
danio_rerio ENSDARG00000061436
labrus_bergylta ENSLBEG00000003980
gasterosteus_aculeatus ENSGACG00000012518
takifugu_rubripes ENSTRUG00000004264
tetraodon_nigroviridis ENSTNIG00000007914
mola_mola ENSMMOG00000013524
monopterus_albus ENSMALG00000012743
mastacembelus_armatus ENSMAMG00000017153
anabas_testudineus ENSATEG00000005475
seriola_dumerili ENSSDUG00000001666
seriola_lalandi_dorsalis ENSSLDG00000003892
scophthalmus_maximus ENSSMAG00000012981
fundulus_heteroclitus ENSFHEG00000000668
cyprinodon_variegatus ENSCVAG00000015596
xiphophorus_maculatus ENSXMAG00000011687
xiphophorus_couchianus ENSXCOG00000007881
gambusia_affinis ENSGAFG00000015276
poecilia_formosa ENSPFOG00000014799
poecilia_latipinna ENSPLAG00000021129
poecilia_mexicana ENSPMEG00000001729
poecilia_reticulata ENSPREG00000021457
kryptolebias_marmoratus ENSKMAG00000019310
oryzias_latipes ENSORLG00020008894
oryzias_latipes ENSORLG00000011584
oryzias_latipes_asm223469v1 ENSORLG00015000094
oryzias_melastigma ENSOMEG00000011588
maylandia_zebra ENSMZEG00005011331
astatotilapia_calliptera ENSACLG00000018257
pundamilia_nyererei ENSPNYG00000017040
haplochromis_burtoni ENSHBUG00000022632
oreochromis_niloticus ENSONIG00000015650
neolamprologus_brichardi ENSNBRG00000016081
amphilophus_citrinellus ENSACIG00000010522
amphiprion_percula ENSAPEG00000021675
amphiprion_ocellaris ENSAOCG00000010061
acanthochromis_polyacanthus ENSAPOG00000010321
stegastes_partitus ENSSPAG00000003203
periophthalmus_magnuspinnatus ENSPMGG00000020625
cynoglossus_semilaevis ENSCSEG00000008970
hippocampus_comes ENSHCOG00000014976
gadus_morhua ENSGMOG00000004197
esox_lucius ENSELUG00000012520
scleropages_formosus ENSSFOG00015013569
lepisosteus_oculatus ENSLOCG00000009684
lepisosteus_oculatus ENSLOCG00000009333
lepisosteus_oculatus ENSLOCG00000009326
astyanax_mexicanus ENSAMXG00000016340
esox_lucius ENSELUG00000021999
latimeria_chalumnae ENSLACG00000004457
eptatretus_burgeri ENSEBUG00000005499
eptatretus_burgeri ENSEBUG00000010819
petromyzon_marinus ENSPMAG00000005260
