macaca_nemestrina ENSMNEG00000007007
macaca_fascicularis ENSMFAG00000029626
cercocebus_atys ENSCATG00000015854
papio_anubis ENSPANG00000030402
mandrillus_leucophaeus ENSMLEG00000006421
theropithecus_gelada ENSTGEG00000011181
rhinopithecus_roxellana ENSRROG00000027776
rhinopithecus_bieti ENSRBIG00000027014
piliocolobus_tephrosceles ENSPTEG00000033838
nomascus_leucogenys ENSNLEG00000035714
aotus_nancymaae ENSANAG00000031662
saimiri_boliviensis_boliviensis ENSSBOG00000019556
panthera_pardus ENSPPRG00000004139
