gallus_gallus ENSGALG00000021126
meleagris_gallopavo ENSMGAG00000007425
anser_brachyrhynchus ENSABRG00000015008
anas_platyrhynchos ENSAPLG00000004632
melopsittacus_undulatus ENSMUNG00000013386
calidris_pygmaea ENSCPGG00000014733
calidris_pugnax ENSCPUG00000009211
parus_major ENSPMJG00000018787
cyanistes_caeruleus ENSCCEG00000022960
ficedula_albicollis ENSFALG00000007193
taeniopygia_guttata ENSTGUG00000016592
serinus_canaria ENSSCAG00000003482
lonchura_striata ENSLSDG00000009087
zonotrichia_albicollis ENSZALG00000008623
junco_hyemalis ENSJHYG00000006828
lepidothrix_coronata ENSLCOG00000012808
manacus_vitellinus ENSMVIG00005002811
apteryx_rowi ENSARWG00000018861
apteryx_haastii ENSAHAG00000011482
dromaius_novaehollandiae ENSDNVG00000007391
nothoprocta_perdicaria ENSNPEG00000009532
xenopus_tropicalis ENSXETG00000024925
takifugu_rubripes ENSTRUG00000025708
tetraodon_nigroviridis ENSTNIG00000014718
gasterosteus_aculeatus ENSGACG00000001480
labrus_bergylta ENSLBEG00000001011
oreochromis_niloticus ENSONIG00000004244
maylandia_zebra ENSMZEG00005016042
lepisosteus_oculatus ENSLOCG00000006739
