anolis_carolinensis ENSACAG00000028757
pogona_vitticeps ENSPVIG00000005843
notechis_scutatus ENSNSUG00000018779
salvator_merianae ENSSMRG00000020035
sphenodon_punctatus ENSSPUG00000004728
anser_brachyrhynchus ENSABRG00000007639
anas_platyrhynchos_platyrhynchos ENSAPLG00000016299
coturnix_japonica ENSCJPG00005018791
gallus_gallus ENSGALG00000052056
numida_meleagris ENSNMEG00000022282
lepidothrix_coronata ENSLCOG00000002351
manacus_vitellinus ENSMVIG00005003785
taeniopygia_guttata ENSTGUG00000009153
lonchura_striata_domestica ENSLSDG00000004545
zonotrichia_albicollis ENSZALG00000002822
junco_hyemalis ENSJHYG00000006632
serinus_canaria ENSSCAG00000010698
parus_major ENSPMJG00000017162
cyanistes_caeruleus ENSCCEG00000022187
ficedula_albicollis ENSFALG00000014019
calidris_pugnax ENSCPUG00000016711
calidris_pygmaea ENSCPGG00000015135
melopsittacus_undulatus ENSMUNG00000015284
apteryx_haastii ENSAHAG00000013400
apteryx_rowi ENSARWG00000000545
apteryx_owenii ENSAOWG00000001468
dromaius_novaehollandiae ENSDNVG00000008811
nothoprocta_perdicaria ENSNPEG00000004802
crocodylus_porosus ENSCPRG00005006266
chelonoidis_abingdonii ENSCABG00000001341
gopherus_agassizii ENSGAGG00000006028
chrysemys_picta_bellii ENSCPBG00000019201
pelodiscus_sinensis ENSPSIG00000004162
phascolarctos_cinereus ENSPCIG00000030875
sarcophilus_harrisii ENSSHAG00000005768
monodelphis_domestica ENSMODG00000007207
vicugna_pacos ENSVPAG00000003470
sus_scrofa ENSSSCG00000031876
capra_hircus ENSCHIG00000021554
ovis_aries ENSOARG00000014419
bos_taurus ENSBTAG00000018562
bos_mutus ENSBMUG00000005831
bison_bison_bison ENSBBBG00000021240
tursiops_truncatus ENSTTRG00000016444
myotis_lucifugus ENSMLUG00000005111
ursus_americanus ENSUAMG00000005117
ursus_maritimus ENSUMAG00000010251
ailuropoda_melanoleuca ENSAMEG00000006063
mustela_putorius_furo ENSMPUG00000013615
canis_lupus_dingo ENSCAFG00020021798
canis_lupus_familiaris ENSCAFG00000017819
vulpes_vulpes ENSVVUG00000023282
panthera_tigris_altaica ENSPTIG00000007449
panthera_pardus ENSPPRG00000000318
felis_catus ENSFCAG00000039128
equus_caballus ENSECAG00000010683
equus_asinus_asinus ENSEASG00005007189
pteropus_vampyrus ENSPVAG00000003302
sorex_araneus ENSSARG00000011536
oryctolagus_cuniculus ENSOCUG00000009948
ochotona_princeps ENSOPRG00000011521
mus_spicilegus ENSMSIG00000010148
mus_musculus ENSMUSG00000030917
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031503
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030389
mus_pahari MGP_PahariEiJ_G0013600
rattus_norvegicus ENSRNOG00000048250
meriones_unguiculatus ENSMUGG00000007531
cricetulus_griseus_chok1gshd ENSCGRG00001000223
cricetulus_griseus_crigri ENSCGRG00000016258
cricetulus_griseus_crigri-picr ENSCGRG00015013492
mesocricetus_auratus ENSMAUG00000014208
microtus_ochrogaster ENSMOCG00000004271
peromyscus_maniculatus_bairdii ENSPEMG00000029569
nannospalax_galili ENSNGAG00000010531
jaculus_jaculus ENSJJAG00000012610
castor_canadensis ENSCCNG00000026375
chinchilla_lanigera ENSCLAG00000014178
octodon_degus ENSODEG00000011669
cavia_porcellus ENSCPOG00000036628
cavia_aperea ENSCAPG00000009372
heterocephalus_glaber_female ENSHGLG00000014735
heterocephalus_glaber_male ENSHGLG00100010133
fukomys_damarensis ENSFDAG00000015260
ictidomys_tridecemlineatus ENSSTOG00000007198
urocitellus_parryii ENSUPAG00010008426
marmota_marmota_marmota ENSMMMG00000022937
spermophilus_dauricus ENSSDAG00000023275
saimiri_boliviensis_boliviensis ENSSBOG00000028979
callithrix_jacchus ENSCJAG00000009272
cebus_capucinus ENSCCAG00000037959
aotus_nancymaae ENSANAG00000022920
pan_troglodytes ENSPTRG00000007855
pan_paniscus ENSPPAG00000036846
homo_sapiens ENSG00000011638
gorilla_gorilla ENSGGOG00000008931
pongo_abelii ENSPPYG00000007167
nomascus_leucogenys ENSNLEG00000012267
papio_anubis ENSPANG00000025503
mandrillus_leucophaeus ENSMLEG00000027026
theropithecus_gelada ENSTGEG00000021241
macaca_fascicularis ENSMFAG00000031143
macaca_mulatta ENSMMUG00000016758
macaca_nemestrina ENSMNEG00000024263
cercocebus_atys ENSCATG00000018329
chlorocebus_sabaeus ENSCSAG00000007445
rhinopithecus_roxellana ENSRROG00000043283
rhinopithecus_bieti ENSRBIG00000022654
colobus_angolensis_palliatus ENSCANG00000012997
piliocolobus_tephrosceles ENSPTEG00000013355
carlito_syrichta ENSTSYG00000000936
prolemur_simus ENSPSMG00000018019
propithecus_coquereli ENSPCOG00000026805
microcebus_murinus ENSMICG00000015039
tupaia_belangeri ENSTBEG00000014284
neovison_vison ENSNVIG00000023681
panthera_pardus ENSPPRG00000008900
procavia_capensis ENSPCAG00000006766
echinops_telfairi ENSETEG00000007187
dasypus_novemcinctus ENSDNOG00000038998
choloepus_hoffmanni ENSCHOG00000011834
dipodomys_ordii ENSDORG00000006852
erinaceus_europaeus ENSEEUG00000005927
ornithorhynchus_anatinus ENSOANG00000014286
xenopus_tropicalis ENSXETG00000016712
latimeria_chalumnae ENSLACG00000011031
seriola_lalandi_dorsalis ENSSLDG00000022625
seriola_dumerili ENSSDUG00000010039
monopterus_albus ENSMALG00000018424
mastacembelus_armatus ENSMAMG00000023373
oreochromis_niloticus ENSONIG00000017125
paramormyrops_kingsleyae ENSPKIG00000015111
lepisosteus_oculatus ENSLOCG00000008017
