monopterus_albus ENSMALG00000018358
mastacembelus_armatus ENSMAMG00000017142
anabas_testudineus ENSATEG00000007817
scophthalmus_maximus ENSSMAG00000019714
cynoglossus_semilaevis ENSCSEG00000015275
seriola_dumerili ENSSDUG00000016179
seriola_lalandi_dorsalis ENSSLDG00000016698
takifugu_rubripes ENSTRUG00000001336
tetraodon_nigroviridis ENSTNIG00000013345
mola_mola ENSMMOG00000008195
gasterosteus_aculeatus ENSGACG00000009677
labrus_bergylta ENSLBEG00000022458
fundulus_heteroclitus ENSFHEG00000021112
cyprinodon_variegatus ENSCVAG00000019478
xiphophorus_maculatus ENSXMAG00000012537
xiphophorus_couchianus ENSXCOG00000009889
gambusia_affinis ENSGAFG00000011872
poecilia_mexicana ENSPMEG00000011135
poecilia_formosa ENSPFOG00000017870
poecilia_latipinna ENSPLAG00000014862
poecilia_reticulata ENSPREG00000011465
kryptolebias_marmoratus ENSKMAG00000020780
oryzias_latipes ENSORLG00020009481
oryzias_latipes_asm223469v1 ENSORLG00015014487
oryzias_latipes ENSORLG00000005635
oryzias_melastigma ENSOMEG00000008648
haplochromis_burtoni ENSHBUG00000016969
pundamilia_nyererei ENSPNYG00000003960
astatotilapia_calliptera ENSACLG00000017498
maylandia_zebra ENSMZEG00005027455
neolamprologus_brichardi ENSNBRG00000016151
oreochromis_niloticus ENSONIG00000000522
amphilophus_citrinellus ENSACIG00000005482
amphiprion_ocellaris ENSAOCG00000004496
amphiprion_percula ENSAPEG00000007081
acanthochromis_polyacanthus ENSAPOG00000001439
stegastes_partitus ENSSPAG00000011418
hippocampus_comes ENSHCOG00000016501
periophthalmus_magnuspinnatus ENSPMGG00000014806
gadus_morhua ENSGMOG00000018298
esox_lucius ENSELUG00000000203
scleropages_formosus ENSSFOG00015009906
paramormyrops_kingsleyae ENSPKIG00000001059
astyanax_mexicanus ENSAMXG00000011707
pygocentrus_nattereri ENSPNAG00000022223
ictalurus_punctatus ENSIPUG00000020556
danio_rerio ENSDARG00000102144
lepisosteus_oculatus ENSLOCG00000008027
apteryx_owenii ENSAOWG00000018693
apteryx_haastii ENSAHAG00000008238
apteryx_rowi ENSARWG00000010028
nothoprocta_perdicaria ENSNPEG00000012530
dromaius_novaehollandiae ENSDNVG00000003347
calidris_pygmaea ENSCPGG00000010118
calidris_pugnax ENSCPUG00000019501
manacus_vitellinus ENSMVIG00005015442
lepidothrix_coronata ENSLCOG00000010146
lonchura_striata_domestica ENSLSDG00000010489
taeniopygia_guttata ENSTGUG00000011451
junco_hyemalis ENSJHYG00000010958
zonotrichia_albicollis ENSZALG00000012507
serinus_canaria ENSSCAG00000013502
ficedula_albicollis ENSFALG00000004816
parus_major ENSPMJG00000005841
cyanistes_caeruleus ENSCCEG00000018194
melopsittacus_undulatus ENSMUNG00000016362
meleagris_gallopavo ENSMGAG00000011686
coturnix_japonica ENSCJPG00005001056
gallus_gallus ENSGALG00000034013
coturnix_japonica ENSCJPG00005007626
numida_meleagris ENSNMEG00000012742
anser_brachyrhynchus ENSABRG00000006480
anas_platyrhynchos_platyrhynchos ENSAPLG00000015137
crocodylus_porosus ENSCPRG00005009789
gopherus_agassizii ENSGAGG00000019118
chelonoidis_abingdonii ENSCABG00000014664
chrysemys_picta_bellii ENSCPBG00000028069
