sus_scrofa ENSSSCG00000004675
tursiops_truncatus ENSTTRG00000013568
capra_hircus ENSCHIG00000008514
ovis_aries ENSOARG00000021051
bos_taurus ENSBTAG00000016246
bos_mutus ENSBMUG00000000683
bison_bison_bison ENSBBBG00000004505
equus_caballus ENSECAG00000023918
equus_asinus_asinus ENSEASG00005017922
pteropus_vampyrus ENSPVAG00000005165
myotis_lucifugus ENSMLUG00000007103
ursus_americanus ENSUAMG00000024704
ursus_maritimus ENSUMAG00000018697
ailuropoda_melanoleuca ENSAMEG00000003594
neovison_vison ENSNVIG00000021571
mustela_putorius_furo ENSMPUG00000010923
canis_lupus_familiaris ENSCAFG00000013715
canis_lupus_dingo ENSCAFG00020022112
vulpes_vulpes ENSVVUG00000012755
felis_catus ENSFCAG00000007564
panthera_pardus ENSPPRG00000007197
erinaceus_europaeus ENSEEUG00000014603
sorex_araneus ENSSARG00000007483
oryctolagus_cuniculus ENSOCUG00000014307
ochotona_princeps ENSOPRG00000004147
tupaia_belangeri ENSTBEG00000009643
castor_canadensis ENSCCNG00000018050
dipodomys_ordii ENSDORG00000015290
mus_musculus ENSMUSG00000033268
mus_spicilegus ENSMSIG00000019312
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025130
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024213
mus_pahari MGP_PahariEiJ_G0025656
rattus_norvegicus ENSRNOG00000033348
meriones_unguiculatus ENSMUGG00000006809
peromyscus_maniculatus_bairdii ENSPEMG00000015205
microtus_ochrogaster ENSMOCG00000017608
cricetulus_griseus_crigri-picr ENSCGRG00015018623
cricetulus_griseus_chok1gshd ENSCGRG00001021686
cricetulus_griseus_crigri ENSCGRG00000017860
mesocricetus_auratus ENSMAUG00000021739
nannospalax_galili ENSNGAG00000020793
jaculus_jaculus ENSJJAG00000014943
urocitellus_parryii ENSUPAG00010009803
ictidomys_tridecemlineatus ENSSTOG00000008816
marmota_marmota_marmota ENSMMMG00000017791
spermophilus_dauricus ENSSDAG00000014542
heterocephalus_glaber_male ENSHGLG00100012464
heterocephalus_glaber_female ENSHGLG00000014552
fukomys_damarensis ENSFDAG00000012634
chinchilla_lanigera ENSCLAG00000011832
octodon_degus ENSODEG00000008417
cavia_porcellus ENSCPOG00000007302
cavia_aperea ENSCAPG00000013808
pan_troglodytes ENSPTRG00000007029
pan_paniscus ENSPPAG00000040927
gorilla_gorilla ENSGGOG00000012320
homo_sapiens ENSG00000137857
pongo_abelii ENSPPYG00000006441
nomascus_leucogenys ENSNLEG00000034823
rhinopithecus_roxellana ENSRROG00000033297
rhinopithecus_bieti ENSRBIG00000032046
piliocolobus_tephrosceles ENSPTEG00000016587
colobus_angolensis_palliatus ENSCANG00000029868
papio_anubis ENSPANG00000017834
cercocebus_atys ENSCATG00000038120
mandrillus_leucophaeus ENSMLEG00000029965
theropithecus_gelada ENSTGEG00000009328
macaca_fascicularis ENSMFAG00000043773
macaca_nemestrina ENSMNEG00000037599
macaca_mulatta ENSMMUG00000008752
chlorocebus_sabaeus ENSCSAG00000010204
cebus_capucinus ENSCCAG00000032449
saimiri_boliviensis_boliviensis ENSSBOG00000035524
callithrix_jacchus ENSCJAG00000002197
aotus_nancymaae ENSANAG00000026614
carlito_syrichta ENSTSYG00000007798
propithecus_coquereli ENSPCOG00000022246
microcebus_murinus ENSMICG00000009207
prolemur_simus ENSPSMG00000020284
otolemur_garnettii ENSOGAG00000003484
dasypus_novemcinctus ENSDNOG00000018039
procavia_capensis ENSPCAG00000003986
echinops_telfairi ENSETEG00000011039
loxodonta_africana ENSLAFG00000017095
echinops_telfairi ENSETEG00000011031
phascolarctos_cinereus ENSPCIG00000019915
notamacropus_eugenii ENSMEUG00000007296
sarcophilus_harrisii ENSSHAG00000017498
monodelphis_domestica ENSMODG00000017660
ornithorhynchus_anatinus ENSOANG00000005760
