spermophilus_dauricus ENSSDAG00000003698
urocitellus_parryii ENSUPAG00010016518
marmota_marmota_marmota ENSMMMG00000007678
marmota_marmota_marmota ENSMMMG00000002850
castor_canadensis ENSCCNG00000015353
macaca_nemestrina ENSMNEG00000032531
papio_anubis ENSPANG00000033031
cercocebus_atys ENSCATG00000041207
theropithecus_gelada ENSTGEG00000000255
theropithecus_gelada ENSTGEG00000028678
rhinopithecus_bieti ENSRBIG00000042124
nothoprocta_perdicaria ENSNPEG00000002118
maylandia_zebra ENSMZEG00005006817
astatotilapia_calliptera ENSACLG00000016968
pundamilia_nyererei ENSPNYG00000001421
neolamprologus_brichardi ENSNBRG00000010109
mola_mola ENSMMOG00000003749
