amphiprion_percula ENSAPEG00000021932
amphiprion_ocellaris ENSAOCG00000008667
acanthochromis_polyacanthus ENSAPOG00000002123
stegastes_partitus ENSSPAG00000001093
pundamilia_nyererei ENSPNYG00000008378
fundulus_heteroclitus ENSFHEG00000017328
fundulus_heteroclitus ENSFHEG00000003225
poecilia_latipinna ENSPLAG00000004008
poecilia_mexicana ENSPMEG00000011688
poecilia_reticulata ENSPREG00000005977
gambusia_affinis ENSGAFG00000007454
cyprinodon_variegatus ENSCVAG00000005215
kryptolebias_marmoratus ENSKMAG00000018830
oryzias_melastigma ENSOMEG00000000739
hippocampus_comes ENSHCOG00000010098
mola_mola ENSMMOG00000014802
labrus_bergylta ENSLBEG00000007198
scophthalmus_maximus ENSSMAG00000007694
cynoglossus_semilaevis ENSCSEG00000016325
mastacembelus_armatus ENSMAMG00000020065
periophthalmus_magnuspinnatus ENSPMGG00000012402
danio_rerio ENSDARG00000115557
astyanax_mexicanus ENSAMXG00000033220
anolis_carolinensis ENSACAG00000027689
pogona_vitticeps ENSPVIG00000011582
eptatretus_burgeri ENSEBUG00000002106
