callithrix_jacchus ENSCJAG00000042011
cebus_capucinus ENSCCAG00000027780
aotus_nancymaae ENSANAG00000029834
macaca_fascicularis ENSMFAG00000001133
papio_anubis ENSPANG00000033490
mandrillus_leucophaeus ENSMLEG00000034241
cercocebus_atys ENSCATG00000021585
rhinopithecus_roxellana ENSRROG00000038866
gorilla_gorilla ENSGGOG00000038374
homo_sapiens ENSG00000284725
pan_troglodytes ENSPTRG00000048251
pan_paniscus ENSPPAG00000020469
nomascus_leucogenys ENSNLEG00000027327
carlito_syrichta ENSTSYG00000036505
prolemur_simus ENSPSMG00000016193
bison_bison ENSBBBG00000024138
