astatotilapia_calliptera ENSACLG00000003721
pundamilia_nyererei ENSPNYG00000005345
oreochromis_niloticus ENSONIG00000014125
amphilophus_citrinellus ENSACIG00000005832
xiphophorus_couchianus ENSXCOG00000010986
cyprinodon_variegatus ENSCVAG00000004545
anabas_testudineus ENSATEG00000007145
cynoglossus_semilaevis ENSCSEG00000010184
seriola_lalandi ENSSLDG00000025488
mola_mola ENSMMOG00000014230
tetraodon_nigroviridis ENSTNIG00000015349
poecilia_mexicana ENSPMEG00000012596
poecilia_reticulata ENSPREG00000013535
neolamprologus_brichardi ENSNBRG00000011750
periophthalmus_magnuspinnatus ENSPMGG00000013659
hucho_hucho ENSHHUG00000031183
amphiprion_ocellaris ENSAOCG00000009374
danio_rerio ENSDARG00000029692
clupea_harengus ENSCHAG00000011029
denticeps_clupeoides ENSDCDG00000027088
electrophorus_electricus ENSEEEG00000001085
ictalurus_punctatus ENSIPUG00000010389
astyanax_mexicanus ENSAMXG00005013794
astyanax_mexicanus ENSAMXG00000012255
pygocentrus_nattereri ENSPNAG00000015037
gasterosteus_aculeatus ENSGACG00000014452
hippocampus_comes ENSHCOG00000007703
poecilia_latipinna ENSPLAG00000021040
poecilia_formosa ENSPFOG00000005588
poecilia_mexicana ENSPMEG00000012579
poecilia_reticulata ENSPREG00000013424
gambusia_affinis ENSGAFG00000004519
xiphophorus_maculatus ENSXMAG00000006401
fundulus_heteroclitus ENSFHEG00000013389
kryptolebias_marmoratus ENSKMAG00000004560
oryzias_latipes ENSORLG00020014341
oryzias_latipes ENSORLG00000019933
oryzias_latipes ENSORLG00015006499
oryzias_melastigma ENSOMEG00000009140
takifugu_rubripes ENSTRUG00000015381
parambassis_ranga ENSPRNG00000021211
labrus_bergylta ENSLBEG00000018192
betta_splendens ENSBSLG00000019126
seriola_dumerili ENSSDUG00000009295
cynoglossus_semilaevis ENSCSEG00000019228
lates_calcarifer ENSLCAG00010024201
mastacembelus_armatus ENSMAMG00000002645
larimichthys_crocea ENSLCRG00005014983
cottoperca_gobio ENSCGOG00000020602
scophthalmus_maximus ENSSMAG00000013999
monopterus_albus ENSMALG00000006191
maylandia_zebra ENSMZEG00005020641
haplochromis_burtoni ENSHBUG00000006392
neolamprologus_brichardi ENSNBRG00000017791
gouania_willdenowi ENSGWIG00000002142
acanthochromis_polyacanthus ENSAPOG00000012589
amphiprion_percula ENSAPEG00000007268
stegastes_partitus ENSSPAG00000023287
gadus_morhua ENSGMOG00000014080
esox_lucius ENSELUG00000011773
hucho_hucho ENSHHUG00000006601
scleropages_formosus ENSSFOG00015014519
paramormyrops_kingsleyae ENSPKIG00000019344
scleropages_formosus ENSSFOG00015019217
paramormyrops_kingsleyae ENSPKIG00000002536
lepisosteus_oculatus ENSLOCG00000011601
erpetoichthys_calabaricus ENSECRG00000012250
callorhinchus_milii ENSCMIG00000016923
petromyzon_marinus ENSPMAG00000004904
latimeria_chalumnae ENSLACG00000007858
chrysemys_picta ENSCPBG00000019495
chelonoidis_abingdonii ENSCABG00000009933
pelodiscus_sinensis ENSPSIG00000012653
serinus_canaria ENSSCAG00000004394
lonchura_striata ENSLSDG00000018069
zonotrichia_albicollis ENSZALG00000003284
ficedula_albicollis ENSFALG00000008406
cyanistes_caeruleus ENSCCEG00000022137
lepidothrix_coronata ENSLCOG00000011670
melopsittacus_undulatus ENSMUNG00000012032
nothoprocta_perdicaria ENSNPEG00000008884
numida_meleagris ENSNMEG00000018972
gallus_gallus ENSGALG00000011564
dromaius_novaehollandiae ENSDNVG00000007589
junco_hyemalis ENSJHYG00000000289
manacus_vitellinus ENSMVIG00005006180
parus_major ENSPMJG00000001065
meleagris_gallopavo ENSMGAG00000009878
coturnix_japonica ENSCJPG00005001068
anser_brachyrhynchus ENSABRG00000014251
anas_platyrhynchos ENSAPLG00000015819
apteryx_owenii ENSAOWG00000019071
apteryx_haastii ENSAHAG00000007591
