clupea_harengus ENSCHAG00000012825
denticeps_clupeoides ENSDCDG00000014122
astyanax_mexicanus ENSAMXG00000038259
astyanax_mexicanus ENSAMXG00005000608
pygocentrus_nattereri ENSPNAG00000009991
electrophorus_electricus ENSEEEG00000014331
ictalurus_punctatus ENSIPUG00000007155
danio_rerio ENSDARG00000114730
hucho_hucho ENSHHUG00000051300
hucho_hucho ENSHHUG00000006268
esox_lucius ENSELUG00000003878
betta_splendens ENSBSLG00000008007
mastacembelus_armatus ENSMAMG00000003082
labrus_bergylta ENSLBEG00000008600
seriola_dumerili ENSSDUG00000018550
seriola_lalandi ENSSLDG00000013582
scophthalmus_maximus ENSSMAG00000000065
takifugu_rubripes ENSTRUG00000019967
tetraodon_nigroviridis ENSTNIG00000014468
poecilia_reticulata ENSPREG00000017979
gambusia_affinis ENSGAFG00000016463
poecilia_mexicana ENSPMEG00000017611
poecilia_latipinna ENSPLAG00000008338
xiphophorus_maculatus ENSXMAG00000025239
xiphophorus_couchianus ENSXCOG00000020356
cyprinodon_variegatus ENSCVAG00000003298
fundulus_heteroclitus ENSFHEG00000019700
kryptolebias_marmoratus ENSKMAG00000012003
oryzias_latipes ENSORLG00015016415
oryzias_latipes ENSORLG00020014016
oryzias_latipes ENSORLG00000027334
oryzias_melastigma ENSOMEG00000010811
gouania_willdenowi ENSGWIG00000009127
astatotilapia_calliptera ENSACLG00000007065
maylandia_zebra ENSMZEG00005018999
pundamilia_nyererei ENSPNYG00000022376
astatotilapia_calliptera ENSACLG00000007098
haplochromis_burtoni ENSHBUG00000001964
oreochromis_niloticus ENSONIG00000003775
neolamprologus_brichardi ENSNBRG00000015073
amphilophus_citrinellus ENSACIG00000017870
amphiprion_ocellaris ENSAOCG00000004262
amphiprion_percula ENSAPEG00000009136
acanthochromis_polyacanthus ENSAPOG00000000559
stegastes_partitus ENSSPAG00000014575
larimichthys_crocea ENSLCRG00005010984
cottoperca_gobio ENSCGOG00000002669
anabas_testudineus ENSATEG00000012732
gasterosteus_aculeatus ENSGACG00000015357
gasterosteus_aculeatus ENSGACG00000015358
lates_calcarifer ENSLCAG00010020077
parambassis_ranga ENSPRNG00000001391
monopterus_albus ENSMALG00000006263
mola_mola ENSMMOG00000004648
periophthalmus_magnuspinnatus ENSPMGG00000015598
gadus_morhua ENSGMOG00000000136
scleropages_formosus ENSSFOG00015016148
paramormyrops_kingsleyae ENSPKIG00000003842
cynoglossus_semilaevis ENSCSEG00000004020
hippocampus_comes ENSHCOG00000018124
gadus_morhua ENSGMOG00000000602
lepisosteus_oculatus ENSLOCG00000011021
erpetoichthys_calabaricus ENSECRG00000013682
danio_rerio ENSDARG00000055389
pygocentrus_nattereri ENSPNAG00000018884
sphenodon_punctatus ENSSPUG00000012705
cricetulus_griseus ENSCGRG00015010172
gopherus_agassizii ENSGAGG00000000675
chrysemys_picta ENSCPBG00000005420
pelodiscus_sinensis ENSPSIG00000008097
chelonoidis_abingdonii ENSCABG00000002249
sphenodon_punctatus ENSSPUG00000012724
melopsittacus_undulatus ENSMUNG00000006508
coturnix_japonica ENSCJPG00005006204
anser_brachyrhynchus ENSABRG00000016534
anser_brachyrhynchus ENSABRG00000016591
anas_platyrhynchos ENSAPLG00000024411
anas_platyrhynchos ENSAPLG00000008908
gallus_gallus ENSGALG00000052354
apteryx_haastii ENSAHAG00000018598
apteryx_owenii ENSAOWG00000017817
nothoprocta_perdicaria ENSNPEG00000005525
crocodylus_porosus ENSCPRG00005015118
apteryx_haastii ENSAHAG00000018604
apteryx_owenii ENSAOWG00000017808
nothoprocta_perdicaria ENSNPEG00000005481
chrysemys_picta ENSCPBG00000005424
cyanistes_caeruleus ENSCCEG00000017451
parus_major ENSPMJG00000008574
taeniopygia_guttata ENSTGUG00000000486
lonchura_striata ENSLSDG00000008013
ficedula_albicollis ENSFALG00000002365
serinus_canaria ENSSCAG00000004693
junco_hyemalis ENSJHYG00000003972
zonotrichia_albicollis ENSZALG00000005905
manacus_vitellinus ENSMVIG00005012629
lepidothrix_coronata ENSLCOG00000003417
numida_meleagris ENSNMEG00000011282
meleagris_gallopavo ENSMGAG00000014526
calidris_pygmaea ENSCPGG00000012862
calidris_pugnax ENSCPUG00000012500
apteryx_rowi ENSARWG00000013625
dromaius_novaehollandiae ENSDNVG00000015122
pogona_vitticeps ENSPVIG00000008454
anolis_carolinensis ENSACAG00000004681
notechis_scutatus ENSNSUG00000017541
salvator_merianae ENSSMRG00000023049
vombatus_ursinus ENSVURG00010003761
phascolarctos_cinereus ENSPCIG00000012884
sarcophilus_harrisii ENSSHAG00000008266
monodelphis_domestica ENSMODG00000021061
loxodonta_africana ENSLAFG00000016307
procavia_capensis ENSPCAG00000010170
echinops_telfairi ENSETEG00000019427
vicugna_pacos ENSVPAG00000009150
tursiops_truncatus ENSTTRG00000004692
capra_hircus ENSCHIG00000022392
ovis_aries ENSOARG00000013038
bos_indicus ENSBIXG00005005296
bos_indicus ENSBIXG00000026277
bos_mutus ENSBMUG00000008561
sus_scrofa ENSSSCG00000023674
equus_caballus ENSECAG00000018098
equus_asinus ENSEASG00005006195
pteropus_vampyrus ENSPVAG00000011186
myotis_lucifugus ENSMLUG00000002449
canis_lupus ENSCAFG00020025305
vulpes_vulpes ENSVVUG00000022974
mustela_putorius ENSMPUG00000001290
neovison_vison ENSNVIG00000005985
ursus_maritimus ENSUMAG00000020052
ursus_americanus ENSUAMG00000015025
ailuropoda_melanoleuca ENSAMEG00000014868
panthera_tigris ENSPTIG00000017100
panthera_pardus ENSPPRG00000019353
felis_catus ENSFCAG00000028680
castor_canadensis ENSCCNG00000031162
dipodomys_ordii ENSDORG00000028617
heterocephalus_glaber ENSHGLG00100014915
heterocephalus_glaber ENSHGLG00000010432
fukomys_damarensis ENSFDAG00000019128
octodon_degus ENSODEG00000003658
octodon_degus ENSODEG00000004500
octodon_degus ENSODEG00000008629
chinchilla_lanigera ENSCLAG00000011776
cavia_porcellus ENSCPOG00000024278
cavia_aperea ENSCAPG00000017011
urocitellus_parryii ENSUPAG00010002114
spermophilus_dauricus ENSSDAG00000009730
ictidomys_tridecemlineatus ENSSTOG00000020593
marmota_marmota ENSMMMG00000001137
mus_spretus MGP_SPRETEiJ_G0021871
mus_spicilegus ENSMSIG00000006576
mus_musculus ENSMUSG00000022961
mus_caroli MGP_CAROLIEiJ_G0020965
mus_pahari MGP_PahariEiJ_G0016670
rattus_norvegicus ENSRNOG00000002021
meriones_unguiculatus ENSMUGG00000012902
cricetulus_griseus ENSCGRG00015013855
cricetulus_griseus ENSCGRG00000015260
cricetulus_griseus ENSCGRG00001016220
mesocricetus_auratus ENSMAUG00000002086
peromyscus_maniculatus ENSPEMG00000026746
microtus_ochrogaster ENSMOCG00000012860
nannospalax_galili ENSNGAG00000000062
jaculus_jaculus ENSJJAG00000013491
oryctolagus_cuniculus ENSOCUG00000003867
tupaia_belangeri ENSTBEG00000003193
pan_troglodytes ENSPTRG00000013872
pan_troglodytes ENSPTRG00000052356
pan_paniscus ENSPPAG00000033712
gorilla_gorilla ENSGGOG00000010481
homo_sapiens ENSG00000159140
pongo_abelii ENSPPYG00000011380
nomascus_leucogenys ENSNLEG00000004002
rhinopithecus_bieti ENSRBIG00000044269
rhinopithecus_roxellana ENSRROG00000042156
colobus_angolensis ENSCANG00000025986
piliocolobus_tephrosceles ENSPTEG00000009804
theropithecus_gelada ENSTGEG00000026906
chlorocebus_sabaeus ENSCSAG00000009823
papio_anubis ENSPANG00000024077
mandrillus_leucophaeus ENSMLEG00000035039
cercocebus_atys ENSCATG00000029812
macaca_nemestrina ENSMNEG00000031671
macaca_fascicularis ENSMFAG00000034427
aotus_nancymaae ENSANAG00000035426
callithrix_jacchus ENSCJAG00000046975
saimiri_boliviensis ENSSBOG00000020885
pan_troglodytes ENSPTRG00000050558
pan_paniscus ENSPPAG00000035874
cebus_capucinus ENSCCAG00000030234
carlito_syrichta ENSTSYG00000008371
microcebus_murinus ENSMICG00000033920
propithecus_coquereli ENSPCOG00000015502
otolemur_garnettii ENSOGAG00000027319
sorex_araneus ENSSARG00000012369
erinaceus_europaeus ENSEEUG00000002352
ochotona_princeps ENSOPRG00000005068
canis_lupus ENSCAFG00000032306
bos_taurus ENSBTAG00000008482
macaca_mulatta ENSMMUG00000005511
canis_lupus ENSCAFG00000009106
bison_bison ENSBBBG00000017871
prolemur_simus ENSPSMG00000013388
dasypus_novemcinctus ENSDNOG00000036246
ornithorhynchus_anatinus ENSOANG00000002433
xenopus_tropicalis ENSXETG00000014213
latimeria_chalumnae ENSLACG00000013385
callorhinchus_milii ENSCMIG00000016439
eptatretus_burgeri ENSEBUG00000012664
ciona_intestinalis ENSCING00000007049
caenorhabditis_elegans WBGene00017025
drosophila_melanogaster FBgn0037716
