dasypus_novemcinctus ENSDNOG00000023728
procavia_capensis ENSPCAG00000009073
felis_catus ENSFCAG00000045877
neovison_vison ENSNVIG00000004434
pteropus_vampyrus ENSPVAG00000013425
bos_mutus ENSBMUG00000011766
bison_bison_bison ENSBBBG00000019989
ovis_aries ENSOARG00000012618
vicugna_pacos ENSVPAG00000012124
papio_anubis ENSPANG00000008642
cercocebus_atys ENSCATG00000038484
colobus_angolensis_palliatus ENSCANG00000042745
homo_sapiens ENSG00000214643
pan_troglodytes ENSPTRG00000032458
gorilla_gorilla ENSGGOG00000022278
pongo_abelii ENSPPYG00000016694
nomascus_leucogenys ENSNLEG00000003997
aotus_nancymaae ENSANAG00000030784
callithrix_jacchus ENSCJAG00000011612
propithecus_coquereli ENSPCOG00000009534
