pundamilia_nyererei ENSPNYG00000015131
haplochromis_burtoni ENSHBUG00000015260
maylandia_zebra ENSMZEG00005012916
maylandia_zebra ENSMZEG00005000181
astatotilapia_calliptera ENSACLG00000004746
neolamprologus_brichardi ENSNBRG00000009002
amphilophus_citrinellus ENSACIG00000003475
amphiprion_ocellaris ENSAOCG00000003350
amphiprion_percula ENSAPEG00000014050
stegastes_partitus ENSSPAG00000009407
acanthochromis_polyacanthus ENSAPOG00000011993
xiphophorus_couchianus ENSXCOG00000011523
poecilia_mexicana ENSPMEG00000006975
fundulus_heteroclitus ENSFHEG00000005430
kryptolebias_marmoratus ENSKMAG00000009125
oryzias_latipes ENSORLG00000027397
oryzias_latipes ENSORLG00020007149
oryzias_latipes_asm223469v1 ENSORLG00015004897
oryzias_melastigma ENSOMEG00000002542
mola_mola ENSMMOG00000016201
takifugu_rubripes ENSTRUG00000023951
labrus_bergylta ENSLBEG00000023943
mastacembelus_armatus ENSMAMG00000020852
monopterus_albus ENSMALG00000000968
anabas_testudineus ENSATEG00000001962
cynoglossus_semilaevis ENSCSEG00000006056
hippocampus_comes ENSHCOG00000004593
pygocentrus_nattereri ENSPNAG00000012497
astyanax_mexicanus ENSAMXG00000037514
ictalurus_punctatus ENSIPUG00000023309
danio_rerio ENSDARG00000113187
