homo_sapiens ENSG00000204595
pan_paniscus ENSPPAG00000043788
pongo_abelii ENSPPYG00000010362
nomascus_leucogenys ENSNLEG00000006178
rhinopithecus_bieti ENSRBIG00000037069
rhinopithecus_roxellana ENSRROG00000043032
colobus_angolensis ENSCANG00000030026
chlorocebus_sabaeus ENSCSAG00000019743
chlorocebus_sabaeus ENSCSAG00000001921
cercocebus_atys ENSCATG00000021533
mandrillus_leucophaeus ENSMLEG00000033703
macaca_mulatta ENSMMUG00000052497
macaca_fascicularis ENSMFAG00000042442
macaca_nemestrina ENSMNEG00000032869
papio_anubis ENSPANG00000012791
theropithecus_gelada ENSTGEG00000006651
cebus_capucinus ENSCCAG00000025654
callithrix_jacchus ENSCJAG00000018567
aotus_nancymaae ENSANAG00000021571
carlito_syrichta ENSTSYG00000001598
prolemur_simus ENSPSMG00000023575
propithecus_coquereli ENSPCOG00000024106
microcebus_murinus ENSMICG00000047562
otolemur_garnettii ENSOGAG00000030864
otolemur_garnettii ENSOGAG00000001947
oryctolagus_cuniculus ENSOCUG00000024630
equus_caballus ENSECAG00000041268
sus_scrofa ENSSSCG00000046881
canis_lupus ENSCAFG00000030128
mustela_putorius ENSMPUG00000010007
felis_catus ENSFCAG00000042959
panthera_tigris ENSPTIG00000006212
choloepus_hoffmanni ENSCHOG00000010851
