astatotilapia_calliptera ENSACLG00000004060
haplochromis_burtoni ENSHBUG00000011814
maylandia_zebra ENSMZEG00005025034
pundamilia_nyererei ENSPNYG00000019427
neolamprologus_brichardi ENSNBRG00000003236
amphilophus_citrinellus ENSACIG00000021392
mastacembelus_armatus ENSMAMG00000012758
poecilia_mexicana ENSPMEG00000019627
poecilia_latipinna ENSPLAG00000011518
poecilia_reticulata ENSPREG00000003300
xiphophorus_couchianus ENSXCOG00000016795
gambusia_affinis ENSGAFG00000011729
hippocampus_comes ENSHCOG00000015088
labrus_bergylta ENSLBEG00000015649
mola_mola ENSMMOG00000018253
