xenopus_tropicalis ENSXETG00000009348
latimeria_chalumnae ENSLACG00000018761
takifugu_rubripes ENSTRUG00000011694
tetraodon_nigroviridis ENSTNIG00000004199
mola_mola ENSMMOG00000001823
cynoglossus_semilaevis ENSCSEG00000016163
amphiprion_ocellaris ENSAOCG00000000777
monopterus_albus ENSMALG00000019270
mastacembelus_armatus ENSMAMG00000005058
anabas_testudineus ENSATEG00000019647
seriola_dumerili ENSSDUG00000022695
seriola_lalandi_dorsalis ENSSLDG00000014014
scophthalmus_maximus ENSSMAG00000002736
labrus_bergylta ENSLBEG00000024770
xiphophorus_maculatus ENSXMAG00000000055
xiphophorus_couchianus ENSXCOG00000015397
gambusia_affinis ENSGAFG00000004446
poecilia_mexicana ENSPMEG00000009820
poecilia_formosa ENSPFOG00000017228
poecilia_latipinna ENSPLAG00000001147
poecilia_reticulata ENSPREG00000001662
cyprinodon_variegatus ENSCVAG00000013332
fundulus_heteroclitus ENSFHEG00000001384
kryptolebias_marmoratus ENSKMAG00000019962
oryzias_latipes ENSORLG00000013807
oryzias_latipes_asm223469v1 ENSORLG00015015550
oryzias_latipes ENSORLG00020001954
oryzias_melastigma ENSOMEG00000015948
astatotilapia_calliptera ENSACLG00000015263
pundamilia_nyererei ENSPNYG00000019891
maylandia_zebra ENSMZEG00005008275
haplochromis_burtoni ENSHBUG00000013958
neolamprologus_brichardi ENSNBRG00000009078
oreochromis_niloticus ENSONIG00000010972
amphilophus_citrinellus ENSACIG00000019834
acanthochromis_polyacanthus ENSAPOG00000004170
amphiprion_percula ENSAPEG00000008833
stegastes_partitus ENSSPAG00000015792
gasterosteus_aculeatus ENSGACG00000012305
hippocampus_comes ENSHCOG00000014111
periophthalmus_magnuspinnatus ENSPMGG00000022935
gadus_morhua ENSGMOG00000006794
esox_lucius ENSELUG00000020297
astyanax_mexicanus ENSAMXG00000029176
pygocentrus_nattereri ENSPNAG00000015632
ictalurus_punctatus ENSIPUG00000004394
scleropages_formosus ENSSFOG00015003241
paramormyrops_kingsleyae ENSPKIG00000022859
lepisosteus_oculatus ENSLOCG00000006216
tetraodon_nigroviridis ENSTNIG00000004000
dasypus_novemcinctus ENSDNOG00000047287
pygocentrus_nattereri ENSPNAG00000013512
danio_rerio ENSDARG00000053344
ornithorhynchus_anatinus ENSOANG00000029529
ornithorhynchus_anatinus ENSOANG00000001028
