macaca_fascicularis ENSMFAG00000036292
macaca_mulatta ENSMMUG00000039538
macaca_nemestrina ENSMNEG00000028384
mandrillus_leucophaeus ENSMLEG00000027510
papio_anubis ENSPANG00000036126
colobus_angolensis_palliatus ENSCANG00000031696
pan_paniscus ENSPPAG00000042086
pan_troglodytes ENSPTRG00000047961
gorilla_gorilla ENSGGOG00000042245
nomascus_leucogenys ENSNLEG00000033466
rhinopithecus_bieti ENSRBIG00000040011
saimiri_boliviensis_boliviensis ENSSBOG00000021398
cebus_capucinus ENSCCAG00000023873
callithrix_jacchus ENSCJAG00000044699
