poecilia_reticulata ENSPREG00000011422
gambusia_affinis ENSGAFG00000005052
xiphophorus_couchianus ENSXCOG00000005784
cyprinodon_variegatus ENSCVAG00000010650
pundamilia_nyererei ENSPNYG00000017124
astatotilapia_calliptera ENSACLG00000022971
amphilophus_citrinellus ENSACIG00000010872
amphiprion_ocellaris ENSAOCG00000006488
amphiprion_percula ENSAPEG00000006175
acanthochromis_polyacanthus ENSAPOG00000007410
stegastes_partitus ENSSPAG00000011694
labrus_bergylta ENSLBEG00000000014
periophthalmus_magnuspinnatus ENSPMGG00000019595
mola_mola ENSMMOG00000007563
scleropages_formosus ENSSFOG00015021043
