callithrix_jacchus ENSCJAG00000045735
cebus_capucinus ENSCCAG00000027197
aotus_nancymaae ENSANAG00000023402
saimiri_boliviensis_boliviensis ENSSBOG00000028662
pan_paniscus ENSPPAG00000027730
pan_troglodytes ENSPTRG00000014881
gorilla_gorilla ENSGGOG00000006069
homo_sapiens ENSG00000164048
pongo_abelii ENSPPYG00000013909
nomascus_leucogenys ENSNLEG00000006411
macaca_fascicularis ENSMFAG00000001588
macaca_mulatta ENSMMUG00000021607
mandrillus_leucophaeus ENSMLEG00000028173
papio_anubis ENSPANG00000034725
theropithecus_gelada ENSTGEG00000009506
cercocebus_atys ENSCATG00000035420
chlorocebus_sabaeus ENSCSAG00000015906
rhinopithecus_roxellana ENSRROG00000040233
rhinopithecus_bieti ENSRBIG00000041479
colobus_angolensis_palliatus ENSCANG00000043111
macaca_nemestrina ENSMNEG00000033536
carlito_syrichta ENSTSYG00000026540
propithecus_coquereli ENSPCOG00000027517
vicugna_pacos ENSVPAG00000007383
tursiops_truncatus ENSTTRG00000017317
