procavia_capensis ENSPCAG00000015390
echinops_telfairi ENSETEG00000020015
loxodonta_africana ENSLAFG00000017618
choloepus_hoffmanni ENSCHOG00000006934
tupaia_belangeri ENSTBEG00000004299
ursus_americanus ENSUAMG00000023030
ursus_maritimus ENSUMAG00000009139
ailuropoda_melanoleuca ENSAMEG00000011748
vulpes_vulpes ENSVVUG00000027936
canis_lupus_dingo ENSCAFG00020021752
neovison_vison ENSNVIG00000023125
panthera_pardus ENSPPRG00000024079
panthera_tigris_altaica ENSPTIG00000017881
felis_catus ENSFCAG00000000287
sus_scrofa ENSSSCG00000000247
vicugna_pacos ENSVPAG00000011708
bos_mutus ENSBMUG00000008974
bison_bison_bison ENSBBBG00000000604
ovis_aries ENSOARG00000016956
capra_hircus ENSCHIG00000015120
tursiops_truncatus ENSTTRG00000010722
erinaceus_europaeus ENSEEUG00000011635
equus_caballus ENSECAG00000002338
equus_asinus_asinus ENSEASG00005009145
myotis_lucifugus ENSMLUG00000010829
pteropus_vampyrus ENSPVAG00000008695
propithecus_coquereli ENSPCOG00000025883
prolemur_simus ENSPSMG00000004063
microcebus_murinus ENSMICG00000002200
otolemur_garnettii ENSOGAG00000011702
gorilla_gorilla ENSGGOG00000003132
homo_sapiens ENSG00000139648
pan_troglodytes ENSPTRG00000004982
pan_paniscus ENSPPAG00000034702
pongo_abelii ENSPPYG00000004550
nomascus_leucogenys ENSNLEG00000017745
piliocolobus_tephrosceles ENSPTEG00000038225
colobus_angolensis_palliatus ENSCANG00000030120
rhinopithecus_bieti ENSRBIG00000037867
rhinopithecus_roxellana ENSRROG00000036083
cercocebus_atys ENSCATG00000041480
mandrillus_leucophaeus ENSMLEG00000007486
macaca_fascicularis ENSMFAG00000035546
macaca_mulatta ENSMMUG00000014400
macaca_nemestrina ENSMNEG00000044659
theropithecus_gelada ENSTGEG00000006441
papio_anubis ENSPANG00000005797
chlorocebus_sabaeus ENSCSAG00000005683
cebus_capucinus ENSCCAG00000005620
callithrix_jacchus ENSCJAG00000048158
aotus_nancymaae ENSANAG00000027017
heterocephalus_glaber_female ENSHGLG00000000999
heterocephalus_glaber_male ENSHGLG00100003285
fukomys_damarensis ENSFDAG00000017425
cavia_aperea ENSCAPG00000016499
cavia_porcellus ENSCPOG00000034845
chinchilla_lanigera ENSCLAG00000000693
octodon_degus ENSODEG00000015167
urocitellus_parryii ENSUPAG00010000297
ictidomys_tridecemlineatus ENSSTOG00000021813
marmota_marmota_marmota ENSMMMG00000001636
spermophilus_dauricus ENSSDAG00000022406
castor_canadensis ENSCCNG00000020890
dipodomys_ordii ENSDORG00000015690
mus_musculus ENSMUSG00000051879
mus_spicilegus ENSMSIG00000010028
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021215
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020322
mus_pahari MGP_PahariEiJ_G0020321
rattus_norvegicus ENSRNOG00000049495
meriones_unguiculatus ENSMUGG00000004010
cricetulus_griseus_crigri-picr ENSCGRG00015028624
cricetulus_griseus_chok1gshd ENSCGRG00001015381
cricetulus_griseus_crigri ENSCGRG00000006945
mesocricetus_auratus ENSMAUG00000016208
microtus_ochrogaster ENSMOCG00000002788
peromyscus_maniculatus_bairdii ENSPEMG00000010607
nannospalax_galili ENSNGAG00000019640
jaculus_jaculus ENSJJAG00000024053
oryctolagus_cuniculus ENSOCUG00000029234
ochotona_princeps ENSOPRG00000008784
carlito_syrichta ENSTSYG00000036921
dasypus_novemcinctus ENSDNOG00000000854
sorex_araneus ENSSARG00000005643
phascolarctos_cinereus ENSPCIG00000001626
notamacropus_eugenii ENSMEUG00000011092
