seriola_dumerili ENSSDUG00000008815
scophthalmus_maximus ENSSMAG00000013554
anabas_testudineus ENSATEG00000002965
labrus_bergylta ENSLBEG00000006215
stegastes_partitus ENSSPAG00000015133
amphiprion_ocellaris ENSAOCG00000013174
astatotilapia_calliptera ENSACLG00000005339
maylandia_zebra ENSMZEG00005002824
poecilia_latipinna ENSPLAG00000020094
poecilia_mexicana ENSPMEG00000002726
poecilia_formosa ENSPFOG00000023093
xiphophorus_maculatus ENSXMAG00000024124
poecilia_reticulata ENSPREG00000015287
fundulus_heteroclitus ENSFHEG00000001505
pygocentrus_nattereri ENSPNAG00000027496
astyanax_mexicanus ENSAMXG00000035866
lepisosteus_oculatus ENSLOCG00000016206
sphenodon_punctatus ENSSPUG00000012042
pogona_vitticeps ENSPVIG00000015206
gallus_gallus ENSGALG00000013912
coturnix_japonica ENSCJPG00005008868
numida_meleagris ENSNMEG00000022012
anser_brachyrhynchus ENSABRG00000010926
anas_platyrhynchos_platyrhynchos ENSAPLG00000012545
junco_hyemalis ENSJHYG00000015131
zonotrichia_albicollis ENSZALG00000010658
serinus_canaria ENSSCAG00000002904
parus_major ENSPMJG00000007875
cyanistes_caeruleus ENSCCEG00000015009
melopsittacus_undulatus ENSMUNG00000003503
ciona_intestinalis ENSCING00000000829
ciona_savignyi ENSCSAVG00000011107
ciona_intestinalis ENSCING00000020719
saccharomyces_cerevisiae YEL013W
