apteryx_owenii ENSAOWG00000019012
apteryx_haastii ENSAHAG00000000887
apteryx_rowi ENSARWG00000014784
dromaius_novaehollandiae ENSDNVG00000006409
nothoprocta_perdicaria ENSNPEG00000015603
anser_brachyrhynchus ENSABRG00000004825
anas_platyrhynchos ENSAPLG00000000733
meleagris_gallopavo ENSMGAG00000015858
gallus_gallus ENSGALG00000047280
numida_meleagris ENSNMEG00000021580
taeniopygia_guttata ENSTGUG00000011141
lonchura_striata ENSLSDG00000015474
ficedula_albicollis ENSFALG00000014941
junco_hyemalis ENSJHYG00000002871
manacus_vitellinus ENSMVIG00005016697
serinus_canaria ENSSCAG00000013847
zonotrichia_albicollis ENSZALG00000010896
cyanistes_caeruleus ENSCCEG00000013297
parus_major ENSPMJG00000008935
lepidothrix_coronata ENSLCOG00000013144
melopsittacus_undulatus ENSMUNG00000005364
calidris_pygmaea ENSCPGG00000017144
calidris_pugnax ENSCPUG00000014454
crocodylus_porosus ENSCPRG00005018068
chelonoidis_abingdonii ENSCABG00000009027
gopherus_agassizii ENSGAGG00000025351
chrysemys_picta ENSCPBG00000016322
pogona_vitticeps ENSPVIG00000012374
anolis_carolinensis ENSACAG00000005273
notechis_scutatus ENSNSUG00000011885
salvator_merianae ENSSMRG00000022469
vombatus_ursinus ENSVURG00010018671
vombatus_ursinus ENSVURG00010017460
phascolarctos_cinereus ENSPCIG00000001027
notamacropus_eugenii ENSMEUG00000001705
monodelphis_domestica ENSMODG00000023278
mus_musculus ENSMUSG00000091530
mus_spicilegus ENSMSIG00000021179
mus_spretus MGP_SPRETEiJ_G0021924
mus_caroli MGP_CAROLIEiJ_G0021019
mus_pahari MGP_PahariEiJ_G0023337
rattus_norvegicus ENSRNOG00000023531
meriones_unguiculatus ENSMUGG00000010203
cricetulus_griseus ENSCGRG00015010679
cricetulus_griseus ENSCGRG00000020024
cricetulus_griseus ENSCGRG00001008208
mesocricetus_auratus ENSMAUG00000009291
microtus_ochrogaster ENSMOCG00000017009
peromyscus_maniculatus ENSPEMG00000030418
nannospalax_galili ENSNGAG00000015193
castor_canadensis ENSCCNG00000007869
heterocephalus_glaber ENSHGLG00000019987
heterocephalus_glaber ENSHGLG00100019789
fukomys_damarensis ENSFDAG00000017451
cavia_porcellus ENSCPOG00000031831
urocitellus_parryii ENSUPAG00010016434
spermophilus_dauricus ENSSDAG00000000973
ictidomys_tridecemlineatus ENSSTOG00000000795
marmota_marmota ENSMMMG00000012258
oryctolagus_cuniculus ENSOCUG00000012158
ochotona_princeps ENSOPRG00000008943
prolemur_simus ENSPSMG00000021575
otolemur_garnettii ENSOGAG00000027759
pan_troglodytes ENSPTRG00000018731
pan_paniscus ENSPPAG00000014379
homo_sapiens ENSG00000171217
gorilla_gorilla ENSGGOG00000000295
pongo_abelii ENSPPYG00000017257
pongo_abelii ENSPPYG00000017124
nomascus_leucogenys ENSNLEG00000015639
rhinopithecus_bieti ENSRBIG00000026938
rhinopithecus_roxellana ENSRROG00000022684
colobus_angolensis ENSCANG00000003004
piliocolobus_tephrosceles ENSPTEG00000037172
papio_anubis ENSPANG00000004782
theropithecus_gelada ENSTGEG00000025389
mandrillus_leucophaeus ENSMLEG00000028264
chlorocebus_sabaeus ENSCSAG00000018982
macaca_mulatta ENSMMUG00000011172
macaca_fascicularis ENSMFAG00000024948
macaca_nemestrina ENSMNEG00000003144
cebus_capucinus ENSCCAG00000002679
callithrix_jacchus ENSCJAG00000054130
saimiri_boliviensis ENSSBOG00000018025
aotus_nancymaae ENSANAG00000016075
tupaia_belangeri ENSTBEG00000009185
ursus_americanus ENSUAMG00000017804
ursus_maritimus ENSUMAG00000013386
ailuropoda_melanoleuca ENSAMEG00000019340
neovison_vison ENSNVIG00000008611
mustela_putorius ENSMPUG00000018795
canis_lupus ENSCAFG00020015226
canis_lupus ENSCAFG00000000583
vulpes_vulpes ENSVVUG00000007657
equus_asinus ENSEASG00005018888
pteropus_vampyrus ENSPVAG00000015820
vicugna_pacos ENSVPAG00000010149
panthera_tigris ENSPTIG00000007262
panthera_pardus ENSPPRG00000017414
felis_catus ENSFCAG00000001805
myotis_lucifugus ENSMLUG00000011344
bos_indicus ENSBIXG00000021503
bos_taurus ENSBTAG00000046726
bos_indicus ENSBIXG00005018824
bos_mutus ENSBMUG00000023939
bison_bison ENSBBBG00000011901
capra_hircus ENSCHIG00000004190
ovis_aries ENSOARG00000002723
tursiops_truncatus ENSTTRG00000006331
choloepus_hoffmanni ENSCHOG00000008393
dasypus_novemcinctus ENSDNOG00000030729
latimeria_chalumnae ENSLACG00000012716
paramormyrops_kingsleyae ENSPKIG00000023415
scleropages_formosus ENSSFOG00015001626
denticeps_clupeoides ENSDCDG00000029751
clupea_harengus ENSCHAG00000011145
astyanax_mexicanus ENSAMXG00000025078
astyanax_mexicanus ENSAMXG00005015467
pygocentrus_nattereri ENSPNAG00000003827
electrophorus_electricus ENSEEEG00000015433
ictalurus_punctatus ENSIPUG00000006239
hucho_hucho ENSHHUG00000022251
hucho_hucho ENSHHUG00000024324
esox_lucius ENSELUG00000014633
seriola_lalandi ENSSLDG00000008984
seriola_dumerili ENSSDUG00000002346
scophthalmus_maximus ENSSMAG00000009601
lates_calcarifer ENSLCAG00010018317
larimichthys_crocea ENSLCRG00005002758
mola_mola ENSMMOG00000017724
mastacembelus_armatus ENSMAMG00000003636
stegastes_partitus ENSSPAG00000021123
acanthochromis_polyacanthus ENSAPOG00000000641
haplochromis_burtoni ENSHBUG00000010610
pundamilia_nyererei ENSPNYG00000003933
maylandia_zebra ENSMZEG00005024612
astatotilapia_calliptera ENSACLG00000013937
neolamprologus_brichardi ENSNBRG00000005590
oreochromis_niloticus ENSONIG00000021260
amphilophus_citrinellus ENSACIG00000001461
oryzias_latipes ENSORLG00000022927
oryzias_latipes ENSORLG00015009933
oryzias_latipes ENSORLG00020012294
oryzias_melastigma ENSOMEG00000022899
parambassis_ranga ENSPRNG00000010297
labrus_bergylta ENSLBEG00000001229
labrus_bergylta ENSLBEG00000017452
takifugu_rubripes ENSTRUG00000016082
tetraodon_nigroviridis ENSTNIG00000002518
betta_splendens ENSBSLG00000013492
cynoglossus_semilaevis ENSCSEG00000005980
gouania_willdenowi ENSGWIG00000009903
hippocampus_comes ENSHCOG00000007373
poecilia_latipinna ENSPLAG00000000902
poecilia_reticulata ENSPREG00000014486
poecilia_mexicana ENSPMEG00000018656
poecilia_formosa ENSPFOG00000020600
xiphophorus_couchianus ENSXCOG00000019638
xiphophorus_maculatus ENSXMAG00000020180
gambusia_affinis ENSGAFG00000019420
fundulus_heteroclitus ENSFHEG00000018034
cyprinodon_variegatus ENSCVAG00000014636
kryptolebias_marmoratus ENSKMAG00000005534
maylandia_zebra ENSMZEG00005014168
amphiprion_percula ENSAPEG00000019931
amphiprion_ocellaris ENSAOCG00000006074
cottoperca_gobio ENSCGOG00000016284
cottoperca_gobio ENSCGOG00000016285
lates_calcarifer ENSLCAG00010014608
periophthalmus_magnuspinnatus ENSPMGG00000021736
scleropages_formosus ENSSFOG00015009765
paramormyrops_kingsleyae ENSPKIG00000021154
astyanax_mexicanus ENSAMXG00005023043
astyanax_mexicanus ENSAMXG00000025088
pygocentrus_nattereri ENSPNAG00000000242
ictalurus_punctatus ENSIPUG00000010993
electrophorus_electricus ENSEEEG00000006014
denticeps_clupeoides ENSDCDG00000026275
clupea_harengus ENSCHAG00000008645
oryzias_latipes ENSORLG00015016027
oryzias_latipes ENSORLG00000017332
oryzias_latipes ENSORLG00020000028
oryzias_melastigma ENSOMEG00000015609
betta_splendens ENSBSLG00000025761
gasterosteus_aculeatus ENSGACG00000006897
cottoperca_gobio ENSCGOG00000005653
gouania_willdenowi ENSGWIG00000016733
gadus_morhua ENSGMOG00000000892
esox_lucius ENSELUG00000002744
hucho_hucho ENSHHUG00000006870
takifugu_rubripes ENSTRUG00000009887
tetraodon_nigroviridis ENSTNIG00000016883
mola_mola ENSMMOG00000002205
larimichthys_crocea ENSLCRG00005022546
kryptolebias_marmoratus ENSKMAG00000012730
cynoglossus_semilaevis ENSCSEG00000000132
monopterus_albus ENSMALG00000011682
periophthalmus_magnuspinnatus ENSPMGG00000011291
hippocampus_comes ENSHCOG00000014112
anabas_testudineus ENSATEG00000006854
mastacembelus_armatus ENSMAMG00000009442
poecilia_mexicana ENSPMEG00000020152
poecilia_reticulata ENSPREG00000000627
xiphophorus_maculatus ENSXMAG00000019991
xiphophorus_couchianus ENSXCOG00000013233
gambusia_affinis ENSGAFG00000018000
fundulus_heteroclitus ENSFHEG00000008360
cyprinodon_variegatus ENSCVAG00000009188
stegastes_partitus ENSSPAG00000019534
acanthochromis_polyacanthus ENSAPOG00000015447
parambassis_ranga ENSPRNG00000015041
astatotilapia_calliptera ENSACLG00000018770
pundamilia_nyererei ENSPNYG00000007358
haplochromis_burtoni ENSHBUG00000019376
amphiprion_percula ENSAPEG00000020390
amphiprion_ocellaris ENSAOCG00000000126
maylandia_zebra ENSMZEG00005005650
neolamprologus_brichardi ENSNBRG00000009031
amphilophus_citrinellus ENSACIG00000014306
poecilia_formosa ENSPFOG00000005290
poecilia_latipinna ENSPLAG00000021382
seriola_lalandi ENSSLDG00000000211
seriola_lalandi ENSSLDG00000023934
seriola_dumerili ENSSDUG00000011891
lates_calcarifer ENSLCAG00010014207
scophthalmus_maximus ENSSMAG00000008248
labrus_bergylta ENSLBEG00000011535
erpetoichthys_calabaricus ENSECRG00000002298
callorhinchus_milii ENSCMIG00000006264
