amphiprion_ocellaris ENSAOCG00000005422
amphiprion_percula ENSAPEG00000006109
acanthochromis_polyacanthus ENSAPOG00000007472
stegastes_partitus ENSSPAG00000023410
kryptolebias_marmoratus ENSKMAG00000021177
maylandia_zebra ENSMZEG00005000167
astatotilapia_calliptera ENSACLG00000000664
pundamilia_nyererei ENSPNYG00000007376
haplochromis_burtoni ENSHBUG00000018725
neolamprologus_brichardi ENSNBRG00000016810
oreochromis_niloticus ENSONIG00000010720
amphilophus_citrinellus ENSACIG00000015139
seriola_lalandi_dorsalis ENSSLDG00000004596
seriola_dumerili ENSSDUG00000004492
mastacembelus_armatus ENSMAMG00000012505
monopterus_albus ENSMALG00000010105
takifugu_rubripes ENSTRUG00000024204
tetraodon_nigroviridis ENSTNIG00000008831
mola_mola ENSMMOG00000010727
gasterosteus_aculeatus ENSGACG00000000480
scophthalmus_maximus ENSSMAG00000000390
cynoglossus_semilaevis ENSCSEG00000000329
labrus_bergylta ENSLBEG00000006313
poecilia_mexicana ENSPMEG00000011727
poecilia_latipinna ENSPLAG00000008210
poecilia_formosa ENSPFOG00000012232
poecilia_reticulata ENSPREG00000000672
xiphophorus_maculatus ENSXMAG00000024919
xiphophorus_couchianus ENSXCOG00000005521
gambusia_affinis ENSGAFG00000006514
cyprinodon_variegatus ENSCVAG00000011195
cyprinodon_variegatus ENSCVAG00000021313
oryzias_latipes_asm223469v1 ENSORLG00015003009
oryzias_latipes ENSORLG00000015454
oryzias_latipes ENSORLG00020012693
oryzias_melastigma ENSOMEG00000020010
periophthalmus_magnuspinnatus ENSPMGG00000001983
gadus_morhua ENSGMOG00000004183
esox_lucius ENSELUG00000013308
scleropages_formosus ENSSFOG00015023223
astyanax_mexicanus ENSAMXG00000041084
ictalurus_punctatus ENSIPUG00000006136
pygocentrus_nattereri ENSPNAG00000021674
paramormyrops_kingsleyae ENSPKIG00000021758
danio_rerio ENSDARG00000026829
gallus_gallus ENSGALG00000017644
meleagris_gallopavo ENSMGAG00000007104
coturnix_japonica ENSCJPG00005014725
numida_meleagris ENSNMEG00000018784
anser_brachyrhynchus ENSABRG00000013931
anas_platyrhynchos_platyrhynchos ENSAPLG00000016644
melopsittacus_undulatus ENSMUNG00000014685
lepidothrix_coronata ENSLCOG00000014604
manacus_vitellinus ENSMVIG00005012985
zonotrichia_albicollis ENSZALG00000013871
junco_hyemalis ENSJHYG00000004344
serinus_canaria ENSSCAG00000006708
lonchura_striata_domestica ENSLSDG00000016066
taeniopygia_guttata ENSTGUG00000004261
ficedula_albicollis ENSFALG00000006695
cyanistes_caeruleus ENSCCEG00000007453
parus_major ENSPMJG00000013949
calidris_pugnax ENSCPUG00000009559
calidris_pygmaea ENSCPGG00000018144
apteryx_owenii ENSAOWG00000006231
apteryx_rowi ENSARWG00000010021
apteryx_haastii ENSAHAG00000016957
nothoprocta_perdicaria ENSNPEG00000000906
dromaius_novaehollandiae ENSDNVG00000010645
crocodylus_porosus ENSCPRG00005006356
chelonoidis_abingdonii ENSCABG00000011868
gopherus_agassizii ENSGAGG00000014177
chrysemys_picta_bellii ENSCPBG00000023626
pelodiscus_sinensis ENSPSIG00000014015
sphenodon_punctatus ENSSPUG00000008015
pogona_vitticeps ENSPVIG00000018829
anolis_carolinensis ENSACAG00000007722
notechis_scutatus ENSNSUG00000019020
salvator_merianae ENSSMRG00000006510
notamacropus_eugenii ENSMEUG00000009658
phascolarctos_cinereus ENSPCIG00000013538
sarcophilus_harrisii ENSSHAG00000003823
monodelphis_domestica ENSMODG00000004760
loxodonta_africana ENSLAFG00000032427
procavia_capensis ENSPCAG00000010174
echinops_telfairi ENSETEG00000014746
ailuropoda_melanoleuca ENSAMEG00000018310
ursus_americanus ENSUAMG00000003058
neovison_vison ENSNVIG00000020923
canis_lupus_dingo ENSCAFG00020003997
canis_lupus_familiaris ENSCAFG00000032529
vulpes_vulpes ENSVVUG00000030305
panthera_tigris_altaica ENSPTIG00000015903
pteropus_vampyrus ENSPVAG00000009671
felis_catus ENSFCAG00000043033
panthera_pardus ENSPPRG00000005657
myotis_lucifugus ENSMLUG00000004366
equus_asinus_asinus ENSEASG00005013776
equus_caballus ENSECAG00000012738
vicugna_pacos ENSVPAG00000010744
capra_hircus ENSCHIG00000023708
ovis_aries ENSOARG00000010925
bos_mutus ENSBMUG00000014321
bos_taurus ENSBTAG00000016315
bison_bison_bison ENSBBBG00000004684
tursiops_truncatus ENSTTRG00000008408
sus_scrofa ENSSSCG00000037645
mustela_putorius_furo ENSMPUG00000008826
pan_paniscus ENSPPAG00000033762
pan_troglodytes ENSPTRG00000008419
gorilla_gorilla ENSGGOG00000036489
homo_sapiens ENSG00000103187
pongo_abelii ENSPPYG00000007607
nomascus_leucogenys ENSNLEG00000011242
cebus_capucinus ENSCCAG00000032654
saimiri_boliviensis_boliviensis ENSSBOG00000032622
cebus_capucinus ENSCCAG00000034184
saimiri_boliviensis_boliviensis ENSSBOG00000019290
callithrix_jacchus ENSCJAG00000047974
aotus_nancymaae ENSANAG00000020703
macaca_mulatta ENSMMUG00000007039
macaca_nemestrina ENSMNEG00000044756
macaca_fascicularis ENSMFAG00000041288
chlorocebus_sabaeus ENSCSAG00000003191
