notechis_scutatus ENSNSUG00000002110
anolis_carolinensis ENSACAG00000010339
salvator_merianae ENSSMRG00000003348
pogona_vitticeps ENSPVIG00000013829
sphenodon_punctatus ENSSPUG00000002100
chelonoidis_abingdonii ENSCABG00000009722
gopherus_agassizii ENSGAGG00000012765
chrysemys_picta ENSCPBG00000002268
pelodiscus_sinensis ENSPSIG00000015205
melopsittacus_undulatus ENSMUNG00000007303
calidris_pugnax ENSCPUG00000019363
taeniopygia_guttata ENSTGUG00000011076
lonchura_striata ENSLSDG00000012390
serinus_canaria ENSSCAG00000014317
junco_hyemalis ENSJHYG00000010192
ficedula_albicollis ENSFALG00000002201
parus_major ENSPMJG00000005539
manacus_vitellinus ENSMVIG00005016015
lepidothrix_coronata ENSLCOG00000010000
anas_platyrhynchos ENSAPLG00000024273
apteryx_rowi ENSARWG00000018602
apteryx_owenii ENSAOWG00000016767
apteryx_haastii ENSAHAG00000012953
dromaius_novaehollandiae ENSDNVG00000009976
coturnix_japonica ENSCJPG00005020121
gallus_gallus ENSGALG00000009302
numida_meleagris ENSNMEG00000012870
nothoprocta_perdicaria ENSNPEG00000014812
xenopus_tropicalis ENSXETG00000022080
scleropages_formosus ENSSFOG00015006336
gadus_morhua ENSGMOG00000006160
esox_lucius ENSELUG00000020231
danio_rerio ENSDARG00000039701
paramormyrops_kingsleyae ENSPKIG00000018768
lepisosteus_oculatus ENSLOCG00000009698
latimeria_chalumnae ENSLACG00000014520
oryzias_latipes ENSORLG00000014157
oryzias_latipes ENSORLG00015019739
oryzias_melastigma ENSOMEG00000016353
astatotilapia_calliptera ENSACLG00000019701
poecilia_mexicana ENSPMEG00000009202
oryzias_latipes ENSORLG00020004494
cynoglossus_semilaevis ENSCSEG00000008171
mola_mola ENSMMOG00000008410
seriola_dumerili ENSSDUG00000019125
seriola_lalandi ENSSLDG00000020855
gasterosteus_aculeatus ENSGACG00000003199
labrus_bergylta ENSLBEG00000023421
takifugu_rubripes ENSTRUG00000024123
tetraodon_nigroviridis ENSTNIG00000002977
monopterus_albus ENSMALG00000008451
mastacembelus_armatus ENSMAMG00000014095
anabas_testudineus ENSATEG00000011381
amphiprion_percula ENSAPEG00000000312
amphiprion_ocellaris ENSAOCG00000005089
acanthochromis_polyacanthus ENSAPOG00000014709
stegastes_partitus ENSSPAG00000000082
haplochromis_burtoni ENSHBUG00000012199
maylandia_zebra ENSMZEG00005011675
neolamprologus_brichardi ENSNBRG00000017466
pundamilia_nyererei ENSPNYG00000004443
oreochromis_niloticus ENSONIG00000010343
amphilophus_citrinellus ENSACIG00000003052
