scophthalmus_maximus ENSSMAG00000009405
cynoglossus_semilaevis ENSCSEG00000008984
seriola_lalandi_dorsalis ENSSLDG00000003838
seriola_dumerili ENSSDUG00000000443
amphiprion_ocellaris ENSAOCG00000008902
amphiprion_percula ENSAPEG00000017943
acanthochromis_polyacanthus ENSAPOG00000000736
stegastes_partitus ENSSPAG00000013020
maylandia_zebra ENSMZEG00005023637
astatotilapia_calliptera ENSACLG00000017703
haplochromis_burtoni ENSHBUG00000003799
pundamilia_nyererei ENSPNYG00000022715
neolamprologus_brichardi ENSNBRG00000014686
oreochromis_niloticus ENSONIG00000014604
amphilophus_citrinellus ENSACIG00000010146
anabas_testudineus ENSATEG00000017967
monopterus_albus ENSMALG00000004711
mola_mola ENSMMOG00000007162
gasterosteus_aculeatus ENSGACG00000018031
labrus_bergylta ENSLBEG00000027729
mastacembelus_armatus ENSMAMG00000018744
xiphophorus_maculatus ENSXMAG00000016107
xiphophorus_couchianus ENSXCOG00000008183
gambusia_affinis ENSGAFG00000020543
poecilia_formosa ENSPFOG00000006837
poecilia_latipinna ENSPLAG00000002343
poecilia_mexicana ENSPMEG00000013449
poecilia_reticulata ENSPREG00000008914
cyprinodon_variegatus ENSCVAG00000018295
fundulus_heteroclitus ENSFHEG00000007484
kryptolebias_marmoratus ENSKMAG00000000098
periophthalmus_magnuspinnatus ENSPMGG00000001666
esox_lucius ENSELUG00000020886
astyanax_mexicanus ENSAMXG00000006996
pygocentrus_nattereri ENSPNAG00000016046
ictalurus_punctatus ENSIPUG00000017505
scleropages_formosus ENSSFOG00015009310
paramormyrops_kingsleyae ENSPKIG00000013688
scleropages_formosus ENSSFOG00015000473
paramormyrops_kingsleyae ENSPKIG00000023675
hippocampus_comes ENSHCOG00000017344
periophthalmus_magnuspinnatus ENSPMGG00000023265
xiphophorus_maculatus ENSXMAG00000014677
gambusia_affinis ENSGAFG00000014024
poecilia_mexicana ENSPMEG00000010445
poecilia_reticulata ENSPREG00000011738
poecilia_latipinna ENSPLAG00000001355
poecilia_formosa ENSPFOG00000009329
fundulus_heteroclitus ENSFHEG00000006103
cyprinodon_variegatus ENSCVAG00000005295
kryptolebias_marmoratus ENSKMAG00000002819
oryzias_latipes ENSORLG00020009491
oryzias_latipes ENSORLG00000020514
oryzias_latipes_asm223469v1 ENSORLG00015018760
oryzias_melastigma ENSOMEG00000010116
tetraodon_nigroviridis ENSTNIG00000003646
mastacembelus_armatus ENSMAMG00000014324
monopterus_albus ENSMALG00000019675
anabas_testudineus ENSATEG00000018648
seriola_dumerili ENSSDUG00000014345
seriola_lalandi_dorsalis ENSSLDG00000018903
labrus_bergylta ENSLBEG00000024095
labrus_bergylta ENSLBEG00000017545
gasterosteus_aculeatus ENSGACG00000016300
mola_mola ENSMMOG00000004306
amphiprion_percula ENSAPEG00000018244
amphiprion_ocellaris ENSAOCG00000013900
acanthochromis_polyacanthus ENSAPOG00000004157
stegastes_partitus ENSSPAG00000012043
astatotilapia_calliptera ENSACLG00000015591
haplochromis_burtoni ENSHBUG00000021504
maylandia_zebra ENSMZEG00005006790
pundamilia_nyererei ENSPNYG00000002731
neolamprologus_brichardi ENSNBRG00000013177
oreochromis_niloticus ENSONIG00000001631
maylandia_zebra ENSMZEG00005022813
amphilophus_citrinellus ENSACIG00000022458
takifugu_rubripes ENSTRUG00000000119
cynoglossus_semilaevis ENSCSEG00000005435
gadus_morhua ENSGMOG00000004798
esox_lucius ENSELUG00000023094
astyanax_mexicanus ENSAMXG00000016423
pygocentrus_nattereri ENSPNAG00000002941
ictalurus_punctatus ENSIPUG00000006949
danio_rerio ENSDARG00000090982
lepisosteus_oculatus ENSLOCG00000011528
apteryx_haastii ENSAHAG00000004820
apteryx_rowi ENSARWG00000011064
apteryx_owenii ENSAOWG00000016915
dromaius_novaehollandiae ENSDNVG00000000303
nothoprocta_perdicaria ENSNPEG00000011316
calidris_pugnax ENSCPUG00000009272
calidris_pygmaea ENSCPGG00000003745
melopsittacus_undulatus ENSMUNG00000011582
zonotrichia_albicollis ENSZALG00000000599
serinus_canaria ENSSCAG00000013489
taeniopygia_guttata ENSTGUG00000000337
lonchura_striata_domestica ENSLSDG00000015887
