mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021203
mus_spicilegus ENSMSIG00000008267
mus_musculus ENSMUSG00000023039
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020310
mus_pahari MGP_PahariEiJ_G0020311
rattus_norvegicus ENSRNOG00000008057
meriones_unguiculatus ENSMUGG00000005525
cricetulus_griseus_crigri-picr ENSCGRG00015028608
cricetulus_griseus_chok1gshd ENSCGRG00001013984
cricetulus_griseus_crigri ENSCGRG00000010529
mesocricetus_auratus ENSMAUG00000015329
microtus_ochrogaster ENSMOCG00000008116
peromyscus_maniculatus_bairdii ENSPEMG00000018537
nannospalax_galili ENSNGAG00000017851
jaculus_jaculus ENSJJAG00000020988
urocitellus_parryii ENSUPAG00010002035
ictidomys_tridecemlineatus ENSSTOG00000022599
marmota_marmota_marmota ENSMMMG00000000950
spermophilus_dauricus ENSSDAG00000022342
castor_canadensis ENSCCNG00000020468
dipodomys_ordii ENSDORG00000013651
chinchilla_lanigera ENSCLAG00000001185
octodon_degus ENSODEG00000011780
cavia_porcellus ENSCPOG00000011035
cavia_aperea ENSCAPG00000008534
heterocephalus_glaber_male ENSHGLG00100006234
heterocephalus_glaber_female ENSHGLG00000013412
fukomys_damarensis ENSFDAG00000010209
ochotona_princeps ENSOPRG00000001649
oryctolagus_cuniculus ENSOCUG00000002632
propithecus_coquereli ENSPCOG00000028334
microcebus_murinus ENSMICG00000016848
prolemur_simus ENSPSMG00000012400
otolemur_garnettii ENSOGAG00000008480
callithrix_jacchus ENSCJAG00000017950
callithrix_jacchus ENSCJAG00000021015
cebus_capucinus ENSCCAG00000036349
saimiri_boliviensis_boliviensis ENSSBOG00000032741
saimiri_boliviensis_boliviensis ENSSBOG00000032298
aotus_nancymaae ENSANAG00000035873
pan_troglodytes ENSPTRG00000004969
pan_paniscus ENSPPAG00000043563
homo_sapiens ENSG00000135480
gorilla_gorilla ENSGGOG00000006599
pongo_abelii ENSPPYG00000004540
nomascus_leucogenys ENSNLEG00000017758
cercocebus_atys ENSCATG00000044504
mandrillus_leucophaeus ENSMLEG00000043643
theropithecus_gelada ENSTGEG00000005878
theropithecus_gelada ENSTGEG00000019505
papio_anubis ENSPANG00000014117
theropithecus_gelada ENSTGEG00000023115
papio_anubis ENSPANG00000002727
macaca_fascicularis ENSMFAG00000032813
macaca_mulatta ENSMMUG00000010000
macaca_nemestrina ENSMNEG00000034954
chlorocebus_sabaeus ENSCSAG00000005799
piliocolobus_tephrosceles ENSPTEG00000038481
colobus_angolensis_palliatus ENSCANG00000029309
rhinopithecus_roxellana ENSRROG00000040456
rhinopithecus_bieti ENSRBIG00000043757
callithrix_jacchus ENSCJAG00000002946
callithrix_jacchus ENSCJAG00000042931
piliocolobus_tephrosceles ENSPTEG00000021165
colobus_angolensis_palliatus ENSCANG00000031752
tupaia_belangeri ENSTBEG00000001409
bos_mutus ENSBMUG00000008600
bos_taurus ENSBTAG00000016165
bison_bison_bison ENSBBBG00000020704
capra_hircus ENSCHIG00000020612
ovis_aries ENSOARG00000017187
tursiops_truncatus ENSTTRG00000002820
sus_scrofa ENSSSCG00000038966
pteropus_vampyrus ENSPVAG00000006722
myotis_lucifugus ENSMLUG00000010069
equus_asinus_asinus ENSEASG00005008820
equus_caballus ENSECAG00000020216
ailuropoda_melanoleuca ENSAMEG00000001683
ursus_americanus ENSUAMG00000013594
vulpes_vulpes ENSVVUG00000027789
canis_lupus_dingo ENSCAFG00020001160
neovison_vison ENSNVIG00000004276
mustela_putorius_furo ENSMPUG00000007640
canis_lupus_familiaris ENSCAFG00000025207
mustela_putorius_furo ENSMPUG00000013443
ailuropoda_melanoleuca ENSAMEG00000006186
ursus_americanus ENSUAMG00000016038
panthera_pardus ENSPPRG00000011386
panthera_tigris_altaica ENSPTIG00000004111
felis_catus ENSFCAG00000000270
erinaceus_europaeus ENSEEUG00000007784
carlito_syrichta ENSTSYG00000033323
choloepus_hoffmanni ENSCHOG00000005252
fukomys_damarensis ENSFDAG00000018831
loxodonta_africana ENSLAFG00000010614
procavia_capensis ENSPCAG00000009101
echinops_telfairi ENSETEG00000008160
phascolarctos_cinereus ENSPCIG00000027526
notamacropus_eugenii ENSMEUG00000001947
sarcophilus_harrisii ENSSHAG00000013768
