acanthochromis_polyacanthus ENSAPOG00000019141
kryptolebias_marmoratus ENSKMAG00000000652
scophthalmus_maximus ENSSMAG00000006413
cynoglossus_semilaevis ENSCSEG00000002007
amphiprion_percula ENSAPEG00000017983
amphiprion_ocellaris ENSAOCG00000006864
stegastes_partitus ENSSPAG00000000867
maylandia_zebra ENSMZEG00005011023
pundamilia_nyererei ENSPNYG00000001447
haplochromis_burtoni ENSHBUG00000017425
astatotilapia_calliptera ENSACLG00000026618
oreochromis_niloticus ENSONIG00000000904
neolamprologus_brichardi ENSNBRG00000021075
amphilophus_citrinellus ENSACIG00000004264
poecilia_mexicana ENSPMEG00000001796
poecilia_latipinna ENSPLAG00000003277
poecilia_reticulata ENSPREG00000015815
xiphophorus_couchianus ENSXCOG00000007514
gambusia_affinis ENSGAFG00000008415
poecilia_formosa ENSPFOG00000001982
xiphophorus_maculatus ENSXMAG00000008461
cyprinodon_variegatus ENSCVAG00000015963
cyprinodon_variegatus ENSCVAG00000013704
fundulus_heteroclitus ENSFHEG00000019326
oryzias_latipes_asm223469v1 ENSORLG00015016064
oryzias_latipes ENSORLG00020001693
oryzias_latipes ENSORLG00000009507
oryzias_melastigma ENSOMEG00000019407
takifugu_rubripes ENSTRUG00000010342
tetraodon_nigroviridis ENSTNIG00000010736
mola_mola ENSMMOG00000004645
labrus_bergylta ENSLBEG00000025207
hippocampus_comes ENSHCOG00000013782
mastacembelus_armatus ENSMAMG00000012612
monopterus_albus ENSMALG00000017637
anabas_testudineus ENSATEG00000018857
seriola_dumerili ENSSDUG00000008882
seriola_lalandi_dorsalis ENSSLDG00000001663
gasterosteus_aculeatus ENSGACG00000012581
gadus_morhua ENSGMOG00000002352
