oreochromis_niloticus ENSONIG00000019868
cynoglossus_semilaevis ENSCSEG00000018284
gasterosteus_aculeatus ENSGACG00000001686
mola_mola ENSMMOG00000020288
fundulus_heteroclitus ENSFHEG00000005637
cyprinodon_variegatus ENSCVAG00000020275
xiphophorus_couchianus ENSXCOG00000012883
xiphophorus_maculatus ENSXMAG00000023410
gambusia_affinis ENSGAFG00000006178
poecilia_formosa ENSPFOG00000002026
poecilia_mexicana ENSPMEG00000005126
poecilia_latipinna ENSPLAG00000015409
poecilia_reticulata ENSPREG00000021816
kryptolebias_marmoratus ENSKMAG00000015741
oryzias_latipes ENSORLG00000030633
oryzias_latipes ENSORLG00020011006
oryzias_latipes_asm223469v1 ENSORLG00015011793
oryzias_melastigma ENSOMEG00000004455
monopterus_albus ENSMALG00000019802
labrus_bergylta ENSLBEG00000013829
takifugu_rubripes ENSTRUG00000021353
mastacembelus_armatus ENSMAMG00000002904
anabas_testudineus ENSATEG00000000649
amphiprion_ocellaris ENSAOCG00000015017
amphiprion_percula ENSAPEG00000014435
acanthochromis_polyacanthus ENSAPOG00000008687
stegastes_partitus ENSSPAG00000019139
maylandia_zebra ENSMZEG00005012721
astatotilapia_calliptera ENSACLG00000007773
pundamilia_nyererei ENSPNYG00000009359
haplochromis_burtoni ENSHBUG00000008970
neolamprologus_brichardi ENSNBRG00000009025
amphilophus_citrinellus ENSACIG00000014368
seriola_lalandi_dorsalis ENSSLDG00000013992
seriola_dumerili ENSSDUG00000002972
scophthalmus_maximus ENSSMAG00000018903
periophthalmus_magnuspinnatus ENSPMGG00000011918
tetraodon_nigroviridis ENSTNIG00000001564
gadus_morhua ENSGMOG00000005567
esox_lucius ENSELUG00000010428
pygocentrus_nattereri ENSPNAG00000011292
astyanax_mexicanus ENSAMXG00000018419
ictalurus_punctatus ENSIPUG00000002032
danio_rerio ENSDARG00000052059
scleropages_formosus ENSSFOG00015018744
paramormyrops_kingsleyae ENSPKIG00000011076
lepisosteus_oculatus ENSLOCG00000013367
salvator_merianae ENSSMRG00000001373
pogona_vitticeps ENSPVIG00000011319
latimeria_chalumnae ENSLACG00000007014
apteryx_owenii ENSAOWG00000011478
apteryx_rowi ENSARWG00000007575
apteryx_haastii ENSAHAG00000017419
nothoprocta_perdicaria ENSNPEG00000000046
dromaius_novaehollandiae ENSDNVG00000008071
anas_platyrhynchos_platyrhynchos ENSAPLG00000028962
anser_brachyrhynchus ENSABRG00000007290
gallus_gallus ENSGALG00000021180
coturnix_japonica ENSCJPG00005011390
numida_meleagris ENSNMEG00000012628
calidris_pygmaea ENSCPGG00000014987
calidris_pugnax ENSCPUG00000005724
lonchura_striata_domestica ENSLSDG00000010914
taeniopygia_guttata ENSTGUG00000008683
junco_hyemalis ENSJHYG00000007869
parus_major ENSPMJG00000018595
serinus_canaria ENSSCAG00000000693
cyanistes_caeruleus ENSCCEG00000014909
lepidothrix_coronata ENSLCOG00000005206
melopsittacus_undulatus ENSMUNG00000011169
crocodylus_porosus ENSCPRG00005000250
gopherus_agassizii ENSGAGG00000010644
chelonoidis_abingdonii ENSCABG00000018199
chrysemys_picta_bellii ENSCPBG00000008921
pelodiscus_sinensis ENSPSIG00000000411
salvator_merianae ENSSMRG00000016416
notechis_scutatus ENSNSUG00000018174
cavia_porcellus ENSCPOG00000021386
cavia_aperea ENSCAPG00000017930
heterocephalus_glaber_female ENSHGLG00000017213
heterocephalus_glaber_male ENSHGLG00100021218
octodon_degus ENSODEG00000019884
chinchilla_lanigera ENSCLAG00000017569
spermophilus_dauricus ENSSDAG00000005252
urocitellus_parryii ENSUPAG00010008526
ictidomys_tridecemlineatus ENSSTOG00000028103
marmota_marmota_marmota ENSMMMG00000017183
castor_canadensis ENSCCNG00000004351
ochotona_princeps ENSOPRG00000011325
mus_musculus ENSMUSG00000064225
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033673
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032531
mus_pahari MGP_PahariEiJ_G0015399
rattus_norvegicus ENSRNOG00000032374
meriones_unguiculatus ENSMUGG00000015579
cricetulus_griseus_chok1gshd ENSCGRG00001011034
cricetulus_griseus_crigri-picr ENSCGRG00015005855
peromyscus_maniculatus_bairdii ENSPEMG00000021256
microtus_ochrogaster ENSMOCG00000001088
nannospalax_galili ENSNGAG00000014583
jaculus_jaculus ENSJJAG00000019596
oryctolagus_cuniculus ENSOCUG00000016734
prolemur_simus ENSPSMG00000006758
microcebus_murinus ENSMICG00000049417
otolemur_garnettii ENSOGAG00000003917
macaca_mulatta ENSMMUG00000003927
macaca_fascicularis ENSMFAG00000034764
macaca_nemestrina ENSMNEG00000001542
papio_anubis ENSPANG00000021399
theropithecus_gelada ENSTGEG00000008391
chlorocebus_sabaeus ENSCSAG00000018908
rhinopithecus_roxellana ENSRROG00000015882
piliocolobus_tephrosceles ENSPTEG00000009346
pan_troglodytes ENSPTRG00000015488
pan_paniscus ENSPPAG00000009521
homo_sapiens ENSG00000188582
pongo_abelii ENSPPYG00000014177
cebus_capucinus ENSCCAG00000029369
callithrix_jacchus ENSCJAG00000040620
myotis_lucifugus ENSMLUG00000002919
pteropus_vampyrus ENSPVAG00000015244
neovison_vison ENSNVIG00000013125
mustela_putorius_furo ENSMPUG00000019343
ursus_americanus ENSUAMG00000028284
ursus_maritimus ENSUMAG00000012908
panthera_pardus ENSPPRG00000015091
felis_catus ENSFCAG00000024035
equus_asinus_asinus ENSEASG00005000232
equus_caballus ENSECAG00000021863
bos_taurus ENSBTAG00000011116
bos_mutus ENSBMUG00000020355
bison_bison_bison ENSBBBG00000004249
capra_hircus ENSCHIG00000009825
tursiops_truncatus ENSTTRG00000010039
vicugna_pacos ENSVPAG00000004696
sus_scrofa ENSSSCG00000011685
canis_lupus_dingo ENSCAFG00020010463
canis_lupus_familiaris ENSCAFG00000007944
vulpes_vulpes ENSVVUG00000021505
dasypus_novemcinctus ENSDNOG00000045189
choloepus_hoffmanni ENSCHOG00000003160
monodelphis_domestica ENSMODG00000021241
phascolarctos_cinereus ENSPCIG00000007113
dipodomys_ordii ENSDORG00000003630
ornithorhynchus_anatinus ENSOANG00000003643
xenopus_tropicalis ENSXETG00000033129
eptatretus_burgeri ENSEBUG00000000571
ciona_intestinalis ENSCING00000012062
ciona_savignyi ENSCSAVG00000007973
