calidris_pugnax ENSCPUG00000020005
calidris_pygmaea ENSCPGG00000006869
melopsittacus_undulatus ENSMUNG00000013473
manacus_vitellinus ENSMVIG00005014842
lepidothrix_coronata ENSLCOG00000000967
taeniopygia_guttata ENSTGUG00000017274
lonchura_striata_domestica ENSLSDG00000009466
serinus_canaria ENSSCAG00000002560
zonotrichia_albicollis ENSZALG00000006227
junco_hyemalis ENSJHYG00000009902
ficedula_albicollis ENSFALG00000007811
parus_major ENSPMJG00000010489
cyanistes_caeruleus ENSCCEG00000018868
anser_brachyrhynchus ENSABRG00000022788
anas_platyrhynchos_platyrhynchos ENSAPLG00000004413
gallus_gallus ENSGALG00000003206
coturnix_japonica ENSCJPG00005021463
meleagris_gallopavo ENSMGAG00000004201
numida_meleagris ENSNMEG00000020928
apteryx_owenii ENSAOWG00000011686
apteryx_haastii ENSAHAG00000005735
apteryx_rowi ENSARWG00000018406
dromaius_novaehollandiae ENSDNVG00000000878
crocodylus_porosus ENSCPRG00005004016
gopherus_agassizii ENSGAGG00000018083
chelonoidis_abingdonii ENSCABG00000022244
chrysemys_picta_bellii ENSCPBG00000017017
pelodiscus_sinensis ENSPSIG00000007651
anolis_carolinensis ENSACAG00000012638
pogona_vitticeps ENSPVIG00000000038
notechis_scutatus ENSNSUG00000011097
salvator_merianae ENSSMRG00000010939
sphenodon_punctatus ENSSPUG00000014997
choloepus_hoffmanni ENSCHOG00000004871
dasypus_novemcinctus ENSDNOG00000024291
loxodonta_africana ENSLAFG00000008601
procavia_capensis ENSPCAG00000005276
echinops_telfairi ENSETEG00000015471
echinops_telfairi ENSETEG00000003655
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015578
mus_spicilegus ENSMSIG00000023510
mus_musculus ENSMUSG00000026694
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014771
mus_pahari MGP_PahariEiJ_G0028008
meriones_unguiculatus ENSMUGG00000014714
meriones_unguiculatus ENSMUGG00000014736
cricetulus_griseus_crigri-picr ENSCGRG00015011271
cricetulus_griseus_chok1gshd ENSCGRG00001014417
cricetulus_griseus_crigri ENSCGRG00000009062
mesocricetus_auratus ENSMAUG00000021447
peromyscus_maniculatus_bairdii ENSPEMG00000019591
microtus_ochrogaster ENSMOCG00000011261
nannospalax_galili ENSNGAG00000017426
jaculus_jaculus ENSJJAG00000020197
castor_canadensis ENSCCNG00000010881
chinchilla_lanigera ENSCLAG00000014345
octodon_degus ENSODEG00000013057
cavia_porcellus ENSCPOG00000004377
cavia_aperea ENSCAPG00000017409
heterocephalus_glaber_male ENSHGLG00100001495
heterocephalus_glaber_female ENSHGLG00000011737
fukomys_damarensis ENSFDAG00000017108
urocitellus_parryii ENSUPAG00010001200
spermophilus_dauricus ENSSDAG00000010967
ictidomys_tridecemlineatus ENSSTOG00000003852
marmota_marmota_marmota ENSMMMG00000017943
oryctolagus_cuniculus ENSOCUG00000008257
ochotona_princeps ENSOPRG00000013830
tupaia_belangeri ENSTBEG00000010950
dipodomys_ordii ENSDORG00000011976
gorilla_gorilla ENSGGOG00000027207
gorilla_gorilla ENSGGOG00000004671
pan_troglodytes ENSPTRG00000001682
pan_paniscus ENSPPAG00000039457
homo_sapiens ENSG00000010165
pongo_abelii ENSPPYG00000000509
nomascus_leucogenys ENSNLEG00000015209
macaca_mulatta ENSMMUG00000007266
macaca_nemestrina ENSMNEG00000035859
macaca_fascicularis ENSMFAG00000045158
cercocebus_atys ENSCATG00000021485
