nannospalax_galili ENSNGAG00000014287
castor_canadensis ENSCCNG00000028807
cavia_porcellus ENSCPOG00000033682
cavia_aperea ENSCAPG00000010016
chinchilla_lanigera ENSCLAG00000012873
heterocephalus_glaber_male ENSHGLG00100006005
heterocephalus_glaber_female ENSHGLG00000002619
fukomys_damarensis ENSFDAG00000017039
urocitellus_parryii ENSUPAG00010019656
spermophilus_dauricus ENSSDAG00000012187
ictidomys_tridecemlineatus ENSSTOG00000019787
marmota_marmota_marmota ENSMMMG00000021953
oryctolagus_cuniculus ENSOCUG00000011680
tupaia_belangeri ENSTBEG00000013418
pan_troglodytes ENSPTRG00000040614
pan_troglodytes ENSPTRG00000049334
homo_sapiens ENSG00000173110
pongo_abelii ENSPPYG00000000595
nomascus_leucogenys ENSNLEG00000019161
cercocebus_atys ENSCATG00000031172
theropithecus_gelada ENSTGEG00000008408
macaca_fascicularis ENSMFAG00000034535
macaca_mulatta ENSMMUG00000039212
macaca_nemestrina ENSMNEG00000034011
rhinopithecus_roxellana ENSRROG00000028444
rhinopithecus_bieti ENSRBIG00000036010
piliocolobus_tephrosceles ENSPTEG00000024001
colobus_angolensis_palliatus ENSCANG00000007300
cebus_capucinus ENSCCAG00000001037
callithrix_jacchus ENSCJAG00000039527
carlito_syrichta ENSTSYG00000012894
propithecus_coquereli ENSPCOG00000014242
prolemur_simus ENSPSMG00000014923
microcebus_murinus ENSMICG00000003132
bison_bison_bison ENSBBBG00000022472
bos_taurus ENSBTAG00000039035
ovis_aries ENSOARG00000007452
capra_hircus ENSCHIG00000025411
vicugna_pacos ENSVPAG00000008239
equus_asinus_asinus ENSEASG00005013717
equus_caballus ENSECAG00000033016
dasypus_novemcinctus ENSDNOG00000036658
