pygocentrus_nattereri ENSPNAG00000016574
astyanax_mexicanus ENSAMXG00000042288
ictalurus_punctatus ENSIPUG00000011100
danio_rerio ENSDARG00000056678
paramormyrops_kingsleyae ENSPKIG00000022967
gambusia_affinis ENSGAFG00000019472
xiphophorus_maculatus ENSXMAG00000017475
poecilia_formosa ENSPFOG00000016612
poecilia_mexicana ENSPMEG00000022470
poecilia_latipinna ENSPLAG00000014659
poecilia_reticulata ENSPREG00000012194
cyprinodon_variegatus ENSCVAG00000009607
fundulus_heteroclitus ENSFHEG00000011466
oryzias_latipes ENSORLG00020012400
oryzias_latipes_asm223469v1 ENSORLG00015018432
oryzias_latipes ENSORLG00000004134
oryzias_melastigma ENSOMEG00000013806
scophthalmus_maximus ENSSMAG00000018552
takifugu_rubripes ENSTRUG00000005410
tetraodon_nigroviridis ENSTNIG00000009934
mola_mola ENSMMOG00000010234
astatotilapia_calliptera ENSACLG00000002534
maylandia_zebra ENSMZEG00005024377
haplochromis_burtoni ENSHBUG00000007453
pundamilia_nyererei ENSPNYG00000022836
neolamprologus_brichardi ENSNBRG00000012317
oreochromis_niloticus ENSONIG00000004648
amphilophus_citrinellus ENSACIG00000008647
kryptolebias_marmoratus ENSKMAG00000004913
amphiprion_ocellaris ENSAOCG00000014949
amphiprion_percula ENSAPEG00000020743
acanthochromis_polyacanthus ENSAPOG00000002455
stegastes_partitus ENSSPAG00000009402
labrus_bergylta ENSLBEG00000019789
gasterosteus_aculeatus ENSGACG00000020570
monopterus_albus ENSMALG00000011125
mastacembelus_armatus ENSMAMG00000013735
anabas_testudineus ENSATEG00000002424
seriola_lalandi_dorsalis ENSSLDG00000023322
seriola_dumerili ENSSDUG00000013597
cynoglossus_semilaevis ENSCSEG00000019432
periophthalmus_magnuspinnatus ENSPMGG00000001430
hippocampus_comes ENSHCOG00000011771
gadus_morhua ENSGMOG00000008096
esox_lucius ENSELUG00000008986
parus_major ENSPMJG00000001795
gopherus_agassizii ENSGAGG00000009187
eptatretus_burgeri ENSEBUG00000006385
