pygocentrus_nattereri ENSPNAG00000014287
astyanax_mexicanus ENSAMXG00000035847
ictalurus_punctatus ENSIPUG00000001187
danio_rerio ENSDARG00000056630
monopterus_albus ENSMALG00000007472
mastacembelus_armatus ENSMAMG00000019785
anabas_testudineus ENSATEG00000021354
seriola_lalandi_dorsalis ENSSLDG00000017129
seriola_dumerili ENSSDUG00000004097
scophthalmus_maximus ENSSMAG00000009928
labrus_bergylta ENSLBEG00000015610
mola_mola ENSMMOG00000018806
gasterosteus_aculeatus ENSGACG00000020628
poecilia_formosa ENSPFOG00000018426
poecilia_mexicana ENSPMEG00000002326
poecilia_latipinna ENSPLAG00000008216
poecilia_reticulata ENSPREG00000016989
xiphophorus_maculatus ENSXMAG00000010840
xiphophorus_couchianus ENSXCOG00000017862
gambusia_affinis ENSGAFG00000000765
fundulus_heteroclitus ENSFHEG00000017197
cyprinodon_variegatus ENSCVAG00000002701
kryptolebias_marmoratus ENSKMAG00000022262
oryzias_latipes_asm223469v1 ENSORLG00015014612
oryzias_latipes ENSORLG00020000195
oryzias_latipes ENSORLG00000005584
oryzias_melastigma ENSOMEG00000000489
astatotilapia_calliptera ENSACLG00000021323
maylandia_zebra ENSMZEG00005018997
haplochromis_burtoni ENSHBUG00000015696
pundamilia_nyererei ENSPNYG00000020957
neolamprologus_brichardi ENSNBRG00000007491
oreochromis_niloticus ENSONIG00000004892
amphilophus_citrinellus ENSACIG00000003111
amphiprion_percula ENSAPEG00000023511
amphiprion_ocellaris ENSAOCG00000007828
acanthochromis_polyacanthus ENSAPOG00000004155
stegastes_partitus ENSSPAG00000008360
stegastes_partitus ENSSPAG00000008376
cynoglossus_semilaevis ENSCSEG00000010088
periophthalmus_magnuspinnatus ENSPMGG00000005024
tetraodon_nigroviridis ENSTNIG00000009987
takifugu_rubripes ENSTRUG00000017085
gadus_morhua ENSGMOG00000002183
esox_lucius ENSELUG00000011575
lepisosteus_oculatus ENSLOCG00000005594
cavia_porcellus ENSCPOG00000001842
castor_canadensis ENSCCNG00000002233
urocitellus_parryii ENSUPAG00010019480
spermophilus_dauricus ENSSDAG00000016671
marmota_marmota_marmota ENSMMMG00000002794
tupaia_belangeri ENSTBEG00000005429
propithecus_coquereli ENSPCOG00000001825
prolemur_simus ENSPSMG00000009823
microcebus_murinus ENSMICG00000031686
otolemur_garnettii ENSOGAG00000009855
pan_paniscus ENSPPAG00000026385
pan_troglodytes ENSPTRG00000004208
gorilla_gorilla ENSGGOG00000008463
homo_sapiens ENSG00000187151
pongo_abelii ENSPPYG00000003803
nomascus_leucogenys ENSNLEG00000007159
mandrillus_leucophaeus ENSMLEG00000011294
cercocebus_atys ENSCATG00000042360
theropithecus_gelada ENSTGEG00000012531
papio_anubis ENSPANG00000024283
macaca_mulatta ENSMMUG00000020783
macaca_fascicularis ENSMFAG00000036602
macaca_nemestrina ENSMNEG00000041370
chlorocebus_sabaeus ENSCSAG00000003234
piliocolobus_tephrosceles ENSPTEG00000032722
colobus_angolensis_palliatus ENSCANG00000028428
rhinopithecus_roxellana ENSRROG00000036301
rhinopithecus_bieti ENSRBIG00000034722
cebus_capucinus ENSCCAG00000026522
saimiri_boliviensis_boliviensis ENSSBOG00000031015
callithrix_jacchus ENSCJAG00000000619
aotus_nancymaae ENSANAG00000025830
oryctolagus_cuniculus ENSOCUG00000029200
ochotona_princeps ENSOPRG00000003891
cricetulus_griseus_crigri-picr ENSCGRG00015000075
peromyscus_maniculatus_bairdii ENSPEMG00000027711
carlito_syrichta ENSTSYG00000012297
pteropus_vampyrus ENSPVAG00000000285
myotis_lucifugus ENSMLUG00000002681
equus_asinus_asinus ENSEASG00005011153
equus_caballus ENSECAG00000021029
capra_hircus ENSCHIG00000020358
ovis_aries ENSOARG00000007278
bos_mutus ENSBMUG00000018852
bos_taurus ENSBTAG00000005308
bison_bison_bison ENSBBBG00000025040
tursiops_truncatus ENSTTRG00000010989
sus_scrofa ENSSSCG00000014978
vicugna_pacos ENSVPAG00000002978
ursus_maritimus ENSUMAG00000009340
ursus_americanus ENSUAMG00000023958
ailuropoda_melanoleuca ENSAMEG00000009981
mustela_putorius_furo ENSMPUG00000007245
neovison_vison ENSNVIG00000021554
canis_lupus_dingo ENSCAFG00020009840
canis_lupus_familiaris ENSCAFG00000023699
vulpes_vulpes ENSVVUG00000010509
panthera_tigris_altaica ENSPTIG00000010153
panthera_pardus ENSPPRG00000021042
felis_catus ENSFCAG00000001675
choloepus_hoffmanni ENSCHOG00000002920
dasypus_novemcinctus ENSDNOG00000000744
loxodonta_africana ENSLAFG00000003621
procavia_capensis ENSPCAG00000007993
echinops_telfairi ENSETEG00000005434
phascolarctos_cinereus ENSPCIG00000015911
notamacropus_eugenii ENSMEUG00000004415
sarcophilus_harrisii ENSSHAG00000008135
monodelphis_domestica ENSMODG00000000550
ornithorhynchus_anatinus ENSOANG00000010491
apteryx_owenii ENSAOWG00000008377
apteryx_haastii ENSAHAG00000006526
apteryx_rowi ENSARWG00000012168
dromaius_novaehollandiae ENSDNVG00000018266
nothoprocta_perdicaria ENSNPEG00000004430
calidris_pygmaea ENSCPGG00000010110
calidris_pugnax ENSCPUG00000001263
manacus_vitellinus ENSMVIG00005012790
lepidothrix_coronata ENSLCOG00000012237
lonchura_striata_domestica ENSLSDG00000017338
taeniopygia_guttata ENSTGUG00000012765
serinus_canaria ENSSCAG00000003952
junco_hyemalis ENSJHYG00000000635
zonotrichia_albicollis ENSZALG00000012831
ficedula_albicollis ENSFALG00000000357
cyanistes_caeruleus ENSCCEG00000023936
parus_major ENSPMJG00000017849
melopsittacus_undulatus ENSMUNG00000003273
anser_brachyrhynchus ENSABRG00000009100
anas_platyrhynchos_platyrhynchos ENSAPLG00000004584
gallus_gallus ENSGALG00000017191
coturnix_japonica ENSCJPG00005003777
meleagris_gallopavo ENSMGAG00000015178
numida_meleagris ENSNMEG00000019659
crocodylus_porosus ENSCPRG00005014880
gopherus_agassizii ENSGAGG00000005639
chelonoidis_abingdonii ENSCABG00000022535
chrysemys_picta_bellii ENSCPBG00000027415
pelodiscus_sinensis ENSPSIG00000012371
pogona_vitticeps ENSPVIG00000024127
anolis_carolinensis ENSACAG00000012817
notechis_scutatus ENSNSUG00000006042
salvator_merianae ENSSMRG00000010741
sphenodon_punctatus ENSSPUG00000015487
xenopus_tropicalis ENSXETG00000005480
