labrus_bergylta ENSLBEG00000024188
takifugu_rubripes ENSTRUG00000020588
hippocampus_comes ENSHCOG00000002231
astyanax_mexicanus ENSAMXG00000041836
cricetulus_griseus_crigri ENSCGRG00000001792
melopsittacus_undulatus ENSMUNG00000016385
chelonoidis_abingdonii ENSCABG00000012128
gambusia_affinis ENSGAFG00000016605
poecilia_latipinna ENSPLAG00000015299
stegastes_partitus ENSSPAG00000013092
periophthalmus_magnuspinnatus ENSPMGG00000020347
oryzias_latipes ENSORLG00000027690
oryzias_latipes_asm223469v1 ENSORLG00015021443
oryzias_melastigma ENSOMEG00000011408
pundamilia_nyererei ENSPNYG00000001049
monopterus_albus ENSMALG00000008282
tetraodon_nigroviridis ENSTNIG00000002241
chelonoidis_abingdonii ENSCABG00000016657
gopherus_agassizii ENSGAGG00000019019
nothoprocta_perdicaria ENSNPEG00000009043
eptatretus_burgeri ENSEBUG00000003213
