bos_mutus ENSBMUG00000013645
myotis_lucifugus ENSMLUG00000001570
mustela_putorius_furo ENSMPUG00000016167
ailuropoda_melanoleuca ENSAMEG00000003049
felis_catus ENSFCAG00000034234
homo_sapiens ENSG00000053371
gorilla_gorilla ENSGGOG00000003540
pan_paniscus ENSPPAG00000030032
pan_troglodytes ENSPTRG00000000265
pongo_abelii ENSPPYG00000001792
nomascus_leucogenys ENSNLEG00000007709
theropithecus_gelada ENSTGEG00000025139
cercocebus_atys ENSCATG00000031465
macaca_fascicularis ENSMFAG00000041603
macaca_mulatta ENSMMUG00000006697
rhinopithecus_roxellana ENSRROG00000037777
rhinopithecus_bieti ENSRBIG00000034387
piliocolobus_tephrosceles ENSPTEG00000003397
colobus_angolensis_palliatus ENSCANG00000033638
pan_troglodytes ENSPTRG00000000263
pan_paniscus ENSPPAG00000033537
gorilla_gorilla ENSGGOG00000000535
nomascus_leucogenys ENSNLEG00000030944
theropithecus_gelada ENSTGEG00000019210
cebus_capucinus ENSCCAG00000020799
callithrix_jacchus ENSCJAG00000006796
aotus_nancymaae ENSANAG00000024287
carlito_syrichta ENSTSYG00000031632
propithecus_coquereli ENSPCOG00000016988
serinus_canaria ENSSCAG00000001524
