amphilophus_citrinellus ENSACIG00000009490
oryzias_melastigma ENSOMEG00000021499
xiphophorus_couchianus ENSXCOG00000011961
hippocampus_comes ENSHCOG00000006788
mola_mola ENSMMOG00000005980
gasterosteus_aculeatus ENSGACG00000000613
amphiprion_percula ENSAPEG00000024756
amphiprion_ocellaris ENSAOCG00000022264
acanthochromis_polyacanthus ENSAPOG00000013577
xiphophorus_maculatus ENSXMAG00000025655
gambusia_affinis ENSGAFG00000003907
poecilia_formosa ENSPFOG00000001885
poecilia_latipinna ENSPLAG00000003771
poecilia_reticulata ENSPREG00000018876
poecilia_mexicana ENSPMEG00000006435
fundulus_heteroclitus ENSFHEG00000011204
cyprinodon_variegatus ENSCVAG00000020882
kryptolebias_marmoratus ENSKMAG00000003704
oryzias_latipes ENSORLG00000020771
oryzias_latipes_asm223469v1 ENSORLG00015003164
haplochromis_burtoni ENSHBUG00000003492
pundamilia_nyererei ENSPNYG00000023037
maylandia_zebra ENSMZEG00005018274
astatotilapia_calliptera ENSACLG00000006824
oreochromis_niloticus ENSONIG00000007545
neolamprologus_brichardi ENSNBRG00000017962
stegastes_partitus ENSSPAG00000004474
labrus_bergylta ENSLBEG00000007299
anabas_testudineus ENSATEG00000001066
mastacembelus_armatus ENSMAMG00000020787
seriola_dumerili ENSSDUG00000012216
seriola_lalandi_dorsalis ENSSLDG00000000865
monopterus_albus ENSMALG00000007279
takifugu_rubripes ENSTRUG00000003298
tetraodon_nigroviridis ENSTNIG00000003356
scophthalmus_maximus ENSSMAG00000010592
gadus_morhua ENSGMOG00000017023
danio_rerio ENSDARG00000104049
cynoglossus_semilaevis ENSCSEG00000003805
periophthalmus_magnuspinnatus ENSPMGG00000016856
esox_lucius ENSELUG00000009776
pygocentrus_nattereri ENSPNAG00000004933
astyanax_mexicanus ENSAMXG00000032968
ictalurus_punctatus ENSIPUG00000005002
paramormyrops_kingsleyae ENSPKIG00000002284
paramormyrops_kingsleyae ENSPKIG00000018745
scleropages_formosus ENSSFOG00015011832
lepisosteus_oculatus ENSLOCG00000016490
nothoprocta_perdicaria ENSNPEG00000000002
xenopus_tropicalis ENSXETG00000027934
dipodomys_ordii ENSDORG00000029152
dipodomys_ordii ENSDORG00000025164
sorex_araneus ENSSARG00000000399
sorex_araneus ENSSARG00000013087
ornithorhynchus_anatinus ENSOANG00000000735
cricetulus_griseus_crigri-picr ENSCGRG00015027375
cricetulus_griseus_chok1gshd ENSCGRG00001016991
cricetulus_griseus_crigri ENSCGRG00000007493
mesocricetus_auratus ENSMAUG00000016315
peromyscus_maniculatus_bairdii ENSPEMG00000018315
microtus_ochrogaster ENSMOCG00000005358
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030030
