drosophila_melanogaster FBgn0034598
caenorhabditis_elegans_strain_n2 WBGene00017004
petromyzon_marinus ENSPMAG00000006192
eptatretus_burgeri ENSEBUG00000003891
hippocampus_comes ENSHCOG00000014084
periophthalmus_magnuspinnatus ENSPMGG00000011274
seriola_lalandi_dorsalis ENSSLDG00000011253
seriola_dumerili ENSSDUG00000012039
amphilophus_citrinellus ENSACIG00000014382
paramormyrops_kingsleyae ENSPKIG00000023316
takifugu_rubripes ENSTRUG00000009243
tetraodon_nigroviridis ENSTNIG00000016885
mola_mola ENSMMOG00000002216
labrus_bergylta ENSLBEG00000012484
gasterosteus_aculeatus ENSGACG00000006909
monopterus_albus ENSMALG00000011584
mastacembelus_armatus ENSMAMG00000009457
anabas_testudineus ENSATEG00000006959
scophthalmus_maximus ENSSMAG00000008275
cynoglossus_semilaevis ENSCSEG00000000043
poecilia_formosa ENSPFOG00000004176
poecilia_mexicana ENSPMEG00000007591
poecilia_latipinna ENSPLAG00000021432
poecilia_reticulata ENSPREG00000000652
gambusia_affinis ENSGAFG00000018033
xiphophorus_maculatus ENSXMAG00000019192
fundulus_heteroclitus ENSFHEG00000008284
cyprinodon_variegatus ENSCVAG00000000925
kryptolebias_marmoratus ENSKMAG00000012767
oryzias_latipes ENSORLG00000017358
oryzias_latipes_asm223469v1 ENSORLG00015015779
oryzias_latipes ENSORLG00020002214
oryzias_melastigma ENSOMEG00000015471
pundamilia_nyererei ENSPNYG00000007277
haplochromis_burtoni ENSHBUG00000019537
maylandia_zebra ENSMZEG00005005698
astatotilapia_calliptera ENSACLG00000018828
oreochromis_niloticus ENSONIG00000008119
neolamprologus_brichardi ENSNBRG00000009067
amphiprion_ocellaris ENSAOCG00000002421
amphiprion_percula ENSAPEG00000020115
acanthochromis_polyacanthus ENSAPOG00000015527
stegastes_partitus ENSSPAG00000019433
gadus_morhua ENSGMOG00000018812
esox_lucius ENSELUG00000002779
pygocentrus_nattereri ENSPNAG00000024740
paramormyrops_kingsleyae ENSPKIG00000021212
scleropages_formosus ENSSFOG00015009481
astyanax_mexicanus ENSAMXG00000043743
lepisosteus_oculatus ENSLOCG00000016856
ictalurus_punctatus ENSIPUG00000010901
gopherus_agassizii ENSGAGG00000017501
calidris_pygmaea ENSCPGG00000019129
phascolarctos_cinereus ENSPCIG00000001141
notamacropus_eugenii ENSMEUG00000008362
sarcophilus_harrisii ENSSHAG00000009915
monodelphis_domestica ENSMODG00000008301
loxodonta_africana ENSLAFG00000000022
procavia_capensis ENSPCAG00000013044
choloepus_hoffmanni ENSCHOG00000005785
dasypus_novemcinctus ENSDNOG00000025271
ursus_maritimus ENSUMAG00000013404
ursus_americanus ENSUAMG00000024736
ailuropoda_melanoleuca ENSAMEG00000007583
neovison_vison ENSNVIG00000008452
mustela_putorius_furo ENSMPUG00000001974
canis_lupus_dingo ENSCAFG00020015048
canis_lupus_familiaris ENSCAFG00000000570
vulpes_vulpes ENSVVUG00000007532
panthera_pardus ENSPPRG00000023175
panthera_tigris_altaica ENSPTIG00000014836
