homo_sapiens ENSG00000134258
pongo_abelii ENSPPYG00000000974
piliocolobus_tephrosceles ENSPTEG00000033311
colobus_angolensis_palliatus ENSCANG00000017987
chlorocebus_sabaeus ENSCSAG00000001701
macaca_fascicularis ENSMFAG00000037561
macaca_mulatta ENSMMUG00000016964
macaca_nemestrina ENSMNEG00000043941
cercocebus_atys ENSCATG00000035666
papio_anubis ENSPANG00000023608
theropithecus_gelada ENSTGEG00000008014
mandrillus_leucophaeus ENSMLEG00000031487
rhinopithecus_roxellana ENSRROG00000034154
rhinopithecus_bieti ENSRBIG00000036563
pan_paniscus ENSPPAG00000023467
pan_troglodytes ENSPTRG00000001164
gorilla_gorilla ENSGGOG00000025814
nomascus_leucogenys ENSNLEG00000005256
rhinopithecus_roxellana ENSRROG00000044632
rhinopithecus_bieti ENSRBIG00000037585
colobus_angolensis_palliatus ENSCANG00000040530
macaca_fascicularis ENSMFAG00000002980
macaca_nemestrina ENSMNEG00000036046
cercocebus_atys ENSCATG00000007149
saimiri_boliviensis_boliviensis ENSSBOG00000025248
cebus_capucinus ENSCCAG00000037336
callithrix_jacchus ENSCJAG00000005878
aotus_nancymaae ENSANAG00000034173
propithecus_coquereli ENSPCOG00000000063
microcebus_murinus ENSMICG00000009755
tupaia_belangeri ENSTBEG00000004203
carlito_syrichta ENSTSYG00000008503
mustela_putorius_furo ENSMPUG00000001593
neovison_vison ENSNVIG00000000327
canis_lupus_dingo ENSCAFG00020020764
canis_lupus_familiaris ENSCAFG00000009858
vulpes_vulpes ENSVVUG00000010432
panthera_pardus ENSPPRG00000001120
panthera_tigris_altaica ENSPTIG00000012535
felis_catus ENSFCAG00000009689
myotis_lucifugus ENSMLUG00000013927
pteropus_vampyrus ENSPVAG00000015391
bos_mutus ENSBMUG00000016517
bos_taurus ENSBTAG00000014466
bison_bison_bison ENSBBBG00000002434
ovis_aries ENSOARG00000020295
capra_hircus ENSCHIG00000019630
vicugna_pacos ENSVPAG00000008280
sus_scrofa ENSSSCG00000006731
tursiops_truncatus ENSTTRG00000015146
erinaceus_europaeus ENSEEUG00000012282
equus_caballus ENSECAG00000008749
equus_asinus_asinus ENSEASG00005006388
prolemur_simus ENSPSMG00000015204
otolemur_garnettii ENSOGAG00000006636
ochotona_princeps ENSOPRG00000012982
ursus_americanus ENSUAMG00000026133
ursus_maritimus ENSUMAG00000004660
ailuropoda_melanoleuca ENSAMEG00000005256
sorex_araneus ENSSARG00000007662
mus_musculus ENSMUSG00000051076
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026375
mus_spicilegus ENSMSIG00000017388
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025425
mus_pahari MGP_PahariEiJ_G0026869
rattus_norvegicus ENSRNOG00000015279
meriones_unguiculatus ENSMUGG00000011555
cricetulus_griseus_chok1gshd ENSCGRG00001015357
cricetulus_griseus_crigri ENSCGRG00000017204
cricetulus_griseus_crigri-picr ENSCGRG00015025739
mesocricetus_auratus ENSMAUG00000015061
peromyscus_maniculatus_bairdii ENSPEMG00000027103
peromyscus_maniculatus_bairdii ENSPEMG00000018075
microtus_ochrogaster ENSMOCG00000000748
nannospalax_galili ENSNGAG00000017547
jaculus_jaculus ENSJJAG00000019207
castor_canadensis ENSCCNG00000006220
spermophilus_dauricus ENSSDAG00000020266
ictidomys_tridecemlineatus ENSSTOG00000007389
urocitellus_parryii ENSUPAG00010013288
marmota_marmota_marmota ENSMMMG00000015255
heterocephalus_glaber_female ENSHGLG00000018792
heterocephalus_glaber_male ENSHGLG00100001901
fukomys_damarensis ENSFDAG00000010345
cavia_porcellus ENSCPOG00000034001
cavia_aperea ENSCAPG00000004232
chinchilla_lanigera ENSCLAG00000014982
octodon_degus ENSODEG00000006757
oryctolagus_cuniculus ENSOCUG00000026343
loxodonta_africana ENSLAFG00000006818
procavia_capensis ENSPCAG00000003918
echinops_telfairi ENSETEG00000015625
choloepus_hoffmanni ENSCHOG00000005097
dasypus_novemcinctus ENSDNOG00000013317
dipodomys_ordii ENSDORG00000013786
phascolarctos_cinereus ENSPCIG00000003514
notamacropus_eugenii ENSMEUG00000002877
monodelphis_domestica ENSMODG00000005170
