vombatus_ursinus ENSVURG00010011339
phascolarctos_cinereus ENSPCIG00000028532
notamacropus_eugenii ENSMEUG00000009383
sarcophilus_harrisii ENSSHAG00000016003
monodelphis_domestica ENSMODG00000013487
sorex_araneus ENSSARG00000010669
erinaceus_europaeus ENSEEUG00000011514
equus_asinus ENSEASG00005012421
equus_caballus ENSECAG00000015330
pteropus_vampyrus ENSPVAG00000017512
myotis_lucifugus ENSMLUG00000009984
capra_hircus ENSCHIG00000019724
ovis_aries ENSOARG00000000329
bos_indicus ENSBIXG00000004828
bos_indicus ENSBIXG00005021661
bos_taurus ENSBTAG00000014320
bos_mutus ENSBMUG00000009429
bison_bison ENSBBBG00000014044
tursiops_truncatus ENSTTRG00000007726
sus_scrofa ENSSSCG00000022656
vicugna_pacos ENSVPAG00000005714
ursus_americanus ENSUAMG00000016707
ursus_maritimus ENSUMAG00000018340
ailuropoda_melanoleuca ENSAMEG00000018050
neovison_vison ENSNVIG00000020710
mustela_putorius ENSMPUG00000013031
canis_lupus ENSCAFG00020009389
canis_lupus ENSCAFG00000000512
vulpes_vulpes ENSVVUG00000019178
panthera_tigris ENSPTIG00000012305
panthera_pardus ENSPPRG00000001695
felis_catus ENSFCAG00000035118
chinchilla_lanigera ENSCLAG00000003630
cavia_porcellus ENSCPOG00000004695
octodon_degus ENSODEG00000007258
fukomys_damarensis ENSFDAG00000005102
ictidomys_tridecemlineatus ENSSTOG00000029184
urocitellus_parryii ENSUPAG00010003868
spermophilus_dauricus ENSSDAG00000004814
marmota_marmota ENSMMMG00000020429
mus_spretus MGP_SPRETEiJ_G0023184
mus_spicilegus ENSMSIG00000026058
mus_musculus ENSMUSG00000024528
mus_caroli MGP_CAROLIEiJ_G0022271
mus_pahari MGP_PahariEiJ_G0019004
rattus_norvegicus ENSRNOG00000014808
meriones_unguiculatus ENSMUGG00000011670
cricetulus_griseus ENSCGRG00015006460
cricetulus_griseus ENSCGRG00001000718
cricetulus_griseus ENSCGRG00000010837
mesocricetus_auratus ENSMAUG00000009431
microtus_ochrogaster ENSMOCG00000006206
peromyscus_maniculatus ENSPEMG00000030711
nannospalax_galili ENSNGAG00000013229
jaculus_jaculus ENSJJAG00000013229
castor_canadensis ENSCCNG00000030148
tupaia_belangeri ENSTBEG00000011711
oryctolagus_cuniculus ENSOCUG00000009556
ochotona_princeps ENSOPRG00000003881
cebus_capucinus ENSCCAG00000032237
saimiri_boliviensis ENSSBOG00000015464
callithrix_jacchus ENSCJAG00000017177
aotus_nancymaae ENSANAG00000022485
cebus_capucinus ENSCCAG00000002586
saimiri_boliviensis ENSSBOG00000029906
pan_paniscus ENSPPAG00000035848
pan_troglodytes ENSPTRG00000017172
gorilla_gorilla ENSGGOG00000007725
homo_sapiens ENSG00000151304
pongo_abelii ENSPPYG00000015714
nomascus_leucogenys ENSNLEG00000011949
macaca_fascicularis ENSMFAG00000031263
macaca_mulatta ENSMMUG00000021009
macaca_nemestrina ENSMNEG00000040870
papio_anubis ENSPANG00000003799
theropithecus_gelada ENSTGEG00000013276
