pygocentrus_nattereri ENSPNAG00000008096
astyanax_mexicanus ENSAMXG00000031244
ictalurus_punctatus ENSIPUG00000004007
danio_rerio ENSDARG00000097528
astyanax_mexicanus ENSAMXG00000017151
gasterosteus_aculeatus ENSGACG00000001289
labrus_bergylta ENSLBEG00000011664
kryptolebias_marmoratus ENSKMAG00000000803
poecilia_formosa ENSPFOG00000012413
haplochromis_burtoni ENSHBUG00000000190
maylandia_zebra ENSMZEG00005017490
amphiprion_percula ENSAPEG00000008338
amphiprion_ocellaris ENSAOCG00000008450
acanthochromis_polyacanthus ENSAPOG00000022702
scophthalmus_maximus ENSSMAG00000020807
gadus_morhua ENSGMOG00000018539
esox_lucius ENSELUG00000014129
paramormyrops_kingsleyae ENSPKIG00000007022
scleropages_formosus ENSSFOG00015009209
