pelodiscus_sinensis ENSPSIG00000006838
gopherus_agassizii ENSGAGG00000021378
taeniopygia_guttata ENSTGUG00000007701
lonchura_striata ENSLSDG00000017196
parus_major ENSPMJG00000000420
coturnix_japonica ENSCJPG00005020220
numida_meleagris ENSNMEG00000022998
anas_platyrhynchos ENSAPLG00000027363
calidris_pugnax ENSCPUG00000018440
apteryx_rowi ENSARWG00000012920
apteryx_owenii ENSAOWG00000003842
apteryx_haastii ENSAHAG00000017144
nothoprocta_perdicaria ENSNPEG00000015262
meleagris_gallopavo ENSMGAG00000007736
gallus_gallus ENSGALG00000026607
anser_brachyrhynchus ENSABRG00000001141
ficedula_albicollis ENSFALG00000011204
serinus_canaria ENSSCAG00000005344
manacus_vitellinus ENSMVIG00005014486
melopsittacus_undulatus ENSMUNG00000003008
anolis_carolinensis ENSACAG00000013806
pogona_vitticeps ENSPVIG00000024452
notechis_scutatus ENSNSUG00000019429
salvator_merianae ENSSMRG00000006215
bos_taurus ENSBTAG00000051623
bos_indicus ENSBIXG00005024539
canis_lupus ENSCAFG00020027539
monodelphis_domestica ENSMODG00000043430
ornithorhynchus_anatinus ENSOANG00000004274
xenopus_tropicalis ENSXETG00000019054
latimeria_chalumnae ENSLACG00000017770
lepisosteus_oculatus ENSLOCG00000012937
paramormyrops_kingsleyae ENSPKIG00000019779
clupea_harengus ENSCHAG00000012792
denticeps_clupeoides ENSDCDG00000031744
electrophorus_electricus ENSEEEG00000021534
ictalurus_punctatus ENSIPUG00000003652
pygocentrus_nattereri ENSPNAG00000021711
astyanax_mexicanus ENSAMXG00000036518
danio_rerio ENSDARG00000097310
esox_lucius ENSELUG00000003754
hucho_hucho ENSHHUG00000001616
betta_splendens ENSBSLG00000004152
cynoglossus_semilaevis ENSCSEG00000021770
periophthalmus_magnuspinnatus ENSPMGG00000019431
larimichthys_crocea ENSLCRG00005000622
cottoperca_gobio ENSCGOG00000016558
labrus_bergylta ENSLBEG00000004054
mola_mola ENSMMOG00000018395
mastacembelus_armatus ENSMAMG00000014823
monopterus_albus ENSMALG00000008905
anabas_testudineus ENSATEG00000012673
astatotilapia_calliptera ENSACLG00000016583
haplochromis_burtoni ENSHBUG00000005746
maylandia_zebra ENSMZEG00005022794
pundamilia_nyererei ENSPNYG00000017826
neolamprologus_brichardi ENSNBRG00000010542
oreochromis_niloticus ENSONIG00000004140
amphilophus_citrinellus ENSACIG00000017086
seriola_dumerili ENSSDUG00000021365
seriola_lalandi ENSSLDG00000017670
lates_calcarifer ENSLCAG00010022976
amphiprion_percula ENSAPEG00000003019
amphiprion_ocellaris ENSAOCG00000014363
acanthochromis_polyacanthus ENSAPOG00000005781
acanthochromis_polyacanthus ENSAPOG00000021610
acanthochromis_polyacanthus ENSAPOG00000021849
stegastes_partitus ENSSPAG00000001108
parambassis_ranga ENSPRNG00000010349
xiphophorus_maculatus ENSXMAG00000006586
poecilia_reticulata ENSPREG00000020158
poecilia_formosa ENSPFOG00000014042
poecilia_mexicana ENSPMEG00000006508
poecilia_latipinna ENSPLAG00000002321
xiphophorus_couchianus ENSXCOG00000015735
gambusia_affinis ENSGAFG00000015378
fundulus_heteroclitus ENSFHEG00000000472
cyprinodon_variegatus ENSCVAG00000011388
kryptolebias_marmoratus ENSKMAG00000017477
oryzias_latipes ENSORLG00000025284
oryzias_latipes ENSORLG00015004711
oryzias_latipes ENSORLG00020014424
oryzias_melastigma ENSOMEG00000017824
scophthalmus_maximus ENSSMAG00000018479
gadus_morhua ENSGMOG00000015244
erpetoichthys_calabaricus ENSECRG00000020992
callorhinchus_milii ENSCMIG00000003278
drosophila_melanogaster FBgn0035415
caenorhabditis_elegans WBGene00012164
