tupaia_belangeri ENSTBEG00000003169
ochotona_princeps ENSOPRG00000002048
pan_troglodytes ENSPTRG00000046143
pan_paniscus ENSPPAG00000035133
gorilla_gorilla ENSGGOG00000008334
pongo_abelii ENSPPYG00000011723
saimiri_boliviensis_boliviensis ENSSBOG00000023000
prolemur_simus ENSPSMG00000017687
vicugna_pacos ENSVPAG00000001596
tursiops_truncatus ENSTTRG00000010246
pteropus_vampyrus ENSPVAG00000015119
sorex_araneus ENSSARG00000009642
choloepus_hoffmanni ENSCHOG00000009981
echinops_telfairi ENSETEG00000013444
