poecilia_mexicana ENSPMEG00000007160
fundulus_heteroclitus ENSFHEG00000016793
amphiprion_ocellaris ENSAOCG00000000422
seriola_dumerili ENSSDUG00000019653
seriola_lalandi_dorsalis ENSSLDG00000024500
amphilophus_citrinellus ENSACIG00000013168
neolamprologus_brichardi ENSNBRG00000011152
acanthochromis_polyacanthus ENSAPOG00000008575
takifugu_rubripes ENSTRUG00000024830
hippocampus_comes ENSHCOG00000006449
esox_lucius ENSELUG00000003030
astyanax_mexicanus ENSAMXG00000030202
danio_rerio ENSDARG00000115636
anser_brachyrhynchus ENSABRG00000004325
calidris_pugnax ENSCPUG00000009826
lonchura_striata_domestica ENSLSDG00000010269
serinus_canaria ENSSCAG00000014740
nothoprocta_perdicaria ENSNPEG00000009944
chelonoidis_abingdonii ENSCABG00000003680
sphenodon_punctatus ENSSPUG00000014433
