amphilophus_citrinellus ENSACIG00000019521
xiphophorus_couchianus ENSXCOG00000016669
seriola_dumerili ENSSDUG00000021976
gambusia_affinis ENSGAFG00000005240
loxodonta_africana ENSLAFG00000029091
pogona_vitticeps ENSPVIG00000010212
latimeria_chalumnae ENSLACG00000016358
cyprinodon_variegatus ENSCVAG00000003695
fundulus_heteroclitus ENSFHEG00000001672
cyprinodon_variegatus ENSCVAG00000011772
paramormyrops_kingsleyae ENSPKIG00000013020
eptatretus_burgeri ENSEBUG00000009687
eptatretus_burgeri ENSEBUG00000003595
pelodiscus_sinensis ENSPSIG00000003054
