pundamilia_nyererei ENSPNYG00000001593
astatotilapia_calliptera ENSACLG00000010266
maylandia_zebra ENSMZEG00005000350
haplochromis_burtoni ENSHBUG00000008904
neolamprologus_brichardi ENSNBRG00000009108
oreochromis_niloticus ENSONIG00000004934
amphilophus_citrinellus ENSACIG00000014966
gasterosteus_aculeatus ENSGACG00000017940
tetraodon_nigroviridis ENSTNIG00000014206
takifugu_rubripes ENSTRUG00000023007
oryzias_latipes_asm223469v1 ENSORLG00015021719
oryzias_latipes ENSORLG00000026594
oryzias_latipes ENSORLG00020014212
oryzias_melastigma ENSOMEG00000004096
anabas_testudineus ENSATEG00000009444
seriola_dumerili ENSSDUG00000002681
seriola_lalandi_dorsalis ENSSLDG00000002068
scophthalmus_maximus ENSSMAG00000001830
poecilia_latipinna ENSPLAG00000011178
poecilia_latipinna ENSPLAG00000018529
poecilia_formosa ENSPFOG00000000730
poecilia_mexicana ENSPMEG00000018834
poecilia_reticulata ENSPREG00000001950
xiphophorus_maculatus ENSXMAG00000013617
xiphophorus_couchianus ENSXCOG00000002188
gambusia_affinis ENSGAFG00000009159
fundulus_heteroclitus ENSFHEG00000022595
cyprinodon_variegatus ENSCVAG00000011511
mastacembelus_armatus ENSMAMG00000006380
monopterus_albus ENSMALG00000011708
labrus_bergylta ENSLBEG00000001131
amphiprion_ocellaris ENSAOCG00000021680
amphiprion_percula ENSAPEG00000015410
acanthochromis_polyacanthus ENSAPOG00000019179
stegastes_partitus ENSSPAG00000016967
kryptolebias_marmoratus ENSKMAG00000009526
cynoglossus_semilaevis ENSCSEG00000006482
hippocampus_comes ENSHCOG00000014611
periophthalmus_magnuspinnatus ENSPMGG00000021749
esox_lucius ENSELUG00000018755
pygocentrus_nattereri ENSPNAG00000022892
astyanax_mexicanus ENSAMXG00000003918
ictalurus_punctatus ENSIPUG00000000269
danio_rerio ENSDARG00000104789
paramormyrops_kingsleyae ENSPKIG00000015505
scleropages_formosus ENSSFOG00015003066
lepisosteus_oculatus ENSLOCG00000011390
latimeria_chalumnae ENSLACG00000012057
coturnix_japonica ENSCJPG00005011400
meleagris_gallopavo ENSMGAG00000001258
gallus_gallus ENSGALG00000042423
numida_meleagris ENSNMEG00000013796
cyanistes_caeruleus ENSCCEG00000013853
parus_major ENSPMJG00000008086
junco_hyemalis ENSJHYG00000002445
taeniopygia_guttata ENSTGUG00000014654
serinus_canaria ENSSCAG00000008314
lonchura_striata_domestica ENSLSDG00000017498
zonotrichia_albicollis ENSZALG00000003510
ficedula_albicollis ENSFALG00000002953
lepidothrix_coronata ENSLCOG00000005393
manacus_vitellinus ENSMVIG00005000513
anas_platyrhynchos_platyrhynchos ENSAPLG00000007579
anser_brachyrhynchus ENSABRG00000021601
apteryx_haastii ENSAHAG00000002307
apteryx_rowi ENSARWG00000017657
apteryx_owenii ENSAOWG00000000190
dromaius_novaehollandiae ENSDNVG00000002945
calidris_pygmaea ENSCPGG00000013780
calidris_pugnax ENSCPUG00000004225
nothoprocta_perdicaria ENSNPEG00000002650
crocodylus_porosus ENSCPRG00005015124
gopherus_agassizii ENSGAGG00000001616
chelonoidis_abingdonii ENSCABG00000015758
chrysemys_picta_bellii ENSCPBG00000008481
pelodiscus_sinensis ENSPSIG00000006553
pogona_vitticeps ENSPVIG00000014990
notechis_scutatus ENSNSUG00000017289
salvator_merianae ENSSMRG00000023495
sphenodon_punctatus ENSSPUG00000001923
loxodonta_africana ENSLAFG00000017081
procavia_capensis ENSPCAG00000011475
echinops_telfairi ENSETEG00000000407
heterocephalus_glaber_male ENSHGLG00100018212
heterocephalus_glaber_female ENSHGLG00000010824
fukomys_damarensis ENSFDAG00000011903
chinchilla_lanigera ENSCLAG00000017360
octodon_degus ENSODEG00000010984
cavia_porcellus ENSCPOG00000005755
cavia_aperea ENSCAPG00000000886
ictidomys_tridecemlineatus ENSSTOG00000001010
spermophilus_dauricus ENSSDAG00000019583
marmota_marmota_marmota ENSMMMG00000017857
urocitellus_parryii ENSUPAG00010012242
castor_canadensis ENSCCNG00000023544
dipodomys_ordii ENSDORG00000010853
mus_spicilegus ENSMSIG00000026196
mus_musculus ENSMUSG00000024442
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023117
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022208
mus_pahari MGP_PahariEiJ_G0018941
rattus_norvegicus ENSRNOG00000019276
meriones_unguiculatus ENSMUGG00000023532
cricetulus_griseus_crigri ENSCGRG00000014256
cricetulus_griseus_chok1gshd ENSCGRG00001001000
cricetulus_griseus_crigri-picr ENSCGRG00015026152
mesocricetus_auratus ENSMAUG00000016596
peromyscus_maniculatus_bairdii ENSPEMG00000017454
