monodelphis_domestica ENSMODG00000009543
notamacropus_eugenii ENSMEUG00000000840
myotis_lucifugus ENSMLUG00000008104
myotis_lucifugus ENSMLUG00000011433
pteropus_vampyrus ENSPVAG00000017643
equus_asinus_asinus ENSEASG00005014579
equus_caballus ENSECAG00000016567
bos_taurus ENSBTAG00000052800
bison_bison_bison ENSBBBG00000007390
bos_mutus ENSBMUG00000006578
capra_hircus ENSCHIG00000000787
sus_scrofa ENSSSCG00000010659
tursiops_truncatus ENSTTRG00000000364
ursus_americanus ENSUAMG00000012504
ursus_maritimus ENSUMAG00000002710
ailuropoda_melanoleuca ENSAMEG00000013972
neovison_vison ENSNVIG00000004517
mustela_putorius_furo ENSMPUG00000003483
canis_lupus_familiaris ENSCAFG00000011852
canis_lupus_dingo ENSCAFG00020013639
vulpes_vulpes ENSVVUG00000010484
panthera_tigris_altaica ENSPTIG00000020671
panthera_pardus ENSPPRG00000022942
felis_catus ENSFCAG00000001515
erinaceus_europaeus ENSEEUG00000003788
pan_troglodytes ENSPTRG00000043468
pan_paniscus ENSPPAG00000034053
gorilla_gorilla ENSGGOG00000001086
homo_sapiens ENSG00000187021
pongo_abelii ENSPPYG00000002682
nomascus_leucogenys ENSNLEG00000016437
colobus_angolensis_palliatus ENSCANG00000022646
piliocolobus_tephrosceles ENSPTEG00000036727
rhinopithecus_bieti ENSRBIG00000031325
rhinopithecus_roxellana ENSRROG00000030424
chlorocebus_sabaeus ENSCSAG00000004835
theropithecus_gelada ENSTGEG00000026285
macaca_nemestrina ENSMNEG00000044722
macaca_mulatta ENSMMUG00000002724
macaca_fascicularis ENSMFAG00000039844
mandrillus_leucophaeus ENSMLEG00000031655
papio_anubis ENSPANG00000020719
cercocebus_atys ENSCATG00000037716
cebus_capucinus ENSCCAG00000021447
saimiri_boliviensis_boliviensis ENSSBOG00000026449
callithrix_jacchus ENSCJAG00000019416
aotus_nancymaae ENSANAG00000030691
carlito_syrichta ENSTSYG00000009873
prolemur_simus ENSPSMG00000018257
propithecus_coquereli ENSPCOG00000028363
microcebus_murinus ENSMICG00000015577
otolemur_garnettii ENSOGAG00000010151
tupaia_belangeri ENSTBEG00000013026
castor_canadensis ENSCCNG00000008558
dipodomys_ordii ENSDORG00000001455
mus_spicilegus ENSMSIG00000028468
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024026
mus_musculus ENSMUSG00000042179
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023105
mus_pahari MGP_PahariEiJ_G0014593
rattus_norvegicus ENSRNOG00000017908
meriones_unguiculatus ENSMUGG00000018064
cricetulus_griseus_crigri-picr ENSCGRG00015010303
cricetulus_griseus_chok1gshd ENSCGRG00001006752
cricetulus_griseus_crigri ENSCGRG00000000376
mesocricetus_auratus ENSMAUG00000015056
microtus_ochrogaster ENSMOCG00000009106
peromyscus_maniculatus_bairdii ENSPEMG00000008991
nannospalax_galili ENSNGAG00000019325
jaculus_jaculus ENSJJAG00000023802
chinchilla_lanigera ENSCLAG00000003362
octodon_degus ENSODEG00000000582
spermophilus_dauricus ENSSDAG00000000467
urocitellus_parryii ENSUPAG00010023477
ictidomys_tridecemlineatus ENSSTOG00000008862
marmota_marmota_marmota ENSMMMG00000018671
oryctolagus_cuniculus ENSOCUG00000008178
echinops_telfairi ENSETEG00000002276
procavia_capensis ENSPCAG00000014977
sorex_araneus ENSSARG00000010006
dasypus_novemcinctus ENSDNOG00000008626
choloepus_hoffmanni ENSCHOG00000006303
ornithorhynchus_anatinus ENSOANG00000014139
