ursus_americanus ENSUAMG00000019544
ursus_maritimus ENSUMAG00000022453
ailuropoda_melanoleuca ENSAMEG00000012092
neovison_vison ENSNVIG00000000159
mustela_putorius_furo ENSMPUG00000005945
canis_lupus_familiaris ENSCAFG00000029049
canis_lupus_dingo ENSCAFG00020011198
vulpes_vulpes ENSVVUG00000020605
panthera_tigris_altaica ENSPTIG00000007250
panthera_pardus ENSPPRG00000004268
felis_catus ENSFCAG00000005003
equus_caballus ENSECAG00000015222
equus_asinus_asinus ENSEASG00005002468
equus_asinus_asinus ENSEASG00005002533
equus_caballus ENSECAG00000008720
capra_hircus ENSCHIG00000024835
ovis_aries ENSOARG00000010204
bos_mutus ENSBMUG00000001271
bos_taurus ENSBTAG00000033502
bison_bison_bison ENSBBBG00000011651
bos_mutus ENSBMUG00000001427
bos_taurus ENSBTAG00000054659
bison_bison_bison ENSBBBG00000002416
capra_hircus ENSCHIG00000024103
capra_hircus ENSCHIG00000024396
sus_scrofa ENSSSCG00000015151
myotis_lucifugus ENSMLUG00000004778
castor_canadensis ENSCCNG00000000417
dipodomys_ordii ENSDORG00000004785
chinchilla_lanigera ENSCLAG00000013982
fukomys_damarensis ENSFDAG00000015532
peromyscus_maniculatus_bairdii ENSPEMG00000019872
microtus_ochrogaster ENSMOCG00000002925
cricetulus_griseus_crigri-picr ENSCGRG00015010977
cricetulus_griseus_chok1gshd ENSCGRG00001021711
cricetulus_griseus_crigri ENSCGRG00000012959
mesocricetus_auratus ENSMAUG00000018342
mus_spicilegus ENSMSIG00000017902
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033209
mus_musculus ENSMUSG00000040541
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032070
mus_pahari MGP_PahariEiJ_G0014939
rattus_norvegicus ENSRNOG00000054439
meriones_unguiculatus ENSMUGG00000026202
jaculus_jaculus ENSJJAG00000006368
urocitellus_parryii ENSUPAG00010014055
marmota_marmota_marmota ENSMMMG00000021902
spermophilus_dauricus ENSSDAG00000014276
oryctolagus_cuniculus ENSOCUG00000015188
oryctolagus_cuniculus ENSOCUG00000002687
ochotona_princeps ENSOPRG00000014611
pan_paniscus ENSPPAG00000021660
pan_troglodytes ENSPTRG00000028373
gorilla_gorilla ENSGGOG00000016554
homo_sapiens ENSG00000204300
pongo_abelii ENSPPYG00000003991
nomascus_leucogenys ENSNLEG00000007426
rhinopithecus_bieti ENSRBIG00000011186
rhinopithecus_roxellana ENSRROG00000035144
colobus_angolensis_palliatus ENSCANG00000016087
piliocolobus_tephrosceles ENSPTEG00000007866
theropithecus_gelada ENSTGEG00000027224
papio_anubis ENSPANG00000004723
mandrillus_leucophaeus ENSMLEG00000031335
macaca_nemestrina ENSMNEG00000037095
macaca_fascicularis ENSMFAG00000045976
macaca_mulatta ENSMMUG00000046193
cercocebus_atys ENSCATG00000036402
chlorocebus_sabaeus ENSCSAG00000002400
cebus_capucinus ENSCCAG00000022474
saimiri_boliviensis_boliviensis ENSSBOG00000005269
callithrix_jacchus ENSCJAG00000007785
aotus_nancymaae ENSANAG00000035726
carlito_syrichta ENSTSYG00000002218
propithecus_coquereli ENSPCOG00000025543
microcebus_murinus ENSMICG00000011007
prolemur_simus ENSPSMG00000002058
otolemur_garnettii ENSOGAG00000014609
tupaia_belangeri ENSTBEG00000007860
tupaia_belangeri ENSTBEG00000014654
echinops_telfairi ENSETEG00000013873
dasypus_novemcinctus ENSDNOG00000000468
