peromyscus_maniculatus_bairdii ENSPEMG00000026946
cricetulus_griseus_crigri-picr ENSCGRG00015022179
meriones_unguiculatus ENSMUGG00000004647
nannospalax_galili ENSNGAG00000024070
marmota_marmota_marmota ENSMMMG00000015517
spermophilus_dauricus ENSSDAG00000012832
castor_canadensis ENSCCNG00000029320
mandrillus_leucophaeus ENSMLEG00000007826
papio_anubis ENSPANG00000034184
rhinopithecus_bieti ENSRBIG00000011887
aotus_nancymaae ENSANAG00000001399
prolemur_simus ENSPSMG00000003526
capra_hircus ENSCHIG00000019221
