amphiprion_percula ENSAPEG00000014273
amphiprion_ocellaris ENSAOCG00000022796
acanthochromis_polyacanthus ENSAPOG00000006484
stegastes_partitus ENSSPAG00000020312
takifugu_rubripes ENSTRUG00000020732
pundamilia_nyererei ENSPNYG00000021361
astatotilapia_calliptera ENSACLG00000008427
maylandia_zebra ENSMZEG00005022740
haplochromis_burtoni ENSHBUG00000011737
neolamprologus_brichardi ENSNBRG00000017430
oreochromis_niloticus ENSONIG00000001294
amphilophus_citrinellus ENSACIG00000022134
xiphophorus_maculatus ENSXMAG00000024073
xiphophorus_couchianus ENSXCOG00000009438
gambusia_affinis ENSGAFG00000009421
poecilia_reticulata ENSPREG00000019327
poecilia_latipinna ENSPLAG00000014208
fundulus_heteroclitus ENSFHEG00000007232
periophthalmus_magnuspinnatus ENSPMGG00000016059
labrus_bergylta ENSLBEG00000022137
mola_mola ENSMMOG00000015214
monopterus_albus ENSMALG00000018517
mastacembelus_armatus ENSMAMG00000007001
anabas_testudineus ENSATEG00000015923
scophthalmus_maximus ENSSMAG00000003245
