capra_hircus ENSCHIG00000010613
ovis_aries ENSOARG00000001346
bos_taurus ENSBTAG00000046587
bos_mutus ENSBMUG00000000717
tursiops_truncatus ENSTTRG00000008732
sus_scrofa ENSSSCG00000012960
equus_caballus ENSECAG00000024332
equus_asinus_asinus ENSEASG00005004480
ursus_americanus ENSUAMG00000020758
ailuropoda_melanoleuca ENSAMEG00000017249
mustela_putorius_furo ENSMPUG00000011378
neovison_vison ENSNVIG00000015097
canis_lupus_familiaris ENSCAFG00000013078
canis_lupus_dingo ENSCAFG00020015360
vulpes_vulpes ENSVVUG00000027032
panthera_pardus ENSPPRG00000014088
panthera_tigris_altaica ENSPTIG00000017000
felis_catus ENSFCAG00000013281
myotis_lucifugus ENSMLUG00000006425
pteropus_vampyrus ENSPVAG00000016972
piliocolobus_tephrosceles ENSPTEG00000032690
colobus_angolensis_palliatus ENSCANG00000039466
rhinopithecus_roxellana ENSRROG00000044840
rhinopithecus_bieti ENSRBIG00000038371
macaca_mulatta ENSMMUG00000006095
macaca_nemestrina ENSMNEG00000034280
macaca_fascicularis ENSMFAG00000002342
papio_anubis ENSPANG00000013110
theropithecus_gelada ENSTGEG00000012127
theropithecus_gelada ENSTGEG00000010077
mandrillus_leucophaeus ENSMLEG00000028779
cercocebus_atys ENSCATG00000041523
chlorocebus_sabaeus ENSCSAG00000008090
pan_troglodytes ENSPTRG00000003908
pan_paniscus ENSPPAG00000004795
homo_sapiens ENSG00000175315
gorilla_gorilla ENSGGOG00000011028
pongo_abelii ENSPPYG00000003037
nomascus_leucogenys ENSNLEG00000030959
saimiri_boliviensis_boliviensis ENSSBOG00000025806
cebus_capucinus ENSCCAG00000018976
callithrix_jacchus ENSCJAG00000001718
aotus_nancymaae ENSANAG00000022211
carlito_syrichta ENSTSYG00000032147
prolemur_simus ENSPSMG00000022551
microcebus_murinus ENSMICG00000017209
propithecus_coquereli ENSPCOG00000014875
castor_canadensis ENSCCNG00000024533
dipodomys_ordii ENSDORG00000009817
urocitellus_parryii ENSUPAG00010009121
ictidomys_tridecemlineatus ENSSTOG00000003300
marmota_marmota_marmota ENSMMMG00000021447
heterocephalus_glaber_female ENSHGLG00000016051
heterocephalus_glaber_male ENSHGLG00100018502
fukomys_damarensis ENSFDAG00000007148
spermophilus_dauricus ENSSDAG00000012980
peromyscus_maniculatus_bairdii ENSPEMG00000010285
microtus_ochrogaster ENSMOCG00000000601
cricetulus_griseus_chok1gshd ENSCGRG00001021274
cricetulus_griseus_crigri-picr ENSCGRG00015016219
cricetulus_griseus_crigri ENSCGRG00000015209
mesocricetus_auratus ENSMAUG00000015621
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023456
mus_musculus ENSMUSG00000024846
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022542
mus_pahari MGP_PahariEiJ_G0014039
rattus_norvegicus ENSRNOG00000020455
mus_spicilegus ENSMSIG00000003825
meriones_unguiculatus ENSMUGG00000001857
nannospalax_galili ENSNGAG00000009683
jaculus_jaculus ENSJJAG00000001099
octodon_degus ENSODEG00000017735
chinchilla_lanigera ENSCLAG00000016026
cavia_porcellus ENSCPOG00000026407
heterocephalus_glaber_female ENSHGLG00000014117
heterocephalus_glaber_male ENSHGLG00100016064
fukomys_damarensis ENSFDAG00000006972
oryctolagus_cuniculus ENSOCUG00000023396
tupaia_belangeri ENSTBEG00000003925
otolemur_garnettii ENSOGAG00000016534
procavia_capensis ENSPCAG00000000513
loxodonta_africana ENSLAFG00000028467
echinops_telfairi ENSETEG00000016133
choloepus_hoffmanni ENSCHOG00000004025
dasypus_novemcinctus ENSDNOG00000034101
monodelphis_domestica ENSMODG00000028390
phascolarctos_cinereus ENSPCIG00000008335
monodelphis_domestica ENSMODG00000024423
ornithorhynchus_anatinus ENSOANG00000031932
ornithorhynchus_anatinus ENSOANG00000001896
notechis_scutatus ENSNSUG00000010673
notechis_scutatus ENSNSUG00000010547
anolis_carolinensis ENSACAG00000014558
salvator_merianae ENSSMRG00000010594
gopherus_agassizii ENSGAGG00000022772
chelonoidis_abingdonii ENSCABG00000018108
chrysemys_picta_bellii ENSCPBG00000023419
gopherus_agassizii ENSGAGG00000022774
pelodiscus_sinensis ENSPSIG00000002829
lepisosteus_oculatus ENSLOCG00000016143
