nomascus_leucogenys ENSNLEG00000006051
pongo_abelii ENSPPYG00000010341
gorilla_gorilla ENSGGOG00000011362
pan_troglodytes ENSPTRG00000048860
homo_sapiens ENSG00000198538
rhinopithecus_roxellana ENSRROG00000032344
rhinopithecus_bieti ENSRBIG00000037464
colobus_angolensis_palliatus ENSCANG00000031963
piliocolobus_tephrosceles ENSPTEG00000025658
macaca_mulatta ENSMMUG00000047412
macaca_nemestrina ENSMNEG00000042815
mandrillus_leucophaeus ENSMLEG00000041213
cercocebus_atys ENSCATG00000035314
theropithecus_gelada ENSTGEG00000005273
chlorocebus_sabaeus ENSCSAG00000001970
rhinopithecus_roxellana ENSRROG00000030824
piliocolobus_tephrosceles ENSPTEG00000025609
propithecus_coquereli ENSPCOG00000010087
