myotis_lucifugus ENSMLUG00000014560
panthera_pardus ENSPPRG00000007887
vicugna_pacos ENSVPAG00000005721
urocitellus_parryii ENSUPAG00010008988
spermophilus_dauricus ENSSDAG00000020228
nannospalax_galili ENSNGAG00000001623
nannospalax_galili ENSNGAG00000022212
ochotona_princeps ENSOPRG00000014716
colobus_angolensis_palliatus ENSCANG00000037455
otolemur_garnettii ENSOGAG00000013865
ornithorhynchus_anatinus ENSOANG00000004163
parus_major ENSPMJG00000018487
lonchura_striata_domestica ENSLSDG00000014403
dromaius_novaehollandiae ENSDNVG00000015009
pogona_vitticeps ENSPVIG00000025140
lepidothrix_coronata ENSLCOG00000015945
gallus_gallus ENSGALG00000017370
nothoprocta_perdicaria ENSNPEG00000015109
crocodylus_porosus ENSCPRG00005011909
salvator_merianae ENSSMRG00000022328
calidris_pygmaea ENSCPGG00000012258
melopsittacus_undulatus ENSMUNG00000016539
chrysemys_picta_bellii ENSCPBG00000028081
chelonoidis_abingdonii ENSCABG00000012017
sphenodon_punctatus ENSSPUG00000005192
octodon_degus ENSODEG00000011279
octodon_degus ENSODEG00000017048
octodon_degus ENSODEG00000019450
octodon_degus ENSODEG00000005366
cavia_porcellus ENSCPOG00000011228
chinchilla_lanigera ENSCLAG00000007027
peromyscus_maniculatus_bairdii ENSPEMG00000014650
oryctolagus_cuniculus ENSOCUG00000015489
pan_paniscus ENSPPAG00000035761
pan_troglodytes ENSPTRG00000051653
homo_sapiens ENSG00000128989
gorilla_gorilla ENSGGOG00000040423
nomascus_leucogenys ENSNLEG00000006551
callithrix_jacchus ENSCJAG00000046106
castor_canadensis ENSCCNG00000006084
dipodomys_ordii ENSDORG00000024895
pongo_abelii ENSPPYG00000006487
pongo_abelii ENSPPYG00000016143
papio_anubis ENSPANG00000029361
aotus_nancymaae ENSANAG00000027134
saimiri_boliviensis_boliviensis ENSSBOG00000030365
microcebus_murinus ENSMICG00000046167
urocitellus_parryii ENSUPAG00010007068
urocitellus_parryii ENSUPAG00010004690
ictidomys_tridecemlineatus ENSSTOG00000003677
canis_lupus_dingo ENSCAFG00020012836
canis_lupus_familiaris ENSCAFG00000032515
neovison_vison ENSNVIG00000009173
felis_catus ENSFCAG00000036136
panthera_pardus ENSPPRG00000012174
equus_caballus ENSECAG00000020240
bos_taurus ENSBTAG00000011022
bos_taurus ENSBTAG00000049575
ovis_aries ENSOARG00000001431
ovis_aries ENSOARG00000018601
capra_hircus ENSCHIG00000015212
tursiops_truncatus ENSTTRG00000004804
bos_taurus ENSBTAG00000050340
bos_mutus ENSBMUG00000023823
bison_bison_bison ENSBBBG00000006254
capra_hircus ENSCHIG00000012927
equus_asinus_asinus ENSEASG00005009978
vulpes_vulpes ENSVVUG00000000013
ictidomys_tridecemlineatus ENSSTOG00000030346
spermophilus_dauricus ENSSDAG00000008051
cricetulus_griseus_crigri-picr ENSCGRG00015004742
cricetulus_griseus_crigri ENSCGRG00000006464
cricetulus_griseus_chok1gshd ENSCGRG00001009867
octodon_degus ENSODEG00000019907
cavia_aperea ENSCAPG00000016022
dipodomys_ordii ENSDORG00000029361
marmota_marmota_marmota ENSMMMG00000023435
jaculus_jaculus ENSJJAG00000012930
cebus_capucinus ENSCCAG00000022191
castor_canadensis ENSCCNG00000021994
castor_canadensis ENSCCNG00000023842
dipodomys_ordii ENSDORG00000008804
rhinopithecus_bieti ENSRBIG00000028051
ursus_maritimus ENSUMAG00000018978
ursus_americanus ENSUAMG00000007427
ailuropoda_melanoleuca ENSAMEG00000012620
vulpes_vulpes ENSVVUG00000014434
canis_lupus_dingo ENSCAFG00020022080
sus_scrofa ENSSSCG00000037148
pan_troglodytes ENSPTRG00000044029
pan_paniscus ENSPPAG00000028037
gorilla_gorilla ENSGGOG00000022048
carlito_syrichta ENSTSYG00000003439
macaca_nemestrina ENSMNEG00000029966
macaca_mulatta ENSMMUG00000048644
macaca_fascicularis ENSMFAG00000035450
theropithecus_gelada ENSTGEG00000016251
cercocebus_atys ENSCATG00000042333
papio_anubis ENSPANG00000029928
piliocolobus_tephrosceles ENSPTEG00000012875
microcebus_murinus ENSMICG00000044868
mesocricetus_auratus ENSMAUG00000013200
mesocricetus_auratus ENSMAUG00000015429
rattus_norvegicus ENSRNOG00000023086
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032436
mus_musculus ENSMUSG00000007656
meriones_unguiculatus ENSMUGG00000008007
cricetulus_griseus_chok1gshd ENSCGRG00001016776
peromyscus_maniculatus_bairdii ENSPEMG00000028092
mus_spicilegus ENSMSIG00000029874
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033574
mus_pahari MGP_PahariEiJ_G0015300
microtus_ochrogaster ENSMOCG00000006583
nannospalax_galili ENSNGAG00000019055
jaculus_jaculus ENSJJAG00000014481
propithecus_coquereli ENSPCOG00000019472
prolemur_simus ENSPSMG00000016496
microcebus_murinus ENSMICG00000034539
cricetulus_griseus_chok1gshd ENSCGRG00001015533
cricetulus_griseus_crigri ENSCGRG00000018448
mus_spicilegus ENSMSIG00000019108
jaculus_jaculus ENSJJAG00000023603
heterocephalus_glaber_female ENSHGLG00000009821
heterocephalus_glaber_male ENSHGLG00100012290
heterocephalus_glaber_female ENSHGLG00000020017
heterocephalus_glaber_male ENSHGLG00100020607
dipodomys_ordii ENSDORG00000012989
dipodomys_ordii ENSDORG00000011321
sorex_araneus ENSSARG00000004916
sorex_araneus ENSSARG00000002554
erinaceus_europaeus ENSEEUG00000005497
ursus_americanus ENSUAMG00000012143
pteropus_vampyrus ENSPVAG00000004012
procavia_capensis ENSPCAG00000011696
bison_bison_bison ENSBBBG00000013593
cricetulus_griseus_crigri-picr ENSCGRG00015015349
echinops_telfairi ENSETEG00000015550
choloepus_hoffmanni ENSCHOG00000006453
rhinopithecus_bieti ENSRBIG00000039917
rhinopithecus_roxellana ENSRROG00000043622
cricetulus_griseus_crigri ENSCGRG00000014785
choloepus_hoffmanni ENSCHOG00000001632
choloepus_hoffmanni ENSCHOG00000001460
dasypus_novemcinctus ENSDNOG00000035498
monodelphis_domestica ENSMODG00000001823
phascolarctos_cinereus ENSPCIG00000004971
